accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G)
-0.023895263671875,-0.00628662109375,-0.989227294921875
-0.023651123046875,-0.005889892578125,-0.9874420166015624
-0.0224761962890625,-0.00567626953125,-0.98687744140625
-0.0228118896484375,-0.00616455078125,-0.987030029296875
-0.023406982421875,-0.00579833984375,-0.9873809814453124
-0.0227203369140625,-0.0066986083984375,-0.9886016845703124
-0.023834228515625,-0.0063629150390625,-0.9883575439453124
-0.02349853515625,-0.0059051513671875,-0.989654541015625
-0.0221710205078125,-0.0055389404296875,-0.9869842529296876
-0.0224151611328125,-0.00555419921875,-0.9866180419921876
-0.0220489501953125,-0.0056915283203125,-0.98931884765625
-0.0219879150390625,-0.006011962890625,-0.98724365234375
-0.0226287841796875,-0.0054779052734375,-0.9921875
-0.023773193359375,-0.006134033203125,-0.987945556640625
-0.0219268798828125,-0.0064239501953125,-0.98992919921875
-0.0290985107421875,-0.00701904296875,-0.990814208984375
-0.0229644775390625,-0.006103515625,-0.9881439208984376
-0.021728515625,-0.006439208984375,-0.987152099609375
-0.0227203369140625,-0.0059661865234375,-0.9872589111328124
-0.0227203369140625,-0.00604248046875,-0.9892120361328124
-0.02301025390625,-0.005889892578125,-0.9894561767578124
-0.02294921875,-0.0060882568359375,-0.98736572265625
-0.023345947265625,-0.0056610107421875,-0.9895477294921876
-0.0227203369140625,-0.0060272216796875,-0.987457275390625
-0.022491455078125,-0.00616455078125,-0.988006591796875
-0.0233001708984375,-0.006439208984375,-0.9870452880859376
-0.0229339599609375,-0.0062255859375,-0.9893951416015624
-0.0233306884765625,-0.00592041015625,-0.9881134033203124
-0.022552490234375,-0.00604248046875,-0.9879913330078124
-0.0229034423828125,-0.0059356689453125,-0.98895263671875
-0.022705078125,-0.00616455078125,-0.9875030517578124
-0.018463134765625,-0.00469970703125,-0.98797607421875
-0.0229034423828125,-0.00494384765625,-0.983367919921875
-0.0224151611328125,-0.0063018798828125,-0.9935455322265624
-0.025146484375,-0.0054931640625,-0.98797607421875
-0.020111083984375,-0.007049560546875,-0.9866790771484376
-0.035400390625,-0.0057220458984375,-0.9802398681640624
-0.02642822265625,-0.0076446533203125,-0.98687744140625
-0.0247955322265625,-0.006317138671875,-0.9854583740234376
-0.023651123046875,-0.006591796875,-0.9839019775390624
-0.0275421142578125,-0.0043792724609375,-0.9884185791015624
-0.0226898193359375,-0.0056610107421875,-0.98883056640625
-0.0255584716796875,-0.0066680908203125,-0.9882659912109376
-0.0237884521484375,-0.006317138671875,-0.9882049560546876
-0.0243988037109375,-0.0059661865234375,-0.989013671875
-0.0242919921875,-0.006011962890625,-0.9882965087890624
-0.0247955322265625,-0.0053863525390625,-0.984466552734375
-0.0240020751953125,-0.0061798095703125,-0.99041748046875
-0.0239715576171875,-0.00537109375,-0.986175537109375
-0.0253143310546875,-0.006134033203125,-0.9901123046875
-0.023406982421875,-0.0048065185546875,-0.9888153076171876
-0.023040771484375,-0.0048065185546875,-0.9818878173828124
-0.0248870849609375,-0.0065765380859375,-0.9839324951171876
-0.0236968994140625,-0.005157470703125,-0.9848480224609376
-0.023040771484375,-0.005096435546875,-0.9862518310546876
-0.0234527587890625,-0.005035400390625,-0.9854888916015624
-0.0239105224609375,-0.0059356689453125,-0.9879302978515624
-0.0270538330078125,-0.005645751953125,-0.9881744384765624
-0.0236968994140625,-0.006072998046875,-0.98480224609375
-0.0234832763671875,-0.006011962890625,-0.9889373779296876
-0.0253143310546875,-0.0054931640625,-0.98681640625
-0.0240325927734375,-0.0059967041015625,-0.988800048828125
-0.023895263671875,-0.0056610107421875,-0.9874114990234376
-0.0235748291015625,-0.0061798095703125,-0.9871063232421876
-0.0299530029296875,-0.0087890625,-0.9879913330078124
-0.02294921875,-0.00579833984375,-0.98822021484375
-0.0248565673828125,-0.0063323974609375,-0.988677978515625
-0.0281219482421875,-0.004241943359375,-0.9897918701171876
-0.0254669189453125,-0.0052642822265625,-0.9817657470703124
-0.023468017578125,-0.005096435546875,-0.988739013671875
-0.024322509765625,-0.005706787109375,-0.9861602783203124
-0.0250091552734375,-0.0062713623046875,-0.989410400390625
-0.0243988037109375,-0.006011962890625,-0.98822021484375
-0.023284912109375,-0.0052947998046875,-0.9884490966796876
-0.02386474609375,-0.0055999755859375,-0.9875640869140624
-0.0236663818359375,-0.005462646484375,-0.9873504638671876
-0.0241546630859375,-0.00628662109375,-0.988372802734375
-0.024383544921875,-0.0046539306640625,-0.988494873046875
-0.0265045166015625,-0.0046844482421875,-0.9876251220703124
-0.0249481201171875,-0.0070343017578125,-0.9864959716796876
-0.0219268798828125,-0.004547119140625,-0.9892730712890624
-0.0252532958984375,-0.007110595703125,-0.9824981689453124
-0.0235137939453125,-0.00494384765625,-0.993988037109375
-0.02911376953125,-0.0066375732421875,-0.9788665771484376
-0.0234222412109375,-0.0052337646484375,-0.9869232177734376
-0.0244903564453125,-0.0049285888671875,-0.98486328125
-0.0244293212890625,-0.00469970703125,-0.98492431640625
-0.026397705078125,-0.0052032470703125,-0.9880218505859376
-0.0261383056640625,-0.0072784423828125,-0.9872283935546876
-0.028961181640625,-0.00555419921875,-0.988311767578125
-0.0176544189453125,-0.00958251953125,-0.982269287109375
-0.0239410400390625,-0.00677490234375,-0.9806671142578124
-0.02105712890625,-0.0031890869140625,-0.9758148193359376
