Time,HR
0.0,84
1.0,83
2.0,82
3.0,82
4.0,82
5.0,81
6.0,81
7.0,79
8.0,79
9.0,79
10.0,80
11.0,81
12.0,84
13.0,87
14.0,93
15.000000000000002,94
16.0,95
17.0,96
18.0,96
19.0,96
20.0,95
21.0,95
22.0,90
23.0,87
24.0,87
25.0,89
26.0,92
27.0,96
28.0,97
29.000000000000004,97
30.000000000000004,98
31.000000000000004,99
32.0,100
33.0,102
34.0,103
35.0,104
36.0,104
37.0,105
38.0,106
39.0,108
40.0,109
41.0,109
42.0,110
43.0,110
44.0,109
45.0,108
46.0,108
47.0,108
48.0,109
49.0,109
50.0,110
51.0,110
52.0,112
53.0,113
54.0,114
55.0,115
56.0,115
57.0,115
58.00000000000001,115
59.00000000000001,115
60.00000000000001,115
61.00000000000001,115
62.00000000000001,116
63.00000000000001,116
64.0,116
65.0,116
66.0,116
67.0,116
68.0,115
69.0,115
70.0,115
71.0,115
72.0,115
73.0,115
74.0,115
75.0,114
76.0,114
77.0,105
78.0,105
79.0,104
80.0,104
81.0,104
82.0,105
83.0,106
84.0,107
85.0,107
86.0,107
87.0,107
88.0,107
89.0,107
90.0,106
91.0,104
92.0,103
93.0,100
94.0,100
95.0,98
96.0,98
97.0,100
98.0,102
99.0,104
100.0,106
101.0,107
102.0,106
103.0,101
104.0,98
105.0,98
106.0,100
107.0,101
108.0,101
109.0,101
110.0,104
111.0,105
112.0,105
113.0,108
114.0,109
115.00000000000001,109
116.00000000000001,115
117.00000000000001,116
118.00000000000001,118
119.00000000000001,121
120.00000000000001,123
121.00000000000001,129
122.00000000000001,131
123.00000000000001,133
124.00000000000001,136
125.00000000000001,136
126.00000000000001,138
127.00000000000001,139
128.0,140
129.0,140
130.0,140
131.0,140
132.0,140
133.0,141
134.0,141
135.0,141
136.0,142
137.0,143
138.0,143
139.0,142
140.0,141
141.0,140
142.0,138
143.0,137
144.0,137
145.0,133
146.0,132
147.0,131
148.0,131
149.0,131
150.0,130
151.0,124
152.0,120
153.0,120
154.0,118
155.0,117
156.0,118
157.0,118
158.0,116
159.0,116
160.0,114
161.0,114
162.0,112
163.0,110
164.0,110
165.0,110
166.0,108
167.0,105
168.0,105
169.0,104
170.0,104
171.0,103
172.0,102
173.0,102
174.0,100
175.0,95
176.0,94
177.0,94
178.0,93
179.0,93
180.0,93
181.0,89
182.0,87
183.0,87
184.0,88
185.0,87
186.0,87
187.0,86
188.0,84
189.0,83
190.0,81
191.0,80
192.0,79
193.0,78
194.0,77
195.0,76
196.0,75
197.0,75
198.0,75
199.0,75
200.0,75
201.0,72
202.0,72
203.0,72
204.0,71
205.0,72
206.0,72
207.0,73
208.0,72
209.0,68
210.0,67
211.0,66
212.0,65
213.0,65
214.0,65
215.0,64
216.0,64
217.0,64
218.0,64
219.0,64
220.0,63
221.0,63
222.0,63
223.0,63
224.0,62
225.0,61
226.0,61
227.0,61
228.0,60
229.00000000000003,60
230.00000000000003,60
231.00000000000003,59
232.00000000000003,58
233.00000000000003,58
234.00000000000003,58
235.00000000000003,58
236.00000000000003,59
237.00000000000003,61
238.00000000000003,62
239.00000000000003,63
240.00000000000003,65
241.00000000000003,65
242.00000000000003,65
243.00000000000003,65
244.00000000000003,66
245.00000000000003,66
246.00000000000003,66
247.00000000000003,66
248.00000000000003,66
249.00000000000003,66
250.00000000000003,66
251.00000000000003,66
252.00000000000003,65
253.00000000000003,64
254.00000000000003,64
255.00000000000003,64
256.0,64
257.0,66
258.0,66
259.0,68
260.0,70
261.0,76
262.0,89
263.0,101
264.0,102
265.0,103
266.0,104
267.0,104
268.0,105
269.0,104
270.0,104
271.0,105
272.0,107
273.0,110
274.0,111
275.0,110
276.0,106
277.0,105
278.0,107
279.0,109
280.0,111
281.0,111
282.0,116
283.0,119
284.0,119
285.0,122
286.0,125
287.0,127
288.0,129
289.0,129
290.0,132
291.0,133
292.0,136
293.0,136
294.0,137
295.0,138
296.0,139
297.0,139
298.0,138
299.0,138
300.0,136
301.0,136
302.0,135
303.0,135
304.0,135
305.0,135
306.0,133
307.0,133
308.0,132
309.0,132
310.0,131
311.0,130
312.0,130
313.0,130
314.0,129
315.0,128
316.0,129
317.0,130
318.0,131
319.0,132
320.0,132
321.0,132
322.0,133
323.0,132
324.0,131
325.0,130
326.0,129
327.0,127
328.0,125
329.0,124
330.0,123
331.0,123
332.0,123
333.0,122
334.0,122
335.0,122
336.0,123
337.0,123
338.0,123
339.0,120
340.0,120
341.0,119
342.0,120
343.0,121
344.0,122
345.0,124
346.0,123
347.0,120
348.0,119
349.0,119
350.0,118
351.0,118
352.0,118
353.0,119
354.0,119
355.0,118
356.0,115
357.0,115
358.0,114
359.0,114
360.0,111
361.0,109
362.0,106
363.0,106
364.0,105
365.0,105
366.0,106
367.0,111
368.0,115
369.0,120
370.0,123
371.0,123
372.0,123
373.0,123
374.0,122
375.0,122
376.0,121
377.0,120
378.0,119
379.0,119
380.0,121
381.0,123
382.0,125
383.0,124
384.0,124
385.0,122
386.0,122
387.0,120
388.0,120
389.0,121
390.0,122
391.0,122
392.0,122
393.0,122
394.0,121
395.0,119
396.0,116
397.0,113
398.0,111
399.0,110
400.0,111
401.0,111
402.0,115
403.0,115
404.0,115
405.0,115
406.0,115
407.0,115
408.0,114
409.0,113
410.0,101
411.0,98
412.0,95
413.0,95
414.0,93
415.0,93
416.0,94
417.0,94
418.0,90
419.0,88
420.0,87
421.0,87
422.0,87
423.0,87
424.0,89
425.0,90
426.0,91
427.0,91
428.0,91
429.0,89
430.0,87
431.0,87
432.0,88
433.0,90
434.0,92
435.0,92
436.0,90
437.0,90
438.0,90
439.0,92
440.0,93
441.0,93
442.0,93
443.0,93
444.0,93
445.0,95
446.0,97
447.0,101
448.0,105
449.0,109
450.0,113
451.0,116
452.0,119
453.0,121
454.0,121
455.0,124
456.0,126
457.00000000000006,127
458.00000000000006,128
459.00000000000006,128
460.00000000000006,128
461.00000000000006,128
462.00000000000006,128
463.00000000000006,127
464.00000000000006,126
465.00000000000006,124
466.00000000000006,123
467.00000000000006,122
468.00000000000006,122
469.00000000000006,122
470.00000000000006,121
471.00000000000006,120
472.00000000000006,119
473.00000000000006,119
474.00000000000006,119
475.00000000000006,119
476.00000000000006,120
477.00000000000006,120
478.00000000000006,122
479.00000000000006,123
480.00000000000006,124
481.00000000000006,126
482.00000000000006,127
483.00000000000006,127
484.00000000000006,128
485.00000000000006,128
486.00000000000006,129
487.00000000000006,129
488.00000000000006,129
489.00000000000006,128
490.00000000000006,128
491.00000000000006,128
492.00000000000006,127
493.00000000000006,126
494.00000000000006,127
495.00000000000006,127
496.00000000000006,127
497.00000000000006,126
498.00000000000006,124
499.00000000000006,124
500.00000000000006,120
501.00000000000006,119
502.00000000000006,117
503.00000000000006,117
504.00000000000006,110
505.00000000000006,110
506.00000000000006,110
507.00000000000006,112
508.00000000000006,112
509.00000000000006,112
510.00000000000006,107
511.00000000000006,107
512.0,105
513.0,103
514.0,102
515.0,101
516.0,98
517.0,97
518.0,94
519.0,95
520.0,96
521.0,97
522.0,97
523.0,88
524.0,86
525.0,83
526.0,84
527.0,85
528.0,87
529.0,87
530.0,89
531.0,89
532.0,90
533.0,91
534.0,93
535.0,91
536.0,89
537.0,88
538.0,88
539.0,88
540.0,89
541.0,100
542.0,105
543.0,106
544.0,106
545.0,106
546.0,107
547.0,104
548.0,102
549.0,102
550.0,97
551.0,95
552.0,95
553.0,91
554.0,91
