Time,HR
0,80.0
1,80.00000000000001
2,81.0
3,81.99999999999999
4,82.00000000000001
5,80.99999999999999
6,81.0
7,79.99999999999999
8,79.00000000000001
9,79.00000000000003
10,82.00000000000003
11,83.00000000000003
12,87.0
13,89.0
14,90.00000000000001
15,91.99999999999997
16,92.99999999999999
17,94.0
18,96.0
19,98.00000000000001
20,99.99999999999999
21,101.99999999999997
22,101.99999999999997
23,107.0
24,107.99999999999999
25,109.0
26,110.00000000000003
27,109.99999999999999
28,106.00000000000001
29,103.00000000000003
30,103.00000000000003
31,98.00000000000001
32,96.00000000000001
33,95.00000000000003
34,96.00000000000001
35,98.0
36,99.0
37,101.99999999999997
38,101.99999999999999
39,100.0
40,98.00000000000001
41,95.0
42,93.99999999999999
43,95.0
44,98.0
45,97.99999999999999
46,97.99999999999999
47,97.99999999999999
48,96.00000000000001
49,95.00000000000001
50,94.00000000000001
51,94.0
52,95.0
53,96.0
54,97.0
55,97.0
56,97.99999999999999
57,98.00000000000003
58,97.00000000000003
59,96.0
60,95.00000000000001
61,93.00000000000004
62,91.99999999999999
63,93.0
64,96.0
65,98.0
66,98.0
67,97.0
68,92.99999999999999
69,91.0
70,90.99999999999997
71,85.0
72,85.0
73,85.00000000000003
74,87.00000000000001
75,88.0
76,88.0
77,92.99999999999999
78,94.0
79,94.0
80,93.0
81,93.00000000000001
82,92.0
83,90.0
84,90.0
85,90.0
86,89.0
87,87.00000000000003
88,86.00000000000003
89,83.0
90,83.00000000000001
91,81.0
92,80.00000000000001
93,80.0
94,80.0
95,79.99999999999999
96,80.0
97,81.0
98,80.99999999999999
99,81.0
100,81.0
101,82.00000000000001
102,82.00000000000001
103,82.0
104,82.00000000000001
105,82.99999999999999
106,84.00000000000001
107,84.99999999999999
108,87.0
109,86.0
110,85.0
111,84.0
112,82.99999999999999
113,82.0
114,82.0
115,81.00000000000001
116,81.0
117,81.99999999999999
118,82.99999999999999
119,85.0
120,86.0
121,89.99999999999996
122,91.0
123,90.00000000000004
124,87.00000000000006
125,87.00000000000001
126,86.00000000000003
127,85.00000000000001
128,85.0
129,86.0
130,86.0
131,87.0
132,88.0
133,90.0
134,98.0
135,102.0
136,104.0
137,103.99999999999997
138,103.0
139,100.99999999999997
140,100.99999999999999
141,98.99999999999999
142,98.0
143,97.00000000000001
144,96.99999999999999
145,95.0
146,96.00000000000003
147,95.00000000000001
148,96.0
149,97.0
150,98.99999999999999
151,99.99999999999999
152,100.0
153,100.99999999999999
154,100.99999999999999
155,101.99999999999999
156,101.99999999999999
157,101.00000000000001
158,100.0
159,98.99999999999999
160,98.0
161,98.00000000000001
162,96.0
163,96.0
164,98.0
165,98.0
166,98.00000000000001
167,97.99999999999997
168,96.99999999999997
169,97.00000000000001
170,98.99999999999999
171,100.99999999999997
172,102.0
173,102.0
174,100.99999999999999
175,101.00000000000001
176,91.0
177,90.0
178,90.0
179,91.0
180,91.0
181,92.00000000000001
182,94.0
183,96.00000000000001
184,97.00000000000001
185,98.0
186,98.00000000000001
187,98.00000000000001
188,97.0
189,96.0
190,94.99999999999999
191,95.0
192,92.99999999999999
193,91.99999999999999
194,91.0
195,90.0
196,90.0
197,90.0
198,89.99999999999999
199,91.0
200,93.0
201,96.00000000000003
202,99.99999999999999
203,102.0
204,104.99999999999999
205,107.0
206,110.99999999999997
207,110.99999999999999
208,111.00000000000001
209,110.0
210,110.0
211,110.99999999999999
212,111.99999999999999
213,116.0
214,116.0
215,118.00000000000001
216,119.99999999999999
217,121.0
218,122.0
219,123.99999999999997
220,124.0
221,125.99999999999997
222,127.99999999999999
223,129.0
224,130.0
225,131.0
226,131.0
227,133.00000000000003
228,134.0
229,134.99999999999994
230,137.0
231,137.99999999999997
232,140.0
233,141.0
234,141.99999999999994
235,143.99999999999994
236,145.0
237,146.0
238,146.0
239,147.0
240,147.0
241,147.99999999999997
242,148.00000000000003
243,148.99999999999997
244,149.99999999999997
245,151.99999999999997
246,152.00000000000003
247,152.0
248,151.00000000000003
249,150.00000000000006
250,149.00000000000003
251,149.00000000000009
252,145.0000000000001
253,143.00000000000006
254,142.99999999999997
255,142.00000000000003
256,140.99999999999997
257,140.00000000000003
258,138.0
259,136.0
260,135.0
261,135.00000000000003
262,135.0
263,133.0
264,134.0
265,134.0
266,135.0
267,137.0
268,137.0
269,137.0
270,135.0
271,135.0
272,133.0
273,134.0
274,133.99999999999997
275,133.99999999999997
276,135.00000000000003
277,136.0
278,137.0
279,137.0
280,134.0
281,132.0
282,128.0
283,126.99999999999997
284,126.0
285,126.0
286,127.0
287,126.99999999999999
288,127.0
289,126.0
290,125.0
291,120.00000000000003
292,118.0
293,116.99999999999997
294,117.0
295,116.0
296,116.0
297,114.0
298,113.99999999999999
299,113.0
300,110.0
301,106.99999999999999
302,101.99999999999999
303,97.0
304,97.0
305,98.99999999999997
306,100.0
307,98.99999999999997
308,99.0
309,101.0
310,102.99999999999999
311,102.99999999999999
312,103.0
313,103.00000000000003
314,104.99999999999999
315,105.0
316,104.99999999999997
317,105.00000000000003
318,98.0
319,95.00000000000001
320,91.0
321,91.0
322,91.00000000000001
323,91.0
324,92.0
