Time,HR
16:09:46,86.0
16:09:47,87.0
16:09:48,87.0
16:09:49,87.0
16:09:50,88.0
16:09:51,87.0
16:09:52,86.0
16:09:53,85.0
16:09:54,85.0
16:09:55,87.0
16:09:56,88.0
16:09:57,90.0
16:09:58,93.0
16:09:59,94.0
16:10:00,94.0
16:10:01,94.0
16:10:02,94.0
16:10:03,94.0
16:10:07,93.0
16:10:08,93.0
16:10:09,94.0
16:10:10,94.0
16:10:11,95.0
16:10:12,97.0
16:10:13,98.0
16:10:14,98.0
16:10:15,99.0
16:10:16,100.0
16:10:17,99.0
16:10:18,99.0
16:10:19,99.0
16:10:20,99.0
16:10:21,99.0
16:10:26,99.0
16:10:27,98.0
16:10:28,98.0
16:10:29,97.0
16:10:30,97.0
16:10:31,97.0
16:10:32,96.0
16:10:33,95.0
16:10:34,94.0
16:10:35,93.0
16:10:36,93.0
16:10:37,92.0
16:10:38,92.0
16:10:39,91.0
16:10:40,92.0
16:10:41,93.0
16:10:42,94.0
16:10:43,95.0
16:10:44,96.0
16:10:45,98.0
16:10:46,100.0
16:10:47,101.0
16:10:48,102.0
16:10:49,102.0
16:10:50,102.0
16:10:51,101.0
16:10:52,99.0
16:10:53,99.0
16:10:54,99.0
16:10:55,100.0
16:10:56,100.0
16:10:57,102.0
16:10:58,103.0
16:10:59,103.0
16:11:00,103.0
16:11:01,103.0
16:11:02,103.0
16:11:03,102.0
16:11:04,101.0
16:11:05,101.0
16:11:06,99.0
16:11:07,98.0
16:11:08,98.0
16:11:09,99.0
16:11:10,98.0
16:11:11,97.0
16:11:12,97.0
16:11:13,97.0
16:11:14,94.0
16:11:15,92.0
16:11:16,90.0
16:11:17,89.0
16:11:18,87.0
16:11:19,86.0
16:11:20,86.0
16:11:21,86.0
16:11:22,88.0
16:11:23,89.0
16:11:24,89.0
16:11:25,87.0
16:11:26,87.0
16:11:27,87.0
16:11:28,88.0
16:11:29,88.0
16:11:30,88.0
16:11:31,88.0
16:11:32,88.0
16:11:33,88.0
16:11:34,89.0
16:11:35,89.0
16:11:36,89.0
16:11:37,89.0
16:11:38,89.0
16:11:39,89.0
16:11:40,90.0
16:11:41,91.0
16:11:42,91.0
16:11:43,90.0
16:11:44,90.0
16:11:45,90.0
16:11:46,88.0
16:11:47,87.0
16:11:48,86.0
16:11:49,86.0
