Time,HR
13:19:06,88.0
13:19:07,88.0
13:19:08,89.0
13:19:11,90.0
13:19:15,91.0
13:19:16,92.0
13:19:17,91.0
13:19:18,90.0
13:19:19,89.0
13:19:20,90.0
13:19:22,93.0
13:19:24,90.0
13:19:29,91.0
13:19:38,89.0
13:19:49,86.0
13:19:54,89.0
13:19:55,87.0
13:20:14,82.0
13:20:18,85.0
13:20:27,88.0
13:20:34,91.0
13:20:39,88.0
13:20:42,85.0
13:20:51,82.0
13:21:09,86.0
13:21:19,86.0
13:21:21,86.0
13:21:26,86.0
13:21:28,86.0
13:21:33,89.0
13:21:57,92.0
13:22:08,89.0
13:22:12,86.0
13:22:17,83.0
13:22:44,85.0
13:22:46,86.0
13:22:51,87.0
13:22:56,88.0
13:23:00,91.0
13:23:02,89.0
13:23:08,90.0
13:23:14,88.0
13:23:21,89.0
13:23:23,86.0
13:23:50,89.0
13:23:53,91.0
13:23:56,94.0
13:23:59,97.0
13:24:09,101.0
13:24:11,97.0
13:24:36,94.0
13:24:56,97.0
13:25:23,97.0
13:25:24,98.0
13:25:27,95.0
13:25:28,96.0
13:25:33,96.0
13:25:37,100.0
13:25:38,100.0
13:25:41,97.0
13:25:43,96.0
13:25:49,95.0
13:25:50,95.0
13:26:00,98.0
13:26:01,98.0
13:26:07,100.0
13:26:09,100.0
13:26:14,99.0
13:26:16,98.0
13:26:18,97.0
13:26:21,96.0
13:26:22,95.0
13:26:27,92.0
13:26:28,92.0
13:26:34,90.0
13:26:38,88.0
13:26:41,87.0
13:26:45,90.0
13:26:49,92.0
13:26:53,95.0
13:27:00,96.0
13:27:06,96.0
13:27:21,95.0
13:27:24,94.0
13:27:29,90.0
13:27:36,93.0
13:27:39,93.0
13:27:40,90.0
13:27:43,91.0
13:27:52,88.0
13:27:53,87.0
13:28:07,90.0
13:28:19,94.0
13:28:23,91.0
13:28:47,94.0
13:29:01,97.0
13:29:05,101.0
13:29:07,97.0
13:29:21,94.0
13:29:34,91.0
13:29:35,90.0
13:29:38,87.0
13:29:40,86.0
13:29:49,83.0
13:30:15,86.0
13:30:18,89.0
13:30:34,86.0
13:30:45,89.0
13:30:57,86.0
13:31:01,83.0
13:31:19,84.0
13:31:22,84.0
13:31:32,87.0
13:31:41,90.0
13:31:46,92.0
13:31:52,95.0
13:31:57,98.0
13:32:10,95.0
13:32:13,95.0
13:32:15,93.0
13:32:17,96.0
13:32:20,96.0
13:32:23,99.0
13:32:27,100.0
13:32:32,103.0
13:32:34,103.0
13:32:40,100.0
13:32:42,99.0
13:32:50,97.0
13:32:56,94.0
13:33:01,93.0
13:33:09,91.0
13:33:24,91.0
13:33:30,94.0
13:33:41,97.0
13:33:47,97.0
13:33:51,97.0
13:34:23,99.0
13:34:28,99.0
13:34:33,101.0
13:34:38,101.0
13:34:41,98.0
13:34:43,96.0
13:34:47,93.0
13:34:50,91.0
13:34:56,88.0
13:34:58,88.0
13:35:03,87.0
13:35:05,84.0
13:35:06,87.0
13:35:09,89.0
13:35:12,94.0
13:35:21,91.0
13:35:43,88.0
13:35:52,85.0
13:36:00,87.0
13:36:03,90.0
13:36:05,93.0
13:36:07,95.0
13:36:11,98.0
13:36:12,98.0
13:36:16,97.0
13:36:22,99.0
13:36:28,101.0
13:36:33,100.0
13:36:43,102.0
13:36:48,99.0
13:37:10,96.0
13:37:25,93.0
13:37:30,90.0
13:37:34,87.0
13:37:52,90.0
13:37:54,93.0
13:38:00,96.0
13:38:14,100.0
13:38:32,97.0
13:38:37,94.0
13:38:43,91.0
13:39:18,88.0
13:39:34,91.0
13:39:40,94.0
13:39:55,91.0
13:40:01,88.0
13:40:04,85.0
13:40:07,82.0
13:40:24,85.0
13:40:27,88.0
13:40:30,92.0
13:40:33,95.0
13:40:36,98.0
13:40:39,101.0
13:40:53,98.0
13:41:03,101.0
13:41:22,98.0
13:41:36,94.0
13:42:02,97.0
13:42:08,100.0
13:42:21,97.0
13:42:26,94.0
13:42:38,91.0
13:42:48,94.0
13:42:54,98.0
13:43:15,95.0
13:43:21,92.0
13:43:40,89.0
13:43:43,92.0
13:43:45,88.0
13:44:00,91.0
13:44:18,94.0
13:44:23,97.0
13:44:31,100.0
13:44:42,97.0
13:45:06,94.0
13:45:26,97.0
13:45:29,100.0
13:45:41,96.0
13:45:46,93.0
13:46:09,96.0
13:46:13,99.0
13:46:41,102.0
13:46:44,105.0
13:47:12,102.0
13:47:20,99.0
13:47:29,96.0
13:48:01,99.0
13:48:09,102.0
13:48:22,105.0
13:48:34,102.0
13:48:38,99.0
13:48:45,95.0
13:48:47,98.0
13:49:00,101.0
13:49:07,98.0
13:49:15,95.0
13:49:40,98.0
13:49:45,95.0
13:49:47,98.0
13:49:49,99.0
13:49:53,102.0
13:49:56,103.0
13:50:11,106.0
13:50:15,106.0
13:50:28,103.0
13:50:42,100.0
13:50:48,97.0
13:50:55,94.0
13:51:13,97.0
13:51:31,100.0
13:51:32,96.0
13:51:53,100.0
13:51:55,103.0
13:51:57,106.0
13:52:00,109.0
13:52:20,106.0
13:52:31,103.0
13:52:33,106.0
13:52:34,103.0
13:52:38,100.0
13:52:48,103.0
13:52:54,106.0
13:53:04,103.0
13:53:27,100.0
13:53:43,97.0
13:53:48,100.0
13:54:09,97.0
13:54:18,94.0
13:54:30,97.0
13:54:49,94.0
13:55:03,97.0
13:55:06,94.0
13:55:19,97.0
13:55:22,100.0
13:55:38,97.0
13:55:40,100.0
13:55:48,97.0
13:55:55,100.0
13:56:05,97.0
13:56:19,100.0
13:56:22,103.0
13:56:25,106.0
13:56:29,109.0
13:56:36,110.0
13:56:40,110.0
13:57:01,107.0
13:57:05,104.0
13:57:20,101.0
13:57:36,98.0
13:58:02,95.0
13:58:24,98.0
13:58:32,101.0
13:58:42,104.0
13:59:04,101.0
13:59:40,104.0
14:00:09,101.0
14:00:25,102.0
14:00:30,102.0
14:00:31,102.0
14:00:40,101.0
14:00:44,104.0
14:00:46,104.0
14:00:47,104.0
14:00:51,104.0
14:00:55,105.0
14:01:00,108.0
14:01:02,108.0
14:01:08,108.0
14:01:16,110.0
14:01:24,108.0
14:01:27,105.0
14:01:40,102.0
14:01:54,105.0
14:02:27,108.0
14:03:01,111.0
14:03:03,108.0
14:03:14,105.0
14:03:24,101.0
14:03:36,104.0
14:03:39,107.0
14:03:44,110.0
14:03:56,107.0
14:04:03,104.0
14:04:24,101.0
14:04:44,98.0
14:04:48,97.0
14:04:53,94.0
14:05:02,91.0
14:05:40,94.0
14:05:57,91.0
14:05:58,94.0
14:06:04,98.0
14:06:06,95.0
14:06:09,100.0
14:06:12,103.0
14:06:14,106.0
14:06:17,109.0
14:06:35,106.0
14:06:37,109.0
14:06:41,109.0
14:06:48,106.0
14:06:49,105.0
14:06:56,104.0
14:07:01,103.0
14:07:29,106.0
14:07:33,109.0
14:07:36,112.0
14:08:07,109.0
14:08:32,106.0
14:08:40,103.0
14:08:47,106.0
14:08:49,102.0
14:08:50,105.0
14:09:16,102.0
14:09:33,99.0
14:09:42,102.0
14:09:51,105.0
14:09:55,108.0
14:10:13,105.0
14:10:26,102.0
14:10:43,99.0
14:10:54,96.0
14:10:58,99.0
14:11:03,102.0
14:11:07,105.0
14:11:25,102.0
14:11:31,99.0
14:11:56,102.0
14:12:20,99.0
14:12:55,96.0
14:12:59,93.0
14:13:00,96.0
14:13:18,93.0
14:13:22,90.0
14:13:29,94.0
14:13:34,97.0
14:13:38,100.0
14:14:05,97.0
14:14:07,94.0
14:14:12,91.0
14:14:20,91.0
14:14:35,94.0
14:14:38,97.0
14:14:42,100.0
14:14:46,103.0
14:14:52,100.0
14:14:56,97.0
14:15:07,100.0
14:15:45,97.0
14:15:52,94.0
14:15:57,91.0
14:16:01,90.0
14:16:03,90.0
14:16:07,91.0
14:16:13,93.0
14:16:19,96.0
14:16:25,98.0
14:16:31,99.0
14:16:44,98.0
14:17:01,101.0
14:17:05,104.0
14:17:09,107.0
14:17:13,104.0
14:17:26,101.0
14:17:46,98.0
14:17:56,101.0
14:18:09,104.0
14:18:20,101.0
14:18:44,104.0
14:18:56,107.0
14:19:41,110.0
14:19:46,113.0
14:19:49,116.0
14:19:57,119.0
14:20:15,116.0
14:20:21,113.0
14:20:34,109.0
14:21:11,106.0
14:21:20,103.0
14:21:29,100.0
14:21:37,103.0
14:21:47,106.0
14:21:53,109.0
14:22:01,106.0
14:22:27,106.0
14:22:29,107.0
14:22:37,109.0
14:22:38,112.0
14:22:39,109.0
14:23:09,106.0
14:23:17,103.0
14:23:44,106.0
14:24:00,109.0
14:24:05,112.0
14:24:19,109.0
14:24:20,112.0
14:24:27,109.0
14:24:34,106.0
14:25:11,103.0
14:25:18,100.0
14:25:24,103.0
14:25:30,105.0
14:25:37,107.0
14:25:43,109.0
14:25:51,109.0
14:25:56,109.0
