Time,HR
0.0,80
1.0,80
2.0,81
3.0,82
4.0,82
5.0,81
6.0,81
7.0,80
8.0,79
9.0,79
10.0,82
11.0,83
12.0,87
13.0,89
14.0,90
15.000000000000002,92
16.0,93
17.0,94
18.0,96
19.0,98
20.0,100
21.0,102
22.0,102
23.0,107
24.0,108
25.0,109
26.0,110
27.0,110
28.0,106
29.000000000000004,103
30.000000000000004,103
31.000000000000004,98
32.0,96
33.0,95
34.0,96
35.0,98
36.0,99
37.0,102
38.0,102
39.0,100
40.0,98
41.0,95
42.0,94
43.0,95
44.0,98
45.0,98
46.0,98
47.0,98
48.0,96
49.0,95
50.0,94
51.0,94
52.0,95
53.0,96
54.0,97
55.0,97
56.0,98
57.0,98
58.00000000000001,97
59.00000000000001,96
60.00000000000001,95
61.00000000000001,93
62.00000000000001,92
63.00000000000001,93
64.0,96
65.0,98
66.0,98
67.0,97
68.0,93
69.0,91
70.0,91
71.0,85
72.0,85
73.0,85
74.0,87
75.0,88
76.0,88
77.0,93
78.0,94
79.0,94
80.0,93
81.0,93
82.0,92
83.0,90
84.0,90
85.0,90
86.0,89
87.0,87
88.0,86
89.0,83
90.0,83
91.0,81
92.0,80
93.0,80
94.0,80
95.0,80
96.0,80
97.0,81
98.0,81
99.0,81
100.0,81
101.0,82
102.0,82
103.0,82
104.0,82
105.0,83
106.0,84
107.0,85
108.0,87
109.0,86
110.0,85
111.0,84
112.0,83
113.0,82
114.0,82
115.00000000000001,81
116.00000000000001,81
117.00000000000001,82
118.00000000000001,83
119.00000000000001,85
120.00000000000001,86
121.00000000000001,90
122.00000000000001,91
123.00000000000001,90
124.00000000000001,87
125.00000000000001,87
126.00000000000001,86
127.00000000000001,85
128.0,85
129.0,86
130.0,86
131.0,87
132.0,88
133.0,90
134.0,98
135.0,102
136.0,104
137.0,104
138.0,103
139.0,101
140.0,101
141.0,99
142.0,98
143.0,97
144.0,97
145.0,95
146.0,96
147.0,95
148.0,96
149.0,97
150.0,99
151.0,100
152.0,100
153.0,101
154.0,101
155.0,102
156.0,102
157.0,101
158.0,100
159.0,99
160.0,98
161.0,98
162.0,96
163.0,96
164.0,98
165.0,98
166.0,98
167.0,98
168.0,97
169.0,97
170.0,99
171.0,101
172.0,102
173.0,102
174.0,101
175.0,101
176.0,91
177.0,90
178.0,90
179.0,91
180.0,91
181.0,92
182.0,94
183.0,96
184.0,97
185.0,98
186.0,98
187.0,98
188.0,97
189.0,96
190.0,95
191.0,95
192.0,93
193.0,92
194.0,91
195.0,90
196.0,90
197.0,90
198.0,90
199.0,91
200.0,93
201.0,96
202.0,100
203.0,102
204.0,105
205.0,107
206.0,111
207.0,111
208.0,111
209.0,110
210.0,110
211.0,111
212.0,112
213.0,116
214.0,116
215.0,118
216.0,120
217.0,121
218.0,122
219.0,124
220.0,124
221.0,126
222.0,128
223.0,129
224.0,130
225.0,131
226.0,131
227.0,133
228.0,134
229.00000000000003,135
230.00000000000003,137
231.00000000000003,138
232.00000000000003,140
233.00000000000003,141
234.00000000000003,142
235.00000000000003,144
236.00000000000003,145
237.00000000000003,146
238.00000000000003,146
239.00000000000003,147
240.00000000000003,147
241.00000000000003,148
242.00000000000003,148
243.00000000000003,149
244.00000000000003,150
245.00000000000003,152
246.00000000000003,152
247.00000000000003,152
248.00000000000003,151
249.00000000000003,150
250.00000000000003,149
251.00000000000003,149
252.00000000000003,145
253.00000000000003,143
254.00000000000003,143
255.00000000000003,142
256.0,141
