Time,HR
10:20:34,117.0
10:20:35,115.0
10:20:36,111.0
10:20:37,109.0
10:20:38,109.0
10:20:39,109.0
10:20:40,109.0
10:20:41,109.0
10:20:42,107.0
10:20:43,106.0
10:20:44,105.0
10:20:45,106.0
10:20:46,106.0
10:20:47,106.0
10:20:48,106.0
10:20:49,106.0
10:20:50,106.0
10:20:51,106.0
10:20:52,102.0
10:20:53,103.0
10:20:54,106.0
10:20:55,107.0
10:20:56,106.0
10:20:57,105.0
10:20:58,105.0
10:20:59,103.0
10:21:00,102.0
10:21:01,102.0
10:21:02,102.0
10:21:03,101.0
10:21:04,101.0
10:21:05,105.0
10:21:06,108.0
10:21:07,108.0
10:21:08,105.0
10:21:09,104.0
10:21:10,101.0
10:21:11,100.0
10:21:12,95.0
10:21:13,94.0
10:21:14,93.0
10:21:15,97.0
10:21:16,99.0
10:21:17,100.0
10:21:18,100.0
10:21:19,100.0
10:21:20,99.0
10:21:21,98.0
10:21:22,96.0
10:21:23,94.0
10:21:24,93.0
10:21:25,93.0
10:21:26,92.0
10:21:27,91.0
10:21:28,91.0
10:21:29,91.0
10:21:30,93.0
10:21:31,94.0
10:21:32,94.0
10:21:33,93.0
10:21:34,90.0
10:21:35,90.0
10:21:36,92.0
10:21:37,94.0
10:21:38,98.0
10:21:39,100.0
10:21:40,98.0
10:21:41,95.0
10:21:42,94.0
10:21:43,93.0
10:21:44,87.0
10:21:45,89.0
10:21:46,92.0
10:21:47,96.0
10:21:48,101.0
10:21:49,104.0
10:21:50,104.0
10:21:51,103.0
10:21:52,100.0
10:21:53,97.0
10:21:54,96.0
10:21:55,98.0
10:21:56,99.0
10:21:57,97.0
10:21:58,96.0
10:21:59,96.0
10:22:00,97.0
10:22:01,99.0
10:22:02,100.0
10:22:03,102.0
10:22:04,102.0
10:22:05,100.0
10:22:06,99.0
10:22:07,99.0
10:22:08,99.0
10:22:09,99.0
10:22:10,99.0
10:22:11,99.0
10:22:12,99.0
10:22:13,97.0
10:22:14,97.0
10:22:15,99.0
10:22:16,98.0
10:22:17,99.0
10:22:18,104.0
10:22:19,108.0
10:22:20,111.0
10:22:21,113.0
10:22:22,116.0
10:22:23,117.0
10:22:24,117.0
10:22:25,117.0
10:22:26,114.0
10:22:27,112.0
10:22:28,110.0
10:22:29,109.0
10:22:30,109.0
10:22:31,112.0
10:22:32,115.0
10:22:33,118.0
10:22:34,120.0
10:22:35,123.0
10:22:36,123.0
10:22:37,126.0
10:22:38,128.0
10:22:39,130.0
10:22:40,130.0
10:22:41,131.0
10:22:42,130.0
10:22:43,127.0
10:22:44,124.0
10:22:45,123.0
10:22:46,124.0
10:22:47,126.0
10:22:48,126.0
10:22:49,125.0
10:22:50,125.0
10:22:51,126.0
10:22:52,127.0
10:22:53,127.0
10:22:54,128.0
10:22:55,129.0
10:22:56,129.0
10:22:57,129.0
10:22:58,129.0
10:22:59,130.0
10:23:00,128.0
10:23:01,126.0
10:23:02,124.0
10:23:03,123.0
10:23:04,124.0
10:23:05,125.0
10:23:06,126.0
10:23:07,127.0
10:23:08,129.0
10:23:09,131.0
10:23:10,132.0
10:23:11,134.0
10:23:12,136.0
10:23:13,137.0
10:23:14,137.0
10:23:15,137.0
10:23:16,137.0
10:23:17,138.0
10:23:18,138.0
10:23:19,138.0
10:23:20,138.0
10:23:21,137.0
10:23:22,137.0
10:23:23,133.0
10:23:24,130.0
10:23:25,129.0
10:23:26,129.0
10:23:27,130.0
10:23:28,130.0
10:23:29,130.0
10:23:30,130.0
10:23:31,131.0
10:23:32,133.0
10:23:33,134.0
10:23:34,134.0
10:23:35,132.0
10:23:36,130.0
10:23:37,124.0
10:23:38,120.0
10:23:39,119.0
10:23:40,119.0
10:23:41,121.0
10:23:42,123.0
10:23:43,124.0
10:23:44,124.0
10:23:45,124.0
10:23:46,124.0
10:23:47,124.0
10:23:48,124.0
10:23:49,124.0
10:23:50,124.0
10:23:51,125.0
10:23:52,127.0
10:23:53,128.0
10:23:54,130.0
10:23:55,130.0
10:23:56,129.0
10:23:57,128.0
10:23:58,127.0
10:23:59,127.0
10:24:00,128.0
10:24:01,129.0
10:24:02,131.0
10:24:03,131.0
10:24:04,133.0
10:24:05,133.0
10:24:06,132.0
10:24:07,129.0
10:24:08,127.0
10:24:09,126.0
10:24:10,127.0
10:24:11,127.0
10:24:12,129.0
10:24:13,129.0
10:24:14,130.0
10:24:15,130.0
10:24:16,130.0
10:24:17,131.0
10:24:18,132.0
10:24:19,135.0
10:24:20,135.0
10:24:21,136.0
10:24:22,135.0
10:24:23,136.0
10:24:24,137.0
10:24:25,139.0
10:24:26,140.0
10:24:27,140.0
10:24:28,141.0
10:24:29,141.0
10:24:30,141.0
10:24:31,140.0
10:24:32,139.0
10:24:33,139.0
10:24:34,139.0
10:24:35,141.0
10:24:36,141.0
10:24:37,142.0
10:24:38,142.0
10:24:39,143.0
10:24:40,144.0
10:24:41,144.0
10:24:42,144.0
10:24:43,144.0
10:24:44,144.0
10:24:45,145.0
10:24:46,145.0
10:24:47,145.0
10:24:48,145.0
10:24:49,145.0
10:24:50,145.0
10:24:52,70.0
10:24:53,147.0
10:24:54,146.0
10:24:55,145.0
10:24:56,145.0
10:24:57,144.0
10:24:58,144.0
10:24:59,143.0
10:25:00,142.0
10:25:01,140.0
10:25:02,139.0
10:25:03,140.0
10:25:04,140.0
10:25:05,141.0
10:25:06,142.0
10:25:07,143.0
10:25:08,144.0
10:25:09,144.0
10:25:10,145.0
10:25:11,145.0
10:25:12,145.0
10:25:13,146.0
10:25:14,146.0
10:25:15,145.0
10:25:16,143.0
10:25:17,141.0
10:25:18,140.0
10:25:19,140.0
10:25:20,140.0
10:25:21,141.0
10:25:22,142.0
10:25:23,143.0
10:25:24,143.0
10:25:25,143.0
10:25:26,143.0
10:25:27,144.0
10:25:28,144.0
10:25:29,144.0
10:25:30,142.0
10:25:31,142.0
10:25:32,141.0
10:25:33,140.0
10:25:34,140.0
10:25:35,140.0
10:25:36,138.0
10:25:37,138.0
10:25:38,138.0
10:25:39,139.0
10:25:40,138.0
10:25:41,139.0
10:25:42,139.0
10:25:43,139.0
10:25:44,139.0
10:25:45,140.0
10:25:46,140.0
10:25:47,141.0
10:25:48,142.0
10:25:49,142.0
10:25:50,141.0
10:25:51,141.0
10:25:52,141.0
10:25:53,139.0
10:25:54,137.0
10:25:55,134.0
10:25:56,134.0
10:25:57,134.0
10:25:58,134.0
10:25:59,136.0
10:26:00,137.0
10:26:01,139.0
10:26:02,139.0
10:26:03,141.0
10:26:04,142.0
