Time,HR
13:04:12,87.0
13:04:13,88.0
13:04:14,88.0
13:04:30,86.0
13:04:32,88.0
13:04:33,86.0
13:04:35,85.0
13:04:40,84.0
13:04:46,85.0
13:04:47,87.0
13:04:48,84.0
13:04:49,85.0
13:04:50,86.0
13:04:51,87.0
13:04:52,89.0
13:04:53,90.0
13:04:54,92.0
13:04:55,93.0
13:04:56,94.0
13:05:05,95.0
13:05:06,94.0
13:05:08,93.0
13:05:09,95.0
13:05:10,94.0
13:05:12,93.0
13:05:15,92.0
13:05:16,91.0
13:05:17,90.0
13:05:18,89.0
13:05:19,88.0
13:05:22,89.0
13:05:24,88.0
13:05:25,89.0
13:05:26,88.0
13:05:28,86.0
13:05:29,89.0
13:05:31,87.0
13:05:38,87.0
13:05:45,90.0
13:05:51,92.0
13:05:56,93.0
13:06:00,93.0
13:06:01,93.0
13:06:05,93.0
13:06:07,93.0
13:06:09,93.0
13:06:14,93.0
13:06:21,94.0
13:06:39,92.0
13:06:40,92.0
13:06:45,91.0
13:06:50,88.0
13:06:51,88.0
13:06:54,87.0
13:06:56,88.0
13:06:59,88.0
13:07:02,88.0
13:07:08,88.0
13:07:13,85.0
13:07:18,88.0
13:07:25,85.0
13:07:53,89.0
13:07:54,84.0
13:07:58,87.0
13:08:01,90.0
13:08:06,93.0
13:08:15,96.0
13:08:18,99.0
13:08:27,98.0
13:08:31,97.0
13:08:37,97.0
13:08:47,94.0
13:08:51,91.0
13:09:00,88.0
13:09:25,92.0
13:09:41,89.0
13:09:44,86.0
13:09:56,86.0
13:09:59,89.0
13:10:07,86.0
13:10:11,82.0
13:10:12,85.0
13:10:36,88.0
13:10:40,92.0
13:10:43,95.0
13:10:57,92.0
13:11:17,89.0
13:11:21,90.0
13:11:23,91.0
13:11:30,92.0
13:24:52,110.0
13:24:53,110.0
13:24:58,107.0
13:25:02,102.0
13:25:03,104.0
13:25:07,103.0
13:25:13,103.0
13:25:20,104.0
13:25:29,104.0
13:25:37,104.0
13:25:41,101.0
13:25:57,97.0
13:26:04,100.0
13:26:16,102.0
13:26:22,101.0
13:26:39,98.0
13:27:03,95.0
13:27:14,98.0
13:27:15,94.0
13:27:18,93.0
13:27:21,91.0
13:27:25,89.0
13:27:31,88.0
13:27:38,90.0
13:27:46,91.0
13:27:49,94.0
13:27:51,97.0
