Time,HR
00:00:00,114
00:00:01,114
00:00:02,114
00:00:03,113
00:00:04,111
00:00:05,108
00:00:06,107
00:00:07,107
00:00:08,107
00:00:09,108
00:00:10,109
00:00:11,109
00:00:12,109
00:00:13,104
00:00:14,100
00:00:15,100
00:00:16,99
00:00:17,99
00:00:18,99
00:00:19,98
00:00:20,98
00:00:21,95
00:00:22,95
00:00:23,95
00:00:24,93
00:00:25,93
00:00:26,93
00:00:27,96
00:00:28,96
00:00:29,95
00:00:30,93
00:00:31,89
00:00:32,89
00:00:33,88
00:00:34,88
00:00:35,88
00:00:36,88
00:00:37,89
00:00:38,89
00:00:39,89
00:00:40,89
00:00:41,91
00:00:42,91
00:00:43,92
00:00:44,92
00:00:45,92
00:00:46,91
00:00:47,91
00:00:48,91
00:00:49,91
00:00:50,91
00:00:51,92
00:00:52,93
00:00:53,93
00:00:54,93
00:00:55,93
00:00:56,92
00:00:57,92
00:00:58,92
00:00:59,92
00:01:00,92
00:01:01,92
00:01:02,92
00:01:03,93
00:01:04,93
00:01:05,93
00:01:06,93
00:01:07,93
00:01:08,93
00:01:09,94
00:01:10,94
00:01:11,95
00:01:12,96
00:01:13,96
00:01:14,97
00:01:15,100
00:01:16,101
00:01:17,99
00:01:18,97
00:01:19,97
00:01:20,92
00:01:21,91
00:01:22,90
00:01:23,90
00:01:24,89
00:01:25,88
00:01:26,88
00:01:27,88
00:01:28,87
00:01:29,86
00:01:30,85
00:01:31,85
00:01:32,85
00:01:33,85
00:01:34,85
00:01:35,85
00:01:36,86
00:01:37,86
00:01:38,86
00:01:39,86
00:01:40,86
00:01:41,85
00:01:42,85
00:01:43,87
00:01:44,90
00:01:45,92
00:01:46,93
00:01:47,92
00:01:48,90
00:01:49,88
00:01:50,85
00:01:51,84
00:01:52,84
00:01:53,84
00:01:54,84
00:01:55,84
00:01:56,84
00:01:57,84
00:01:58,85
00:01:59,85
00:02:00,87
00:02:01,88
00:02:02,88
00:02:03,89
00:02:04,89
00:02:05,90
00:02:06,90
00:02:07,90
00:02:08,88
00:02:09,87
00:02:10,86
00:02:11,86
00:02:12,86
00:02:13,85
00:02:14,85
00:02:15,86
00:02:16,87
00:02:17,90
00:02:18,91
00:02:19,91
00:02:20,90
00:02:21,89
00:02:22,88
00:02:23,88
00:02:24,88
00:02:25,87
00:02:26,86
00:02:27,86
00:02:28,88
00:02:29,89
00:02:30,91
00:02:31,92
00:02:32,92
00:02:33,90
00:02:34,88
00:02:35,88
00:02:36,88
00:02:37,87
00:02:38,87
00:02:39,87
00:02:40,91
00:02:41,92
00:02:42,93
00:02:43,91
00:02:44,90
00:02:45,87
00:02:46,87
00:02:47,86
00:02:48,85
00:02:49,86
00:02:50,87
00:02:51,88
00:02:52,86
00:02:53,85
00:02:54,85
00:02:55,86
00:02:56,87
00:02:57,87
00:02:58,87
00:02:59,87
00:03:00,86
00:03:01,86
00:03:02,87
