Time,HR
0.0,87.0
1.0,87.0
2.0,88.0
3.0,88.0
4.0,88.0
5.0,87.0
6.0,86.0
7.0,85.0
8.0,85.0
9.0,85.0
10.0,88.0
11.0,91.0
12.0,92.0
13.0,92.0
14.0,92.0
15.000000000000002,91.0
16.0,90.0
17.0,88.0
18.0,88.0
19.0,88.0
20.0,91.0
21.0,91.0
22.0,92.0
23.0,92.0
24.0,92.0
25.0,92.0
26.0,92.0
27.0,92.0
28.0,90.0
29.000000000000004,90.0
30.000000000000004,88.0
31.000000000000004,88.0
32.0,88.0
33.0,85.0
34.0,86.0
35.0,85.0
36.0,85.0
37.0,85.0
38.0,85.0
39.0,86.0
40.0,87.0
41.0,90.0
42.0,91.0
43.0,94.0
44.0,95.0
45.0,96.0
46.0,98.0
47.0,98.0
48.0,98.0
49.0,96.0
50.0,96.0
51.0,93.0
52.0,92.0
53.0,91.0
54.0,91.0
55.0,92.0
56.0,93.0
57.0,94.0
58.00000000000001,95.0
59.00000000000001,97.0
60.00000000000001,99.0
61.00000000000001,100.0
62.00000000000001,102.0
63.00000000000001,104.0
64.0,106.0
65.0,108.0
66.0,110.0
67.0,112.0
68.0,114.0
69.0,113.0
70.0,111.0
71.0,110.0
72.0,109.0
73.0,109.0
74.0,108.0
75.0,108.0
76.0,108.0
77.0,107.0
78.0,108.0
79.0,108.0
80.0,109.0
81.0,109.0
82.0,110.0
83.0,109.0
84.0,107.0
85.0,106.0
86.0,105.0
87.0,104.0
88.0,103.0
89.0,103.0
90.0,103.0
91.0,104.0
92.0,104.0
93.0,103.0
94.0,102.0
95.0,102.0
96.0,101.0
97.0,100.0
98.0,100.0
99.0,101.0
100.0,102.0
101.0,104.0
102.0,105.0
103.0,105.0
104.0,105.0
105.0,103.0
106.0,102.0
107.0,100.0
108.0,100.0
109.0,100.0
110.0,100.0
111.0,101.0
112.0,101.0
113.0,102.0
114.0,102.0
115.00000000000001,103.0
116.00000000000001,103.0
117.00000000000001,103.0
118.00000000000001,102.0
119.00000000000001,101.0
120.00000000000001,99.0
121.00000000000001,98.0
122.00000000000001,97.0
123.00000000000001,96.0
124.00000000000001,97.0
125.00000000000001,99.0
126.00000000000001,101.0
127.00000000000001,102.0
128.0,101.0
129.0,101.0
130.0,101.0
131.0,101.0
132.0,101.0
133.0,-1.0
134.0,-1.0
135.0,101.0
136.0,100.0
137.0,100.0
138.0,101.0
139.0,102.0
140.0,103.0
141.0,104.0
142.0,105.0
143.0,106.0
144.0,106.0
145.0,106.0
146.0,106.0
147.0,106.0
148.0,104.0
149.0,104.0
150.0,103.0
151.0,103.0
152.0,102.0
153.0,101.0
154.0,101.0
155.0,102.0
156.0,103.0
157.0,103.0
158.0,104.0
159.0,105.0
160.0,106.0
161.0,106.0
162.0,105.0
163.0,104.0
164.0,104.0
165.0,105.0
166.0,106.0
167.0,107.0
168.0,106.0
169.0,105.0
170.0,104.0
171.0,103.0
172.0,102.0
173.0,101.0
174.0,100.0
175.0,99.0
176.0,97.0
177.0,97.0
178.0,96.0
179.0,97.0
180.0,99.0
181.0,100.0
182.0,101.0
183.0,101.0
184.0,101.0
185.0,101.0
186.0,103.0
187.0,105.0
188.0,105.0
189.0,105.0
190.0,105.0
191.0,105.0
192.0,105.0
193.0,-1.0
194.0,-1.0
195.0,-1.0
196.0,105.0
197.0,104.0
198.0,104.0
199.0,103.0
200.0,103.0
201.0,102.0
202.0,101.0
203.0,101.0
204.0,101.0
205.0,103.0
206.0,103.0
207.0,105.0
208.0,105.0
209.0,106.0
210.0,106.0
211.0,106.0
212.0,106.0
213.0,107.0
214.0,108.0
215.0,110.0
216.0,110.0
217.0,111.0
218.0,111.0
219.0,111.0
220.0,112.0
221.0,111.0
222.0,111.0
223.0,111.0
224.0,111.0
225.0,111.0
226.0,111.0
227.0,111.0
228.0,111.0
229.00000000000003,111.0
230.00000000000003,111.0
231.00000000000003,112.0
232.00000000000003,112.0
233.00000000000003,112.0
234.00000000000003,113.0
235.00000000000003,114.0
236.00000000000003,114.0
237.00000000000003,115.0
238.00000000000003,117.0
239.00000000000003,118.0
240.00000000000003,119.0
241.00000000000003,120.0
242.00000000000003,121.0
243.00000000000003,122.0
244.00000000000003,122.0
245.00000000000003,121.0
246.00000000000003,120.0
247.00000000000003,119.0
248.00000000000003,119.0
249.00000000000003,117.0
250.00000000000003,116.0
251.00000000000003,116.0
252.00000000000003,116.0
253.00000000000003,117.0
254.00000000000003,117.0
255.00000000000003,116.0
256.0,116.0
257.0,114.0
258.0,111.0
259.0,109.0
260.0,108.0
261.0,107.0
262.0,107.0
263.0,107.0
264.0,108.0
265.0,108.0
266.0,108.0
267.0,108.0
268.0,106.0
269.0,106.0
270.0,105.0
271.0,105.0
272.0,106.0
273.0,106.0
274.0,107.0
275.0,107.0
276.0,109.0
277.0,111.0
278.0,111.0
279.0,112.0
280.0,113.0
281.0,113.0
282.0,113.0
283.0,114.0
284.0,114.0
285.0,113.0
286.0,112.0
287.0,112.0
288.0,112.0
289.0,113.0
290.0,114.0
291.0,114.0
292.0,114.0
293.0,114.0
294.0,114.0
295.0,114.0
296.0,112.0
297.0,112.0
298.0,112.0
299.0,111.0
300.0,111.0
301.0,110.0
302.0,110.0
303.0,111.0
304.0,112.0
305.0,114.0
306.0,115.0
307.0,116.0
308.0,117.0
309.0,118.0
310.0,118.0
311.0,117.0
312.0,115.0
313.0,113.0
314.0,110.0
315.0,109.0
316.0,108.0
317.0,108.0
318.0,108.0
319.0,108.0
320.0,109.0
321.0,108.0
322.0,107.0
323.0,107.0
324.0,107.0
325.0,107.0
326.0,107.0
327.0,107.0
328.0,107.0
329.0,107.0
330.0,108.0
331.0,109.0
332.0,109.0
333.0,107.0
334.0,106.0
335.0,104.0
336.0,103.0
337.0,102.0
338.0,102.0
339.0,101.0
340.0,101.0
341.0,102.0
342.0,101.0
343.0,99.0
344.0,99.0
345.0,99.0
346.0,100.0
347.0,103.0
348.0,105.0
349.0,106.0
350.0,106.0
351.0,106.0
352.0,105.0
353.0,105.0
354.0,105.0
355.0,105.0
356.0,104.0
357.0,103.0
358.0,102.0
359.0,102.0
360.0,101.0
361.0,100.0
362.0,100.0
363.0,100.0
364.0,98.0
365.0,98.0
366.0,98.0
367.0,98.0
368.0,98.0
369.0,97.0
370.0,96.0
371.0,95.0
372.0,95.0
373.0,97.0
374.0,99.0
375.0,102.0
376.0,104.0
377.0,104.0
378.0,103.0
379.0,103.0
380.0,101.0
381.0,100.0
382.0,100.0
383.0,100.0
384.0,101.0
385.0,101.0
386.0,102.0
387.0,103.0
388.0,103.0
389.0,101.0
390.0,101.0
391.0,101.0
392.0,102.0
393.0,105.0
394.0,106.0
395.0,105.0
396.0,105.0
397.0,104.0
398.0,103.0
399.0,104.0
400.0,104.0
401.0,106.0
402.0,108.0
403.0,109.0
404.0,111.0
405.0,112.0
406.0,112.0
407.0,113.0
408.0,113.0
409.0,114.0
410.0,114.0
411.0,114.0
412.0,114.0
413.0,115.0
414.0,115.0
415.0,116.0
416.0,116.0
417.0,117.0
418.0,117.0
419.0,118.0
420.0,119.0
421.0,120.0
422.0,121.0
423.0,122.0
424.0,123.0
425.0,123.0
426.0,124.0
427.0,124.0
428.0,124.0
429.0,124.0
430.0,124.0
431.0,124.0
432.0,124.0
433.0,124.0
434.0,124.0
435.0,125.0
436.0,127.0
437.0,128.0
438.0,129.0
439.0,131.0
440.0,132.0
441.0,134.0
442.0,135.0
443.0,138.0
444.0,139.0
445.0,142.0
446.0,143.0
447.0,145.0
448.0,146.0
449.0,147.0
450.0,147.0
451.0,147.0
452.0,147.0
453.0,147.0
454.0,147.0
455.0,146.0
456.0,146.0
457.00000000000006,145.0
458.00000000000006,144.0
459.00000000000006,143.0
460.00000000000006,143.0
461.00000000000006,143.0
462.00000000000006,142.0
463.00000000000006,143.0
464.00000000000006,142.0
465.00000000000006,141.0
466.00000000000006,140.0
467.00000000000006,139.0
468.00000000000006,137.0
469.00000000000006,136.0
470.00000000000006,136.0
471.00000000000006,137.0
472.00000000000006,137.0
473.00000000000006,137.0
474.00000000000006,139.0
475.00000000000006,139.0
476.00000000000006,138.0
477.00000000000006,137.0
478.00000000000006,135.0
479.00000000000006,133.0
480.00000000000006,130.0
481.00000000000006,127.0
482.00000000000006,125.0
483.00000000000006,125.0
484.00000000000006,125.0
485.00000000000006,126.0
486.00000000000006,126.0
487.00000000000006,127.0
488.00000000000006,129.0
489.00000000000006,129.0
490.00000000000006,129.0
491.00000000000006,129.0
492.00000000000006,129.0
493.00000000000006,130.0
494.00000000000006,131.0
495.00000000000006,132.0
496.00000000000006,133.0
497.00000000000006,134.0
498.00000000000006,134.0
499.00000000000006,134.0
500.00000000000006,136.0
501.00000000000006,137.0
502.00000000000006,138.0
503.00000000000006,139.0
504.00000000000006,141.0
505.00000000000006,142.0
506.00000000000006,143.0
507.00000000000006,143.0
508.00000000000006,143.0
509.00000000000006,143.0
510.00000000000006,143.0
511.00000000000006,143.0
512.0,143.0
513.0,143.0
514.0,143.0
515.0,143.0
516.0,143.0
517.0,142.0
518.0,142.0
519.0,141.0
520.0,141.0
521.0,141.0
522.0,140.0
523.0,138.0
524.0,136.0
525.0,132.0
526.0,131.0
527.0,130.0
528.0,130.0
529.0,131.0
530.0,133.0
531.0,134.0
532.0,136.0
533.0,138.0
534.0,139.0
535.0,141.0
536.0,142.0
537.0,143.0
538.0,143.0
539.0,142.0
540.0,141.0
541.0,139.0
542.0,137.0
543.0,135.0
544.0,134.0
545.0,133.0
546.0,134.0
547.0,134.0
548.0,136.0
549.0,136.0
550.0,137.0
551.0,137.0
552.0,137.0
553.0,137.0
554.0,137.0
555.0,138.0
556.0,139.0
557.0,139.0
558.0,139.0
559.0,139.0
560.0,138.0
561.0,136.0
562.0,135.0
563.0,134.0
564.0,134.0
565.0,134.0
566.0,134.0
567.0,133.0
568.0,133.0
569.0,133.0
570.0,133.0
571.0,132.0
572.0,131.0
573.0,131.0
574.0,130.0
575.0,129.0
576.0,128.0
577.0,127.0
578.0,126.0
579.0,126.0
580.0,126.0
581.0,126.0
582.0,126.0
583.0,126.0
584.0,126.0
585.0,126.0
586.0,127.0
587.0,127.0
588.0,128.0
589.0,130.0
590.0,131.0
591.0,133.0
592.0,134.0
593.0,135.0
594.0,136.0
595.0,137.0
596.0,137.0
597.0,138.0
598.0,138.0
599.0,139.0
600.0,139.0
601.0,138.0
602.0,137.0
603.0,136.0
604.0,136.0
605.0,135.0
606.0,135.0
607.0,134.0
608.0,134.0
609.0,134.0
610.0,134.0
611.0,134.0
612.0,134.0
613.0,133.0
614.0,133.0
615.0,132.0
616.0,132.0
