Time,HR
0.0,86.0
1.0,87.0
2.0,87.0
3.0,87.0
4.0,88.0
5.0,87.0
6.0,86.0
7.0,85.0
8.0,85.0
9.0,87.0
10.0,88.0
11.0,90.0
12.0,93.0
13.0,94.0
14.0,94.0
15.000000000000002,94.0
16.0,94.0
17.0,94.0
21.0,93.0
22.0,93.0
23.0,94.0
24.0,94.0
25.0,95.0
26.0,97.0
27.0,98.0
28.0,98.0
29.000000000000004,99.0
30.000000000000004,100.0
31.000000000000004,99.0
32.0,99.0
33.0,99.0
34.0,99.0
35.0,99.0
40.0,99.0
41.0,98.0
42.0,98.0
43.0,97.0
44.0,97.0
45.0,97.0
46.0,96.0
47.0,95.0
48.0,94.0
49.0,93.0
50.0,93.0
51.0,92.0
52.0,92.0
53.0,91.0
54.0,92.0
55.0,93.0
56.0,94.0
57.0,95.0
58.00000000000001,96.0
59.00000000000001,98.0
60.00000000000001,100.0
61.00000000000001,101.0
62.00000000000001,102.0
63.00000000000001,102.0
64.0,102.0
65.0,101.0
66.0,99.0
67.0,99.0
68.0,99.0
69.0,100.0
70.0,100.0
71.0,102.0
72.0,103.0
73.0,103.0
74.0,103.0
75.0,103.0
76.0,103.0
77.0,102.0
78.0,101.0
79.0,101.0
80.0,99.0
81.0,98.0
82.0,98.0
83.0,99.0
84.0,98.0
85.0,97.0
86.0,97.0
87.0,97.0
88.0,94.0
89.0,92.0
90.0,90.0
91.0,89.0
92.0,87.0
93.0,86.0
94.0,86.0
95.0,86.0
96.0,88.0
97.0,89.0
98.0,89.0
99.0,87.0
100.0,87.0
101.0,87.0
102.0,88.0
103.0,88.0
104.0,88.0
105.0,88.0
106.0,88.0
107.0,88.0
108.0,89.0
109.0,89.0
110.0,89.0
111.0,89.0
112.0,89.0
113.0,89.0
114.0,90.0
115.00000000000001,91.0
116.00000000000001,91.0
117.00000000000001,90.0
118.00000000000001,90.0
119.00000000000001,90.0
120.00000000000001,88.0
121.00000000000001,87.0
122.00000000000001,86.0
123.00000000000001,86.0
124.00000000000001,86.0
125.00000000000001,85.0
126.00000000000001,83.0
127.00000000000001,82.0
128.0,80.0
129.0,80.0
130.0,80.0
131.0,81.0
132.0,82.0
133.0,83.0
134.0,85.0
135.0,87.0
136.0,89.0
137.0,90.0
138.0,90.0
139.0,90.0
140.0,88.0
141.0,89.0
142.0,89.0
143.0,92.0
144.0,94.0
145.0,95.0
146.0,97.0
147.0,100.0
148.0,103.0
149.0,106.0
150.0,108.0
151.0,111.0
152.0,112.0
153.0,113.0
154.0,114.0
155.0,114.0
156.0,114.0
157.0,114.0
158.0,113.0
159.0,112.0
160.0,110.0
161.0,110.0
162.0,110.0
163.0,111.0
164.0,112.0
165.0,112.0
166.0,113.0
167.0,112.0
168.0,112.0
169.0,112.0
170.0,111.0
171.0,111.0
172.0,111.0
173.0,112.0
174.0,112.0
175.0,113.0
176.0,113.0
177.0,112.0
178.0,111.0
179.0,109.0
180.0,108.0
181.0,107.0
182.0,107.0
183.0,107.0
184.0,107.0
185.0,107.0
186.0,107.0
187.0,107.0
188.0,106.0
189.0,106.0
190.0,105.0
191.0,106.0
192.0,106.0
193.0,107.0
194.0,108.0
195.0,109.0
196.0,111.0
197.0,112.0
198.0,112.0
199.0,114.0
200.0,114.0
201.0,114.0
202.0,114.0
203.0,114.0
204.0,112.0
205.0,111.0
206.0,110.0
207.0,109.0
208.0,108.0
209.0,107.0
210.0,107.0
211.0,105.0
212.0,103.0
213.0,102.0
214.0,102.0
215.0,103.0
216.0,103.0
217.0,105.0
218.0,107.0
219.0,109.0
220.0,110.0
221.0,111.0
222.0,112.0
223.0,113.0
224.0,114.0
225.0,113.0
226.0,113.0
227.0,112.0
228.0,112.0
229.00000000000003,112.0
230.00000000000003,113.0
231.00000000000003,114.0
232.00000000000003,116.0
233.00000000000003,116.0
234.00000000000003,115.0
235.00000000000003,113.0
236.00000000000003,111.0
237.00000000000003,108.0
238.00000000000003,107.0
239.00000000000003,105.0
240.00000000000003,103.0
241.00000000000003,103.0
242.00000000000003,103.0
243.00000000000003,103.0
244.00000000000003,102.0
245.00000000000003,101.0
246.00000000000003,101.0
247.00000000000003,101.0
248.00000000000003,102.0
249.00000000000003,103.0
250.00000000000003,104.0
251.00000000000003,105.0
252.00000000000003,105.0
253.00000000000003,104.0
254.00000000000003,103.0
255.00000000000003,104.0
256.0,104.0
257.0,106.0
258.0,108.0
259.0,109.0
260.0,109.0
261.0,110.0
262.0,110.0
263.0,112.0
264.0,113.0
265.0,115.0
266.0,117.0
267.0,118.0
268.0,120.0
269.0,121.0
270.0,123.0
271.0,125.0
272.0,128.0
273.0,129.0
274.0,131.0
275.0,131.0
276.0,130.0
277.0,127.0
278.0,124.0
279.0,122.0
280.0,120.0
281.0,120.0
282.0,120.0
283.0,122.0
284.0,122.0
285.0,123.0
286.0,124.0
287.0,124.0
288.0,125.0
289.0,125.0
290.0,126.0
291.0,126.0
292.0,127.0
293.0,127.0
294.0,129.0
295.0,129.0
296.0,130.0
297.0,130.0
298.0,131.0
299.0,131.0
300.0,132.0
301.0,133.0
302.0,134.0
303.0,134.0
304.0,134.0
305.0,135.0
306.0,135.0
307.0,135.0
308.0,135.0
309.0,135.0
310.0,135.0
