Time,HR
0.0,88.0
1.0,88.0
2.0,89.0
5.0,90.0
9.0,91.0
10.0,92.0
11.0,91.0
12.0,90.0
13.0,89.0
14.0,90.0
16.0,93.0
18.0,90.0
23.0,91.0
32.0,89.0
43.0,86.0
48.0,89.0
49.0,87.0
68.0,82.0
72.0,85.0
81.0,88.0
88.0,91.0
93.0,88.0
96.0,85.0
105.0,82.0
123.00000000000001,86.0
133.0,86.0
135.0,86.0
140.0,86.0
142.0,86.0
147.0,89.0
171.0,92.0
182.0,89.0
186.0,86.0
191.0,83.0
218.0,85.0
220.0,86.0
225.0,87.0
230.00000000000003,88.0
234.00000000000003,91.0
236.00000000000003,89.0
242.00000000000003,90.0
248.00000000000003,88.0
255.00000000000003,89.0
257.0,86.0
284.0,89.0
287.0,91.0
290.0,94.0
293.0,97.0
303.0,101.0
305.0,97.0
330.0,94.0
350.0,97.0
377.0,97.0
378.0,98.0
381.0,95.0
382.0,96.0
387.0,96.0
391.0,100.0
392.0,100.0
395.0,97.0
397.0,96.0
403.0,95.0
404.0,95.0
414.0,98.0
415.0,98.0
421.0,100.0
423.0,100.0
428.0,99.0
430.0,98.0
432.0,97.0
435.0,96.0
436.0,95.0
441.0,92.0
442.0,92.0
448.0,90.0
452.0,88.0
455.0,87.0
459.00000000000006,90.0
463.00000000000006,92.0
467.00000000000006,95.0
474.00000000000006,96.0
480.00000000000006,96.0
495.00000000000006,95.0
498.00000000000006,94.0
503.00000000000006,90.0
510.00000000000006,93.0
513.0,93.0
514.0,90.0
517.0,91.0
526.0,88.0
527.0,87.0
541.0,90.0
553.0,94.0
557.0,91.0
581.0,94.0
595.0,97.0
599.0,101.0
601.0,97.0
615.0,94.0
628.0,91.0
629.0,90.0
632.0,87.0
634.0,86.0
643.0,83.0
669.0,86.0
672.0,89.0
688.0,86.0
699.0,89.0
711.0,86.0
715.0,83.0
733.0,84.0
736.0,84.0
746.0,87.0
755.0,90.0
760.0,92.0
766.0,95.0
771.0,98.0
784.0,95.0
787.0,95.0
789.0,93.0
791.0,96.0
794.0,96.0
797.0,99.0
801.0,100.0
806.0,103.0
808.0,103.0
814.0,100.0
816.0,99.0
824.0,97.0
830.0,94.0
835.0,93.0
843.0,91.0
858.0,91.0
864.0,94.0
875.0,97.0
881.0,97.0
885.0,97.0
917.0000000000001,99.0
922.0000000000001,99.0
927.0000000000001,101.0
932.0000000000001,101.0
935.0000000000001,98.0
937.0000000000001,96.0
941.0000000000001,93.0
944.0000000000001,91.0
950.0000000000001,88.0
952.0000000000001,88.0
957.0000000000001,87.0
959.0000000000001,84.0
960.0000000000001,87.0
963.0000000000001,89.0
966.0000000000001,94.0
975.0000000000001,91.0
997.0000000000001,88.0
1006.0000000000001,85.0
1014.0000000000001,87.0
1017.0000000000001,90.0
1019.0000000000001,93.0
1021.0000000000001,95.0
1025.0,98.0
1026.0,98.0
1030.0,97.0
1036.0,99.0
1042.0,101.0
1047.0,100.0
1057.0,102.0
1062.0,99.0
1084.0,96.0
1099.0,93.0
1104.0,90.0
1108.0,87.0
1126.0,90.0
1128.0,93.0
1134.0,96.0
1148.0,100.0
1166.0,97.0
1171.0,94.0
1177.0,91.0
1212.0,88.0
1228.0,91.0
1234.0,94.0
1249.0,91.0
1255.0,88.0
1258.0,85.0
1261.0,82.0
1278.0,85.0
1281.0,88.0
1284.0,92.0
1287.0,95.0
1290.0,98.0
1293.0,101.0
1307.0,98.0
1317.0,101.0
1336.0,98.0
1350.0,94.0
1376.0,97.0
1382.0,100.0
1395.0,97.0
1400.0,94.0
1412.0,91.0
1422.0,94.0
1428.0,98.0
1449.0,95.0
1455.0,92.0
1474.0,89.0
1477.0,92.0
1479.0,88.0
1494.0,91.0
1512.0,94.0
1517.0,97.0
1525.0,100.0
1536.0,97.0
1560.0,94.0
1580.0,97.0
1583.0,100.0
1595.0,96.0
1600.0,93.0
1623.0,96.0
1627.0,99.0
1655.0,102.0
1658.0,105.0
1686.0,102.0
1694.0,99.0
1703.0,96.0
1735.0,99.0
1743.0,102.0
1756.0,105.0
1768.0,102.0
1772.0,99.0
1779.0,95.0
1781.0,98.0
1794.0,101.0
1801.0,98.0
1809.0,95.0
1834.0000000000002,98.0
1839.0000000000002,95.0
1841.0000000000002,98.0
1843.0000000000002,99.0
1847.0000000000002,102.0
1850.0000000000002,103.0
1865.0000000000002,106.0
1869.0000000000002,106.0
1882.0000000000002,103.0
1896.0000000000002,100.0
1902.0000000000002,97.0
1909.0000000000002,94.0
1927.0000000000002,97.0
1945.0000000000002,100.0
1946.0000000000002,96.0
1967.0000000000002,100.0
1969.0000000000002,103.0
1971.0000000000002,106.0
1974.0000000000002,109.0
1994.0000000000002,106.0
2005.0000000000002,103.0
2007.0000000000002,106.0
2008.0000000000002,103.0
2012.0000000000002,100.0
2022.0000000000002,103.0
2028.0000000000002,106.0
2038.0000000000002,103.0
2061.0,100.0
2077.0,97.0
2082.0,100.0
2103.0,97.0
2112.0,94.0
2124.0,97.0
2143.0,94.0
2157.0,97.0
2160.0,94.0
2173.0,97.0
2176.0,100.0
2192.0,97.0
2194.0,100.0
2202.0,97.0
2209.0,100.0
2219.0,97.0
2233.0,100.0
2236.0,103.0
2239.0,106.0
2243.0,109.0
2250.0,110.0
2254.0,110.0
2275.0,107.0
2279.0,104.0
2294.0,101.0
2310.0,98.0
2336.0,95.0
2358.0,98.0
2366.0,101.0
2376.0,104.0
2398.0,101.0
2434.0,104.0
2463.0,101.0
2479.0,102.0
2484.0,102.0
2485.0,102.0
2494.0,101.0
2498.0,104.0
2500.0,104.0
2501.0,104.0
2505.0,104.0
2509.0,105.0
2514.0,108.0
2516.0,108.0
2522.0,108.0
2530.0,110.0
2538.0,108.0
2541.0,105.0
2554.0,102.0
2568.0,105.0
2601.0,108.0
2635.0,111.0
2637.0,108.0
2648.0,105.0
2658.0,101.0
2670.0,104.0
2673.0,107.0
2678.0,110.0
2690.0,107.0
2697.0,104.0
2718.0,101.0
2738.0,98.0
2742.0,97.0
2747.0,94.0
2756.0,91.0
2794.0,94.0
2811.0,91.0
2812.0,94.0
2818.0,98.0
2820.0,95.0
2823.0,100.0
2826.0,103.0
2828.0,106.0
2831.0,109.0
2849.0,106.0
2851.0,109.0
2855.0,109.0
2862.0,106.0
2863.0,105.0
2870.0,104.0
2875.0,103.0
2903.0,106.0
2907.0,109.0
2910.0,112.0
2941.0,109.0
2966.0,106.0
2974.0,103.0
2981.0,106.0
2983.0,102.0
2984.0,105.0
3010.0,102.0
3027.0,99.0
3036.0,102.0
3045.0,105.0
3049.0,108.0
3067.0,105.0
3080.0,102.0
3097.0,99.0
3108.0,96.0
3112.0,99.0
3117.0,102.0
3121.0,105.0
3139.0,102.0
3145.0,99.0
3170.0,102.0
3194.0,99.0
3229.0,96.0
3233.0,93.0
3234.0,96.0
3252.0,93.0
3256.0,90.0
3263.0,94.0
3268.0,97.0
3272.0,100.0
3299.0,97.0
3301.0,94.0
3306.0,91.0
3314.0,91.0
3329.0,94.0
3332.0,97.0
3336.0,100.0
3340.0,103.0
3346.0,100.0
3350.0,97.0
3361.0,100.0
3399.0,97.0
3406.0,94.0
3411.0,91.0
3415.0,90.0
3417.0,90.0
3421.0,91.0
3427.0,93.0
3433.0,96.0
3439.0,98.0
3445.0,99.0
3458.0,98.0
3475.0,101.0
3479.0,104.0
3483.0,107.0
3487.0,104.0
3500.0,101.0
3520.0,98.0
3530.0,101.0
3543.0,104.0
3554.0,101.0
3578.0,104.0
3590.0,107.0
3635.0,110.0
3640.0,113.0
3643.0,116.0
3651.0000000000005,119.0
3669.0000000000005,116.0
3675.0000000000005,113.0
3688.0000000000005,109.0
3725.0000000000005,106.0
3734.0000000000005,103.0
3743.0000000000005,100.0
3751.0000000000005,103.0
3761.0000000000005,106.0
3767.0000000000005,109.0
3775.0000000000005,106.0
3801.0000000000005,106.0
3803.0000000000005,107.0
3811.0000000000005,109.0
3812.0000000000005,112.0
3813.0000000000005,109.0
3843.0000000000005,106.0
3851.0000000000005,103.0
3878.0000000000005,106.0
3894.0000000000005,109.0
3899.0000000000005,112.0
3913.0000000000005,109.0
3914.0000000000005,112.0
3921.0000000000005,109.0
3928.0000000000005,106.0
3965.0000000000005,103.0
3972.0000000000005,100.0
3978.0000000000005,103.0
3984.0000000000005,105.0
3991.0000000000005,107.0
3997.0000000000005,109.0
4005.0000000000005,109.0
4010.0000000000005,109.0
