Time,HR
0.0,75
1.0,76
2.0,76
3.0,77
4.0,78
5.0,79
6.0,79
7.0,79
8.0,80
9.0,80
10.0,81
11.0,81
12.0,81
13.0,82
14.0,83
15.000000000000002,84
16.0,86
17.0,86
18.0,87
19.0,90
20.0,93
21.0,96
22.0,101
23.0,105
24.0,106
25.0,109
26.0,112
27.0,112
28.0,112
29.000000000000004,110
30.000000000000004,110
31.000000000000004,99
32.0,98
33.0,97
34.0,97
35.0,97
36.0,101
37.0,103
38.0,104
39.0,104
40.0,104
41.0,98
42.0,92
43.0,88
44.0,86
45.0,85
46.0,84
47.0,84
48.0,84
49.0,85
50.0,85
51.0,87
52.0,90
53.0,94
54.0,94
55.0,99
56.0,103
57.0,104
58.00000000000001,106
59.00000000000001,108
60.00000000000001,108
61.00000000000001,108
62.00000000000001,108
63.00000000000001,108
64.0,109
65.0,109
66.0,109
67.0,108
68.0,102
69.0,87
70.0,87
71.0,86
72.0,86
73.0,89
74.0,93
75.0,96
76.0,99
77.0,99
78.0,95
79.0,95
80.0,94
81.0,97
82.0,97
83.0,98
84.0,102
85.0,103
86.0,104
87.0,104
88.0,103
89.0,103
90.0,102
91.0,97
92.0,93
93.0,94
94.0,96
95.0,98
96.0,100
97.0,100
98.0,99
99.0,98
100.0,98
101.0,98
102.0,98
103.0,97
104.0,97
105.0,98
106.0,98
107.0,100
108.0,102
109.0,102
110.0,103
111.0,105
112.0,105
113.0,109
114.0,112
115.00000000000001,114
116.00000000000001,121
117.00000000000001,121
118.00000000000001,123
119.00000000000001,125
120.00000000000001,126
121.00000000000001,127
122.00000000000001,126
123.00000000000001,126
124.00000000000001,123
125.00000000000001,124
126.00000000000001,124
127.00000000000001,124
128.0,124
129.0,124
130.0,123
131.0,122
132.0,121
133.0,122
134.0,123
135.0,124
136.0,125
137.0,126
138.0,124
139.0,122
140.0,121
141.0,120
142.0,120
143.0,119
144.0,119
145.0,121
146.0,123
147.0,123
148.0,123
149.0,127
150.0,128
151.0,129
152.0,129
153.0,131
154.0,131
155.0,131
156.0,131
157.0,130
158.0,128
