Time,HR
0.0,117.0
1.0,115.0
2.0,111.0
3.0,109.0
4.0,109.0
5.0,109.0
6.0,109.0
7.0,109.0
8.0,107.0
9.0,106.0
10.0,105.0
11.0,106.0
12.0,106.0
13.0,106.0
14.0,106.0
15.000000000000002,106.0
16.0,106.0
17.0,106.0
18.0,102.0
19.0,103.0
20.0,106.0
21.0,107.0
22.0,106.0
23.0,105.0
24.0,105.0
25.0,103.0
26.0,102.0
27.0,102.0
28.0,102.0
29.000000000000004,101.0
30.000000000000004,101.0
31.000000000000004,105.0
32.0,108.0
33.0,108.0
34.0,105.0
35.0,104.0
36.0,101.0
37.0,100.0
38.0,95.0
39.0,94.0
40.0,93.0
41.0,97.0
42.0,99.0
43.0,100.0
44.0,100.0
45.0,100.0
46.0,99.0
47.0,98.0
48.0,96.0
49.0,94.0
50.0,93.0
51.0,93.0
52.0,92.0
53.0,91.0
54.0,91.0
55.0,91.0
56.0,93.0
57.0,94.0
58.00000000000001,94.0
59.00000000000001,93.0
60.00000000000001,90.0
61.00000000000001,90.0
62.00000000000001,92.0
63.00000000000001,94.0
64.0,98.0
65.0,100.0
66.0,98.0
67.0,95.0
68.0,94.0
69.0,93.0
70.0,87.0
71.0,89.0
72.0,92.0
73.0,96.0
74.0,101.0
75.0,104.0
76.0,104.0
77.0,103.0
78.0,100.0
79.0,97.0
80.0,96.0
81.0,98.0
82.0,99.0
83.0,97.0
84.0,96.0
85.0,96.0
86.0,97.0
87.0,99.0
88.0,100.0
89.0,102.0
90.0,102.0
91.0,100.0
92.0,99.0
93.0,99.0
94.0,99.0
95.0,99.0
96.0,99.0
97.0,99.0
98.0,99.0
99.0,97.0
100.0,97.0
101.0,99.0
102.0,98.0
103.0,99.0
104.0,104.0
105.0,108.0
106.0,111.0
107.0,113.0
108.0,116.0
109.0,117.0
110.0,117.0
111.0,117.0
112.0,114.0
113.0,112.0
114.0,110.0
115.00000000000001,109.0
116.00000000000001,109.0
117.00000000000001,112.0
118.00000000000001,115.0
119.00000000000001,118.0
120.00000000000001,120.0
121.00000000000001,123.0
122.00000000000001,123.0
123.00000000000001,126.0
124.00000000000001,128.0
125.00000000000001,130.0
126.00000000000001,130.0
127.00000000000001,131.0
128.0,130.0
129.0,127.0
130.0,124.0
131.0,123.0
132.0,124.0
133.0,126.0
134.0,126.0
135.0,125.0
136.0,125.0
137.0,126.0
138.0,127.0
139.0,127.0
140.0,128.0
141.0,129.0
142.0,129.0
143.0,129.0
144.0,129.0
145.0,130.0
146.0,128.0
147.0,126.0
148.0,124.0
149.0,123.0
150.0,124.0
151.0,125.0
152.0,126.0
153.0,127.0
154.0,129.0
155.0,131.0
156.0,132.0
157.0,134.0
158.0,136.0
159.0,137.0
160.0,137.0
161.0,137.0
162.0,137.0
163.0,138.0
164.0,138.0
165.0,138.0
166.0,138.0
167.0,137.0
168.0,137.0
169.0,133.0
170.0,130.0
171.0,129.0
172.0,129.0
173.0,130.0
174.0,130.0
175.0,130.0
176.0,130.0
177.0,131.0
178.0,133.0
179.0,134.0
180.0,134.0
181.0,132.0
182.0,130.0
183.0,124.0
184.0,120.0
185.0,119.0
186.0,119.0
187.0,121.0
188.0,123.0
189.0,124.0
190.0,124.0
191.0,124.0
192.0,124.0
193.0,124.0
194.0,124.0
195.0,124.0
196.0,124.0
197.0,125.0
198.0,127.0
199.0,128.0
200.0,130.0
201.0,130.0
202.0,129.0
203.0,128.0
204.0,127.0
205.0,127.0
206.0,128.0
207.0,129.0
208.0,131.0
209.0,131.0
210.0,133.0
211.0,133.0
212.0,132.0
213.0,129.0
214.0,127.0
215.0,126.0
216.0,127.0
217.0,127.0
218.0,129.0
219.0,129.0
220.0,130.0
221.0,130.0
222.0,130.0
223.0,131.0
224.0,132.0
225.0,135.0
226.0,135.0
227.0,136.0
228.0,135.0
229.00000000000003,136.0
230.00000000000003,137.0
231.00000000000003,139.0
232.00000000000003,140.0
233.00000000000003,140.0
234.00000000000003,141.0
235.00000000000003,141.0
236.00000000000003,141.0
237.00000000000003,140.0
238.00000000000003,139.0
239.00000000000003,139.0
240.00000000000003,139.0
241.00000000000003,141.0
242.00000000000003,141.0
243.00000000000003,142.0
244.00000000000003,142.0
245.00000000000003,143.0
246.00000000000003,144.0
247.00000000000003,144.0
248.00000000000003,144.0
249.00000000000003,144.0
250.00000000000003,144.0
251.00000000000003,145.0
252.00000000000003,145.0
253.00000000000003,145.0
254.00000000000003,145.0
255.00000000000003,145.0
256.0,145.0
258.0,70.0
259.0,147.0
260.0,146.0
261.0,145.0
262.0,145.0
263.0,144.0
264.0,144.0
265.0,143.0
266.0,142.0
267.0,140.0
268.0,139.0
269.0,140.0
270.0,140.0
271.0,141.0
272.0,142.0
273.0,143.0
274.0,144.0
275.0,144.0
276.0,145.0
277.0,145.0
278.0,145.0
279.0,146.0
280.0,146.0
281.0,145.0
282.0,143.0
283.0,141.0
284.0,140.0
285.0,140.0
286.0,140.0
287.0,141.0
288.0,142.0
289.0,143.0
290.0,143.0
291.0,143.0
292.0,143.0
293.0,144.0
294.0,144.0
295.0,144.0
296.0,142.0
297.0,142.0
298.0,141.0
299.0,140.0
300.0,140.0
301.0,140.0
302.0,138.0
303.0,138.0
304.0,138.0
305.0,139.0
306.0,138.0
307.0,139.0
308.0,139.0
309.0,139.0
310.0,139.0
311.0,140.0
312.0,140.0
313.0,141.0
314.0,142.0
315.0,142.0
316.0,141.0
317.0,141.0
318.0,141.0
319.0,139.0
320.0,137.0
321.0,134.0
322.0,134.0
323.0,134.0
324.0,134.0
325.0,136.0
326.0,137.0
327.0,139.0
328.0,139.0
329.0,141.0
330.0,142.0
331.0,142.0
332.0,142.0
333.0,143.0
334.0,143.0
335.0,143.0
336.0,143.0
337.0,143.0
338.0,143.0
339.0,144.0
340.0,144.0
341.0,144.0
342.0,145.0
343.0,145.0
344.0,145.0
345.0,145.0
346.0,144.0
347.0,144.0
348.0,144.0
349.0,144.0
350.0,144.0
351.0,143.0
352.0,143.0
353.0,142.0
354.0,140.0
355.0,138.0
356.0,137.0
357.0,137.0
358.0,135.0
359.0,134.0
360.0,132.0
361.0,130.0
362.0,129.0
363.0,128.0
364.0,127.0
365.0,128.0
366.0,128.0
367.0,126.0
368.0,123.0
369.0,121.0
370.0,120.0
371.0,120.0
372.0,119.0
373.0,119.0
374.0,119.0
375.0,117.0
376.0,117.0
377.0,117.0
378.0,117.0
379.0,117.0
380.0,115.0
381.0,115.0
382.0,115.0
383.0,115.0
384.0,114.0
385.0,115.0
386.0,115.0
387.0,117.0
388.0,119.0
389.0,119.0
390.0,118.0
391.0,118.0
392.0,120.0
393.0,123.0
394.0,125.0
395.0,127.0
396.0,129.0
397.0,131.0
398.0,133.0
399.0,134.0
400.0,134.0
401.0,135.0
402.0,135.0
403.0,135.0
404.0,134.0
405.0,131.0
406.0,129.0
407.0,127.0
408.0,126.0
409.0,125.0
410.0,123.0
411.0,122.0
412.0,120.0
413.0,118.0
414.0,117.0
415.0,117.0
416.0,118.0
417.0,120.0
418.0,121.0
419.0,122.0
420.0,123.0
421.0,123.0
422.0,123.0
423.0,124.0
424.0,124.0
425.0,124.0
426.0,124.0
427.0,122.0
