Time,HR
0.0,85.0
6.0,87.0
20.0,88.0
22.0,88.0
24.0,88.0
28.0,88.0
34.0,89.0
40.0,87.0
44.0,86.0
49.0,84.0
70.0,81.0
71.0,81.0
74.0,78.0
78.0,75.0
82.0,72.0
87.0,69.0
96.0,72.0
99.0,75.0
104.0,75.0
120.00000000000001,81.0
127.00000000000001,80.0
129.0,76.0
132.0,81.0
133.0,80.0
145.0,83.0
152.0,81.0
159.0,80.0
165.0,82.0
168.0,85.0
176.0,87.0
185.0,87.0
189.0,90.0
190.0,91.0
193.0,92.0
206.0,89.0
209.0,89.0
215.0,86.0
217.0,85.0
222.0,82.0
228.0,80.0
242.00000000000003,77.0
262.0,74.0
265.0,77.0
267.0,73.0
270.0,74.0
275.0,77.0
280.0,80.0
295.0,77.0
304.0,79.0
308.0,82.0
313.0,79.0
316.0,76.0
317.0,75.0
320.0,73.0
342.0,76.0
347.0,79.0
355.0,82.0
357.0,82.0
362.0,84.0
367.0,85.0
372.0,86.0
377.0,87.0
389.0,84.0
403.0,83.0
407.0,80.0
412.0,78.0
415.0,75.0
417.0,79.0
443.0,81.0
447.0,84.0
450.0,87.0
478.00000000000006,84.0
485.00000000000006,81.0
487.00000000000006,81.0
492.00000000000006,80.0
499.00000000000006,77.0
526.0,80.0
530.0,83.0
534.0,86.0
540.0,89.0
588.0,86.0
595.0,83.0
620.0,86.0
624.0,83.0
631.0,87.0
632.0,87.0
635.0,90.0
636.0,89.0
842.0,88.0
844.0,88.0
846.0,89.0
849.0,90.0
854.0,93.0
856.0,94.0
862.0,94.0
869.0,96.0
875.0,94.0
878.0,91.0
881.0,90.0
883.0,90.0
885.0,91.0
890.0,92.0
895.0,89.0
896.0,89.0
902.0,88.0
909.0,88.0
914.0000000000001,88.0
917.0000000000001,91.0
919.0000000000001,93.0
925.0000000000001,94.0
941.0000000000001,95.0
948.0000000000001,91.0
950.0000000000001,94.0
969.0000000000001,91.0
973.0000000000001,88.0
988.0000000000001,85.0
1000.0000000000001,82.0
1010.0000000000001,85.0
1032.0,86.0
1035.0,84.0
1039.0,83.0
1040.0,83.0
1047.0,84.0
1051.0,87.0
1055.0,84.0
1339.0,95.0
1340.0,95.0
1344.0,97.0
1366.0,94.0
1381.0,97.0
1389.0,94.0
1404.0,91.0
1416.0,94.0
1417.0,91.0
1438.0,88.0
1449.0,85.0
1474.0,88.0
1477.0,91.0
1479.0,94.0
1483.0,97.0
1487.0,99.0
1492.0,99.0
1497.0,96.0
1499.0,94.0
1505.0,93.0
1509.0,93.0
1514.0,92.0
1520.0,91.0
1538.0,92.0
1544.0,95.0
1570.0,92.0
1575.0,89.0
1594.0,86.0
1623.0,83.0
1645.0,80.0
1646.0,83.0
1656.0,87.0
1658.0,90.0
1660.0,93.0
1673.0,96.0
1674.0,96.0
2066.0,101.0
2081.0,98.0
2094.0,95.0
2101.0,92.0
2145.0,89.0
2152.0,86.0
2177.0,89.0
2185.0,92.0
2190.0,95.0
2202.0,98.0
2211.0,101.0
2234.0,98.0
2259.0,101.0
2269.0,104.0
2284.0,101.0
2293.0,98.0
2296.0,95.0
2312.0,98.0
2317.0,101.0
2320.0,104.0
2328.0,107.0
2343.0,104.0
2353.0,101.0
2370.0,98.0
2385.0,95.0
2404.0,98.0
2410.0,101.0
2432.0,104.0
2433.0,107.0
2435.0,112.0
2437.0,116.0
2439.0,119.0
2443.0,122.0
2452.0,119.0
2456.0,116.0
2460.0,113.0
2463.0,110.0
2465.0,107.0
2469.0,104.0
2474.0,107.0
2477.0,104.0
2487.0,101.0
2519.0,104.0
2522.0,107.0
2532.0,110.0
2536.0,113.0
2563.0,110.0
3200.0,99.0
3201.0,99.0
3241.0,102.0
3243.0,105.0
3246.0,108.0
3250.0,111.0
3260.0,108.0
3263.0,105.0
3267.0,102.0
3275.0,99.0
3303.0,96.0
3326.0,99.0
3331.0,102.0
3333.0,106.0
3335.0,109.0
3337.0,113.0
3354.0,116.0
3361.0,119.0
3370.0,116.0
3375.0,113.0
3380.0,110.0
3387.0,107.0
3392.0,104.0
3395.0,101.0
3398.0,98.0
3406.0,95.0
3412.0,98.0
3415.0,101.0
3423.0,104.0
3433.0,101.0
3442.0,98.0
3450.0,101.0
3460.0,104.0
3483.0,107.0
3499.0,110.0
3513.0,106.0
3516.0,103.0
3519.0,100.0
3525.0,97.0
3541.0,100.0
3560.0,97.0
3562.0,94.0
3580.0,97.0
3584.0,100.0
3586.0,103.0
3588.0,107.0
3590.0,110.0
3592.0,113.0
3611.0,116.0
3624.0,113.0
3631.0,110.0
3658.0000000000005,107.0
3662.0000000000005,106.0
3667.0000000000005,109.0
3671.0000000000005,110.0
3678.0000000000005,111.0
3680.0000000000005,112.0
3683.0000000000005,112.0
3689.0000000000005,111.0
3693.0000000000005,108.0
3694.0000000000005,111.0
3695.0000000000005,111.0
3703.0000000000005,110.0
3711.0000000000005,110.0
3719.0000000000005,112.0
3750.0000000000005,115.0
3754.0000000000005,114.0
4796.0,87.0
4797.0,87.0
4803.0,84.0
4827.0,87.0
4841.0,84.0
4858.0,87.0
4865.0,90.0
4889.0,93.0
4903.0,90.0
4915.0,94.0
4921.0,97.0
4922.0,97.0
4928.0,95.0
4933.0,93.0
4940.0,91.0
4941.0,91.0
