Time,HR
0.0,82
1.0,82
2.0,80
3.0,78
4.0,77
5.0,76
6.0,76
7.0,77
8.0,78
9.0,78
10.0,74
11.0,74
12.0,72
13.0,71
14.0,73
15.000000000000002,73
16.0,72
17.0,72
18.0,73
19.0,73
20.0,73
21.0,73
22.0,74
23.0,76
24.0,77
25.0,78
26.0,78
27.0,78
28.0,77
29.000000000000004,77
30.000000000000004,77
31.000000000000004,78
32.0,79
33.0,80
34.0,80
35.0,80
36.0,81
37.0,82
38.0,82
39.0,82
40.0,82
41.0,82
42.0,82
43.0,82
44.0,82
45.0,82
46.0,82
47.0,81
48.0,80
49.0,80
50.0,79
51.0,79
52.0,79
53.0,79
54.0,78
55.0,79
56.0,81
57.0,81
58.00000000000001,82
59.00000000000001,83
60.00000000000001,84
61.00000000000001,86
62.00000000000001,87
63.00000000000001,87
64.0,89
65.0,89
66.0,89
67.0,89
68.0,89
69.0,89
70.0,89
71.0,87
72.0,86
73.0,86
74.0,86
75.0,86
76.0,86
77.0,86
78.0,84
79.0,83
80.0,83
81.0,84
82.0,86
83.0,87
84.0,89
85.0,89
86.0,90
87.0,94
88.0,97
89.0,100
90.0,103
91.0,105
92.0,107
93.0,109
94.0,111
95.0,112
96.0,111
97.0,102
98.0,93
99.0,85
100.0,85
101.0,82
102.0,81
103.0,84
104.0,84
105.0,86
106.0,92
107.0,95
108.0,97
109.0,97
110.0,99
111.0,100
112.0,100
113.0,100
114.0,104
115.00000000000001,105
116.00000000000001,105
117.00000000000001,105
118.00000000000001,101
119.00000000000001,98
120.00000000000001,98
121.00000000000001,94
122.00000000000001,93
123.00000000000001,94
124.00000000000001,96
125.00000000000001,99
126.00000000000001,101
127.00000000000001,101
128.0,100
129.0,98
130.0,98
131.0,98
132.0,94
133.0,94
134.0,95
135.0,98
136.0,100
137.0,100
138.0,95
139.0,93
140.0,92
141.0,90
142.0,90
143.0,90
144.0,90
145.0,90
146.0,89
147.0,89
148.0,85
149.0,84
150.0,84
151.0,84
152.0,87
153.0,87
