,accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G)
0,204.8,-876.8,-224.0
1,166.4,-881.0666666666666,-187.73333333333332
2,119.46666666666667,-913.0666666666666,-130.13333333333333
3,49.06666666666666,-923.7333333333333,-70.4
4,-23.466666666666665,-923.7333333333333,2.1333333333333333
5,-81.06666666666666,-928.0,55.46666666666667
6,-145.06666666666666,-889.6,93.86666666666666
7,-196.26666666666665,-829.8666666666667,93.86666666666666
8,-226.13333333333333,-772.2666666666667,64.0
9,-270.93333333333334,-684.8,19.2
10,-315.73333333333335,-582.4,-29.866666666666667
11,-326.4,-490.6666666666667,-85.33333333333333
12,-341.3333333333333,-403.2,-130.13333333333333
13,-313.6,-324.26666666666665,-166.4
14,-273.06666666666666,-258.1333333333333,-181.33333333333334
15,-198.4,-236.79999999999998,-200.53333333333333
16,-123.73333333333333,-228.26666666666665,-192.0
17,-29.866666666666667,-236.79999999999998,-128.0
18,49.06666666666666,-189.86666666666667,-98.13333333333333
19,76.8,-179.2,-64.0
20,100.26666666666667,-147.2,-57.6
21,113.06666666666666,-142.93333333333334,-49.06666666666666
22,115.2,-145.06666666666666,-85.33333333333333
23,102.4,-162.13333333333333,-117.33333333333333
24,93.86666666666666,-187.73333333333332,-123.73333333333333
25,74.66666666666667,-194.13333333333333,-104.53333333333333
26,44.8,-189.86666666666667,-61.86666666666667
27,6.4,-177.06666666666666,-14.933333333333334
28,-23.466666666666665,-151.46666666666667,-8.533333333333333
29,-57.6,-102.4,-27.733333333333334
30,-34.13333333333333,-55.46666666666667,-44.8
31,-57.6,2.1333333333333333,-87.46666666666667
32,-87.46666666666667,57.6,-130.13333333333333
33,-136.53333333333333,91.73333333333333,-136.53333333333333
34,-181.33333333333334,128.0,-138.66666666666666
35,-202.66666666666666,155.73333333333332,-142.93333333333334
36,-232.53333333333333,168.53333333333333,-155.73333333333332
37,-238.93333333333334,168.53333333333333,-196.26666666666665
38,-224.0,187.73333333333332,-200.53333333333333
39,-196.26666666666665,204.8,-200.53333333333333
40,-181.33333333333334,194.13333333333333,-281.6
41,-183.46666666666667,123.73333333333333,-448.0
42,-196.26666666666665,100.26666666666667,-561.0666666666666
43,-221.86666666666667,91.73333333333333,-616.5333333333333
44,-281.6,93.86666666666666,-678.4
45,-384.0,93.86666666666666,-672.0
46,-448.0,-29.866666666666667,-597.3333333333334
47,-443.73333333333335,-339.2,-377.6
48,-413.8666666666667,-814.9333333333333,-108.8
49,-189.86666666666667,-1111.4666666666667,55.46666666666667
50,-140.8,-1262.9333333333334,183.46666666666667
51,-160.0,-1226.6666666666667,183.46666666666667
52,17.066666666666666,-1177.6,115.2
53,360.5333333333333,-1252.2666666666667,-19.2
54,605.8666666666667,-1337.6,-300.8
55,554.6666666666666,-1380.2666666666667,-433.06666666666666
56,396.8,-1339.7333333333333,-401.06666666666666
57,302.93333333333334,-1277.8666666666666,-390.4
58,236.79999999999998,-1256.5333333333333,-392.5333333333333
59,241.06666666666666,-1314.1333333333332,-403.2
60,209.06666666666666,-1412.2666666666667,-418.1333333333333
61,102.4,-1497.6,-405.3333333333333
62,21.333333333333332,-1493.3333333333333,-371.2
63,-29.866666666666667,-1435.7333333333333,-290.1333333333333
64,-102.4,-1339.7333333333333,-185.6
65,-181.33333333333334,-1224.5333333333333,-96.0
66,-262.4,-1092.2666666666667,-27.733333333333334
67,-307.2,-968.5333333333333,-8.533333333333333
68,-305.06666666666666,-857.6,-6.4
69,-328.5333333333333,-761.6,-21.333333333333332
70,-366.93333333333334,-704.0,-40.53333333333333
71,-362.6666666666667,-669.8666666666667,-38.4
72,-315.73333333333335,-661.3333333333334,-23.466666666666665
73,-243.2,-640.0,-25.6
74,-153.6,-640.0,-17.066666666666666
75,-89.6,-627.2,-8.533333333333333
76,4.266666666666667,-605.8666666666667,-23.466666666666665
77,115.2,-561.0666666666666,-38.4
78,204.8,-492.8,-70.4
79,260.26666666666665,-439.46666666666664,-89.6
80,324.26666666666665,-422.4,-108.8
81,341.3333333333333,-433.06666666666666,-100.26666666666667
82,352.0,-480.0,-66.13333333333333
83,311.46666666666664,-556.8,-25.6
84,264.5333333333333,-544.0,21.333333333333332
85,226.13333333333333,-524.8,2.1333333333333333
86,179.2,-458.6666666666667,-29.866666666666667
87,117.33333333333333,-371.2,-83.2
88,44.8,-251.73333333333332,-125.86666666666666
89,-17.066666666666666,-149.33333333333334,-138.66666666666666
90,-81.06666666666666,-100.26666666666667,-153.6
91,-85.33333333333333,-93.86666666666666,-147.2
92,-66.13333333333333,-119.46666666666667,-125.86666666666666
93,-29.866666666666667,-192.0,-121.6
94,23.466666666666665,-236.79999999999998,-106.66666666666667
95,68.26666666666667,-264.5333333333333,-93.86666666666666
