,accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G)
0,44.8,-516.2666666666667,-181.33333333333334
1,44.8,-518.4,-179.2
2,42.666666666666664,-518.4,-179.2
3,40.53333333333333,-516.2666666666667,-170.66666666666666
4,38.4,-512.0,-174.93333333333334
5,72.53333333333333,-512.0,-170.66666666666666
6,38.4,-518.4,-179.2
7,44.8,-516.2666666666667,-185.6
8,42.666666666666664,-520.5333333333333,-174.93333333333334
9,42.666666666666664,-522.6666666666666,-174.93333333333334
10,38.4,-520.5333333333333,-181.33333333333334
11,46.93333333333333,-524.8,-179.2
12,38.4,-520.5333333333333,-177.06666666666666
13,42.666666666666664,-520.5333333333333,-181.33333333333334
14,46.93333333333333,-518.4,-177.06666666666666
15,46.93333333333333,-516.2666666666667,-174.93333333333334
16,42.666666666666664,-518.4,-179.2
17,44.8,-520.5333333333333,-177.06666666666666
18,40.53333333333333,-520.5333333333333,-179.2
19,49.06666666666666,-514.1333333333333,-172.8
20,44.8,-520.5333333333333,-179.2
21,44.8,-520.5333333333333,-183.46666666666667
22,70.4,-499.2,-162.13333333333333
23,17.066666666666666,-509.8666666666667,-187.73333333333332
24,49.06666666666666,-516.2666666666667,-187.73333333333332
25,34.13333333333333,-518.4,-164.26666666666665
26,49.06666666666666,-503.46666666666664,-198.4
27,38.4,-497.06666666666666,-160.0
28,34.13333333333333,-520.5333333333333,-181.33333333333334
29,23.466666666666665,-529.0666666666666,-181.33333333333334
30,38.4,-520.5333333333333,-189.86666666666667
31,38.4,-509.8666666666667,-160.0
32,36.266666666666666,-516.2666666666667,-179.2
33,27.733333333333334,-520.5333333333333,-183.46666666666667
34,32.0,-507.73333333333335,-183.46666666666667
35,36.266666666666666,-514.1333333333333,-185.6
36,25.6,-539.7333333333333,-164.26666666666665
37,32.0,-522.6666666666666,-185.6
38,49.06666666666666,-524.8,-174.93333333333334
39,6.4,-531.2,-189.86666666666667
40,40.53333333333333,-520.5333333333333,-177.06666666666666
41,44.8,-520.5333333333333,-172.8
42,44.8,-516.2666666666667,-174.93333333333334
43,42.666666666666664,-520.5333333333333,-181.33333333333334
44,40.53333333333333,-512.0,-164.26666666666665
45,46.93333333333333,-516.2666666666667,-170.66666666666666
46,40.53333333333333,-522.6666666666666,-168.53333333333333
47,44.8,-516.2666666666667,-181.33333333333334
48,44.8,-514.1333333333333,-170.66666666666666
49,34.13333333333333,-509.8666666666667,-166.4
50,46.93333333333333,-518.4,-177.06666666666666
51,40.53333333333333,-512.0,-185.6
52,40.53333333333333,-516.2666666666667,-187.73333333333332
53,40.53333333333333,-518.4,-177.06666666666666
54,42.666666666666664,-516.2666666666667,-174.93333333333334
55,42.666666666666664,-516.2666666666667,-185.6
56,40.53333333333333,-520.5333333333333,-168.53333333333333
57,42.666666666666664,-514.1333333333333,-172.8
58,38.4,-520.5333333333333,-181.33333333333334
59,38.4,-526.9333333333333,-166.4
60,42.666666666666664,-522.6666666666666,-181.33333333333334
61,42.666666666666664,-520.5333333333333,-179.2
62,44.8,-520.5333333333333,-181.33333333333334
63,38.4,-522.6666666666666,-181.33333333333334
64,42.666666666666664,-522.6666666666666,-170.66666666666666
65,40.53333333333333,-516.2666666666667,-172.8
66,38.4,-524.8,-181.33333333333334
67,44.8,-524.8,-170.66666666666666
68,38.4,-522.6666666666666,-170.66666666666666
69,46.93333333333333,-524.8,-174.93333333333334
70,42.666666666666664,-516.2666666666667,-170.66666666666666
71,40.53333333333333,-518.4,-174.93333333333334
72,42.666666666666664,-516.2666666666667,-177.06666666666666
73,40.53333333333333,-512.0,-174.93333333333334
74,38.4,-520.5333333333333,-177.06666666666666
75,40.53333333333333,-518.4,-177.06666666666666
76,46.93333333333333,-514.1333333333333,-181.33333333333334
77,42.666666666666664,-512.0,-177.06666666666666
78,42.666666666666664,-516.2666666666667,-187.73333333333332
79,42.666666666666664,-509.8666666666667,-181.33333333333334
80,46.93333333333333,-516.2666666666667,-179.2
81,38.4,-522.6666666666666,-183.46666666666667
82,44.8,-522.6666666666666,-177.06666666666666
83,46.93333333333333,-518.4,-179.2
84,42.666666666666664,-516.2666666666667,-185.6
85,42.666666666666664,-514.1333333333333,-185.6
86,40.53333333333333,-512.0,-179.2
87,42.666666666666664,-512.0,-185.6
88,44.8,-518.4,-187.73333333333332
89,44.8,-520.5333333333333,-177.06666666666666
90,44.8,-524.8,-177.06666666666666
91,42.666666666666664,-522.6666666666666,-174.93333333333334
92,42.666666666666664,-512.0,-181.33333333333334
93,36.266666666666666,-514.1333333333333,-183.46666666666667
94,46.93333333333333,-522.6666666666666,-183.46666666666667
95,36.266666666666666,-522.6666666666666,-177.06666666666666
96,44.8,-518.4,-170.66666666666666
97,40.53333333333333,-518.4,-177.06666666666666
98,46.93333333333333,-522.6666666666666,-174.93333333333334
99,36.266666666666666,-514.1333333333333,-179.2
100,46.93333333333333,-518.4,-170.66666666666666
101,36.266666666666666,-512.0,-174.93333333333334
102,34.13333333333333,-512.0,-174.93333333333334
103,40.53333333333333,-514.1333333333333,-179.2
104,34.13333333333333,-516.2666666666667,-181.33333333333334
105,36.266666666666666,-518.4,-183.46666666666667
106,42.666666666666664,-520.5333333333333,-179.2
107,42.666666666666664,-514.1333333333333,-177.06666666666666
108,38.4,-518.4,-179.2
109,40.53333333333333,-520.5333333333333,-181.33333333333334
110,44.8,-516.2666666666667,-172.8
111,38.4,-520.5333333333333,-177.06666666666666
112,40.53333333333333,-524.8,-174.93333333333334
113,40.53333333333333,-514.1333333333333,-179.2
114,40.53333333333333,-518.4,-179.2
115,34.13333333333333,-514.1333333333333,-177.06666666666666
116,38.4,-514.1333333333333,-181.33333333333334
117,38.4,-512.0,-183.46666666666667
118,38.4,-516.2666666666667,-170.66666666666666
119,44.8,-522.6666666666666,-179.2
120,38.4,-516.2666666666667,-179.2
121,36.266666666666666,-518.4,-166.4
122,38.4,-518.4,-174.93333333333334
123,49.06666666666666,-526.9333333333333,-172.8
124,44.8,-520.5333333333333,-183.46666666666667
125,42.666666666666664,-520.5333333333333,-179.2
126,40.53333333333333,-520.5333333333333,-170.66666666666666
127,44.8,-520.5333333333333,-172.8
128,38.4,-518.4,-170.66666666666666
129,40.53333333333333,-520.5333333333333,-174.93333333333334
