,accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G)
0,12.8,-465.06666666666666,-202.66666666666666
1,8.533333333333333,-458.6666666666667,-194.13333333333333
2,8.533333333333333,-465.06666666666666,-204.8
3,19.2,-465.06666666666666,-204.8
4,12.8,-465.06666666666666,-213.33333333333334
5,17.066666666666666,-484.26666666666665,-194.13333333333333
6,17.066666666666666,-467.2,-206.93333333333334
7,19.2,-482.1333333333333,-204.8
8,12.8,-471.46666666666664,-213.33333333333334
9,14.933333333333334,-480.0,-206.93333333333334
10,19.2,-480.0,-200.53333333333333
11,17.066666666666666,-488.5333333333333,-189.86666666666667
12,12.8,-484.26666666666665,-204.8
13,14.933333333333334,-480.0,-198.4
14,19.2,-477.8666666666667,-206.93333333333334
15,21.333333333333332,-486.4,-187.73333333333332
16,19.2,-482.1333333333333,-198.4
17,14.933333333333334,-480.0,-194.13333333333333
18,17.066666666666666,-486.4,-194.13333333333333
19,10.666666666666666,-488.5333333333333,-200.53333333333333
20,8.533333333333333,-484.26666666666665,-204.8
21,6.4,-484.26666666666665,-196.26666666666665
22,2.1333333333333333,-482.1333333333333,-192.0
23,6.4,-490.6666666666667,-185.6
24,2.1333333333333333,-497.06666666666666,-198.4
25,2.1333333333333333,-492.8,-196.26666666666665
26,0.0,-497.06666666666666,-194.13333333333333
27,8.533333333333333,-488.5333333333333,-198.4
28,2.1333333333333333,-488.5333333333333,-204.8
29,8.533333333333333,-488.5333333333333,-198.4
30,14.933333333333334,-492.8,-200.53333333333333
31,6.4,-499.2,-196.26666666666665
32,14.933333333333334,-499.2,-189.86666666666667
33,14.933333333333334,-499.2,-196.26666666666665
34,10.666666666666666,-501.3333333333333,-192.0
35,17.066666666666666,-501.3333333333333,-200.53333333333333
36,19.2,-503.46666666666664,-198.4
37,23.466666666666665,-514.1333333333333,-194.13333333333333
38,23.466666666666665,-501.3333333333333,-185.6
39,21.333333333333332,-490.6666666666667,-189.86666666666667
40,34.13333333333333,-494.93333333333334,-185.6
41,34.13333333333333,-492.8,-194.13333333333333
42,36.266666666666666,-490.6666666666667,-192.0
43,34.13333333333333,-486.4,-194.13333333333333
44,36.266666666666666,-482.1333333333333,-189.86666666666667
45,36.266666666666666,-484.26666666666665,-185.6
46,36.266666666666666,-488.5333333333333,-192.0
47,46.93333333333333,-482.1333333333333,-194.13333333333333
48,32.0,-486.4,-183.46666666666667
49,38.4,-482.1333333333333,-179.2
50,25.6,-471.46666666666664,-183.46666666666667
51,36.266666666666666,-486.4,-187.73333333333332
52,29.866666666666667,-486.4,-187.73333333333332
53,29.866666666666667,-488.5333333333333,-189.86666666666667
54,23.466666666666665,-475.73333333333335,-189.86666666666667
55,29.866666666666667,-488.5333333333333,-196.26666666666665
56,27.733333333333334,-486.4,-187.73333333333332
57,23.466666666666665,-488.5333333333333,-196.26666666666665
