,accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G)
0,0.0,-541.8666666666667,-34.13333333333333
1,-4.266666666666667,-544.0,-34.13333333333333
2,-4.266666666666667,-550.4,-38.4
3,-10.666666666666666,-554.6666666666666,-25.6
4,-4.266666666666667,-546.1333333333333,-34.13333333333333
5,-4.266666666666667,-544.0,-36.266666666666666
6,-10.666666666666666,-541.8666666666667,-36.266666666666666
7,-8.533333333333333,-546.1333333333333,-25.6
8,-8.533333333333333,-544.0,-25.6
9,-2.1333333333333333,-550.4,-32.0
10,-8.533333333333333,-541.8666666666667,-23.466666666666665
11,-2.1333333333333333,-546.1333333333333,-27.733333333333334
12,0.0,-544.0,-27.733333333333334
13,-6.4,-548.2666666666667,-25.6
14,-4.266666666666667,-550.4,-32.0
15,-8.533333333333333,-550.4,0.0
16,-10.666666666666666,-546.1333333333333,-25.6
17,-8.533333333333333,-552.5333333333333,-36.266666666666666
18,-6.4,-548.2666666666667,-27.733333333333334
19,-12.8,-548.2666666666667,-34.13333333333333
20,-12.8,-544.0,-21.333333333333332
21,-6.4,-539.7333333333333,-34.13333333333333
22,-8.533333333333333,-541.8666666666667,-21.333333333333332
23,-4.266666666666667,-546.1333333333333,-21.333333333333332
24,-6.4,-539.7333333333333,-32.0
25,-12.8,-537.6,-23.466666666666665
26,-12.8,-539.7333333333333,-23.466666666666665
27,-2.1333333333333333,-548.2666666666667,-25.6
28,-12.8,-544.0,-29.866666666666667
29,-17.066666666666666,-539.7333333333333,-32.0
30,-14.933333333333334,-546.1333333333333,-23.466666666666665
31,-23.466666666666665,-541.8666666666667,-23.466666666666665
32,-14.933333333333334,-548.2666666666667,-29.866666666666667
33,-14.933333333333334,-552.5333333333333,-23.466666666666665
34,-19.2,-550.4,-19.2
35,-6.4,-561.0666666666666,-27.733333333333334
36,-8.533333333333333,-556.8,-19.2
37,-10.666666666666666,-558.9333333333333,-12.8
38,-6.4,-563.2,-14.933333333333334
39,-2.1333333333333333,-561.0666666666666,-12.8
40,-4.266666666666667,-567.4666666666667,-14.933333333333334
41,-4.266666666666667,-565.3333333333334,-14.933333333333334
42,-6.4,-565.3333333333334,-21.333333333333332
43,-6.4,-561.0666666666666,-29.866666666666667
44,-2.1333333333333333,-561.0666666666666,-17.066666666666666
45,2.1333333333333333,-558.9333333333333,-17.066666666666666
46,4.266666666666667,-558.9333333333333,-32.0
47,6.4,-548.2666666666667,-21.333333333333332
48,4.266666666666667,-544.0,-27.733333333333334
49,6.4,-541.8666666666667,-27.733333333333334
50,0.0,-535.4666666666667,-25.6
51,2.1333333333333333,-531.2,-27.733333333333334
52,-4.266666666666667,-529.0666666666666,-21.333333333333332
53,-2.1333333333333333,-531.2,-29.866666666666667
54,2.1333333333333333,-537.6,-29.866666666666667
55,0.0,-539.7333333333333,-34.13333333333333
56,2.1333333333333333,-537.6,-42.666666666666664
57,0.0,-533.3333333333334,-38.4
58,-6.4,-546.1333333333333,-40.53333333333333
59,-2.1333333333333333,-546.1333333333333,-44.8
60,-4.266666666666667,-537.6,-42.666666666666664
61,-10.666666666666666,-544.0,-42.666666666666664
62,-6.4,-541.8666666666667,-42.666666666666664
63,-19.2,-544.0,-44.8
