,accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G)
0,0.10546875,-0.94921875,-0.24609375
1,0.1015625,-0.96484375,-0.2578125
2,0.10546875,-0.95703125,-0.24609375
3,0.09375,-0.9453125,-0.25
4,0.08984375,-0.94921875,-0.24609375
5,0.10546875,-0.95703125,-0.25
6,0.08984375,-0.96484375,-0.2421875
7,0.10546875,-0.9609375,-0.25
8,0.09375,-0.94921875,-0.265625
9,0.09375,-0.95703125,-0.25390625
10,0.09765625,-0.95703125,-0.2421875
11,0.09765625,-0.94921875,-0.265625
12,0.08984375,-0.9375,-0.26171875
13,0.09765625,-0.9375,-0.2578125
14,0.08984375,-0.94921875,-0.25
15,0.10546875,-0.9453125,-0.24609375
16,0.109375,-0.93359375,-0.2421875
17,0.10546875,-0.94140625,-0.2421875
18,0.09375,-0.94140625,-0.23828125
19,0.1015625,-0.94921875,-0.2421875
20,0.08984375,-0.9453125,-0.25
21,0.10546875,-0.94140625,-0.24609375
22,0.0859375,-0.94921875,-0.234375
23,0.0859375,-0.94921875,-0.23828125
24,0.08203125,-0.94140625,-0.24609375
25,0.12109375,-0.96484375,-0.23046875
26,0.09375,-0.9453125,-0.23828125
27,0.09765625,-0.94140625,-0.24609375
28,0.0859375,-0.921875,-0.2578125
29,0.09375,-0.94140625,-0.23828125
30,0.08984375,-0.94140625,-0.25
31,0.09375,-0.94140625,-0.234375
32,0.0859375,-0.92578125,-0.23828125
33,0.08203125,-0.953125,-0.24609375
34,0.09375,-0.95703125,-0.234375
35,0.0859375,-0.9375,-0.25390625
36,0.0859375,-0.95703125,-0.24609375
37,0.09375,-0.95703125,-0.24609375
38,0.09375,-0.94921875,-0.234375
39,0.09765625,-0.94921875,-0.25
40,0.1015625,-0.9609375,-0.24609375
41,0.10546875,-0.94140625,-0.2421875
42,0.10546875,-0.953125,-0.2421875
43,0.11328125,-0.97265625,-0.234375
44,0.125,-0.96875,-0.24609375
45,0.11328125,-0.96484375,-0.2421875
46,0.1171875,-0.98046875,-0.24609375
47,0.12890625,-0.96875,-0.24609375
48,0.13671875,-0.9765625,-0.234375
49,0.1328125,-0.95703125,-0.24609375
50,0.13671875,-0.953125,-0.24609375
51,0.1484375,-0.95703125,-0.2421875
52,0.1484375,-0.94921875,-0.2578125
53,0.14453125,-0.94921875,-0.24609375
54,0.1484375,-0.94140625,-0.24609375
55,0.14453125,-0.93359375,-0.2421875
56,0.16015625,-0.953125,-0.24609375
57,0.15625,-0.94921875,-0.2578125
58,0.15234375,-0.9453125,-0.2421875
59,0.1640625,-0.94921875,-0.2421875
60,0.1640625,-0.95703125,-0.24609375
61,0.16796875,-0.9609375,-0.25390625
62,0.171875,-0.953125,-0.2578125
63,0.1640625,-0.953125,-0.25390625
64,0.16015625,-0.953125,-0.2578125
65,0.1640625,-0.94921875,-0.265625
66,0.171875,-0.9453125,-0.265625
67,0.17578125,-0.93359375,-0.2578125
68,0.171875,-0.9140625,-0.26953125
69,0.16796875,-0.91796875,-0.25390625
70,0.171875,-0.921875,-0.24609375
71,0.16015625,-0.9140625,-0.24609375
72,0.16015625,-0.91796875,-0.23828125
73,0.16015625,-0.91796875,-0.22265625
74,0.15234375,-0.9296875,-0.234375
75,0.15234375,-0.92578125,-0.24609375
76,0.14453125,-0.91796875,-0.23828125
77,0.15234375,-0.94140625,-0.234375
78,0.1484375,-0.9453125,-0.2421875
79,0.13671875,-0.93359375,-0.23828125
80,0.140625,-0.95703125,-0.21484375
81,0.1328125,-0.94140625,-0.22265625
82,0.1328125,-0.94921875,-0.23046875
83,0.12890625,-0.94921875,-0.2265625
84,0.125,-0.94140625,-0.21484375
85,0.140625,-0.953125,-0.203125
86,0.12890625,-0.953125,-0.21875
87,0.12109375,-0.9375,-0.20703125
88,0.13671875,-0.94921875,-0.19140625
89,0.1328125,-0.93359375,-0.21484375
90,0.1328125,-0.95703125,-0.2109375
91,0.140625,-0.94921875,-0.19921875
92,0.1484375,-0.95703125,-0.2109375
93,0.14453125,-0.9453125,-0.19921875
94,0.14453125,-0.9375,-0.21484375
95,0.15234375,-0.94140625,-0.2109375
96,0.1484375,-0.953125,-0.20703125
97,0.15234375,-0.953125,-0.20703125
98,0.15234375,-0.94140625,-0.22265625
99,0.16015625,-0.953125,-0.21875
100,0.15625,-0.9453125,-0.22265625
101,0.16015625,-0.94921875,-0.22265625
102,0.16015625,-0.94921875,-0.2421875
103,0.16796875,-0.953125,-0.234375
104,0.15625,-0.94921875,-0.23046875
