,accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G)
0,0.00390625,-0.9765625,-0.18359375
1,-0.0078125,-0.98828125,-0.1875
2,0.0,-0.9921875,-0.1953125
3,0.0,-1.0,-0.18359375
4,0.00390625,-1.015625,-0.1953125
5,0.0,-1.0078125,-0.20703125
6,0.0,-1.0078125,-0.19921875
7,0.0078125,-1.01953125,-0.19140625
8,0.0078125,-1.015625,-0.18359375
9,0.015625,-1.015625,-0.1953125
10,0.01171875,-1.01171875,-0.20703125
11,0.01171875,-1.00390625,-0.19921875
12,0.01171875,-0.99609375,-0.1953125
13,0.00390625,-0.9921875,-0.17578125
14,0.015625,-0.98828125,-0.19921875
15,0.0078125,-0.98828125,-0.1875
16,0.00390625,-0.98828125,-0.1875
17,0.0078125,-0.984375,-0.1953125
18,0.0078125,-0.9921875,-0.20703125
19,0.01171875,-0.98828125,-0.21484375
20,0.0078125,-1.00390625,-0.203125
21,-0.0078125,-0.9921875,-0.21875
22,0.00390625,-1.01171875,-0.22265625
23,0.0,-1.02734375,-0.15625
24,0.0078125,-0.984375,-0.1484375
25,0.015625,-1.01953125,-0.1875
26,0.015625,-0.99609375,-0.19921875
27,0.00390625,-1.01953125,-0.19140625
28,-0.01171875,-1.03125,-0.17578125
29,0.015625,-0.98828125,-0.20703125
30,-0.02734375,-0.9765625,-0.1796875
31,0.01171875,-0.9609375,-0.203125
32,-0.00390625,-0.953125,-0.2109375
33,-0.015625,-0.9609375,-0.203125
34,0.0078125,-0.98828125,-0.18359375
35,-0.015625,-0.9765625,-0.203125
36,-0.00390625,-0.9609375,-0.21875
37,-0.0078125,-0.9609375,-0.19140625
38,-0.01953125,-1.0,-0.16796875
39,-0.015625,-1.015625,-0.21875
40,-0.0078125,-0.97265625,-0.21484375
41,0.0,-0.984375,-0.19921875
42,0.0,-0.99609375,-0.22265625
43,-0.00390625,-0.9921875,-0.21875
44,0.0,-1.0,-0.21875
45,-0.01171875,-0.98828125,-0.22265625
46,-0.00390625,-1.00390625,-0.22265625
47,0.0,-0.99609375,-0.21875
48,0.01171875,-0.9921875,-0.23046875
49,-0.0078125,-0.99609375,-0.2421875
50,0.02734375,-0.9921875,-0.22265625
51,0.01171875,-0.98046875,-0.22265625
52,0.0234375,-0.9765625,-0.22265625
53,0.01953125,-0.96875,-0.23046875
54,0.01171875,-0.96484375,-0.2265625
55,0.01171875,-0.953125,-0.22265625
56,0.015625,-0.96484375,-0.2265625
57,0.01953125,-0.95703125,-0.2265625
58,0.01171875,-0.95703125,-0.234375
59,0.0078125,-0.95703125,-0.21875
60,0.00390625,-0.953125,-0.234375
61,0.0234375,-0.96484375,-0.2265625
62,0.015625,-0.96875,-0.22265625
63,0.015625,-0.98046875,-0.23046875
64,0.01171875,-0.97265625,-0.21484375
65,0.01171875,-0.9765625,-0.23828125
66,0.01953125,-0.9921875,-0.2265625
67,0.0078125,-0.98046875,-0.22265625
68,0.01953125,-0.9921875,-0.234375
69,0.00390625,-0.98828125,-0.2421875
70,0.0078125,-0.98828125,-0.23046875
71,0.01171875,-0.9921875,-0.25
72,0.02734375,-0.98828125,-0.23828125
73,0.015625,-0.984375,-0.25
74,0.015625,-0.97265625,-0.25
75,0.0078125,-0.97265625,-0.2421875
76,0.0234375,-0.98046875,-0.23828125
77,0.015625,-0.9765625,-0.24609375
78,0.0078125,-0.984375,-0.25390625
79,0.015625,-0.9765625,-0.234375
80,0.015625,-0.96484375,-0.234375
81,0.0078125,-0.96484375,-0.25
82,0.0234375,-0.9609375,-0.23046875
83,-0.0078125,-0.96484375,-0.23828125
84,0.01171875,-0.96875,-0.23046875
85,0.0078125,-0.98046875,-0.22265625
86,0.015625,-0.98046875,-0.23046875
87,0.01953125,-0.98828125,-0.22265625
88,0.015625,-0.98046875,-0.23828125
89,0.0078125,-1.0,-0.23046875
90,0.01171875,-0.9921875,-0.2421875
91,0.01171875,-1.0,-0.24609375
92,0.01171875,-1.00390625,-0.24609375
93,0.0078125,-0.9921875,-0.25
94,0.00390625,-0.9921875,-0.25390625
95,0.00390625,-0.98046875,-0.25390625
96,0.0,-0.9765625,-0.25
97,0.0078125,-0.97265625,-0.24609375
98,0.00390625,-0.9765625,-0.2421875
99,0.01171875,-0.96875,-0.2578125
100,0.0078125,-0.9609375,-0.23828125
101,0.01171875,-0.9609375,-0.2421875
102,-0.00390625,-0.96875,-0.2421875
103,0.0078125,-0.97265625,-0.24609375
104,-0.00390625,-0.97265625,-0.234375
105,0.0078125,-0.9765625,-0.234375
106,0.0,-0.98046875,-0.2265625
107,-0.00390625,-0.9765625,-0.2421875
108,0.0,-0.97265625,-0.2265625
109,0.0,-0.9765625,-0.234375
110,-0.00390625,-0.96875,-0.2421875
111,0.01171875,-0.96875,-0.24609375
112,0.0,-0.98046875,-0.23828125
113,-0.0078125,-0.9765625,-0.234375
114,-0.00390625,-0.984375,-0.23046875
115,0.00390625,-0.9921875,-0.23046875
116,-0.0078125,-0.9765625,-0.2421875
117,-0.01171875,-0.9921875,-0.22265625
118,0.0,-0.99609375,-0.23046875
119,0.0,-0.9921875,-0.234375
120,-0.00390625,-0.98828125,-0.2265625
121,0.00390625,-0.98046875,-0.24609375
122,0.00390625,-0.9921875,-0.24609375
123,0.0,-0.984375,-0.2421875
124,0.01953125,-1.0,-0.23046875
125,0.00390625,-0.98046875,-0.23828125
126,0.00390625,-0.984375,-0.2265625
127,0.0,-0.9765625,-0.2265625
128,-0.00390625,-0.96875,-0.234375
129,-0.00390625,-0.9765625,-0.2421875
130,-0.0078125,-0.96484375,-0.234375
131,-0.0078125,-0.97265625,-0.23046875
132,-0.00390625,-0.96484375,-0.2265625
133,-0.00390625,-0.98046875,-0.2265625
134,-0.01171875,-0.96484375,-0.23046875
135,-0.0078125,-0.97265625,-0.24609375
136,-0.01171875,-0.984375,-0.23046875
137,-0.00390625,-0.984375,-0.2265625
138,0.0078125,-1.0,-0.23828125
139,0.00390625,-0.9921875,-0.25390625
140,0.01171875,-0.98046875,-0.23046875
141,0.00390625,-0.98828125,-0.25
142,0.015625,-0.9921875,-0.23046875
143,-0.01171875,-0.9921875,-0.2265625
144,-0.00390625,-0.98828125,-0.2265625
145,0.0078125,-0.984375,-0.2421875
146,0.0,-0.98046875,-0.23046875
147,-0.00390625,-0.97265625,-0.23828125
148,-0.00390625,-0.97265625,-0.234375
149,0.0,-0.96875,-0.23828125
150,0.0,-0.96484375,-0.23046875
151,0.00390625,-0.9765625,-0.22265625
152,0.00390625,-0.98828125,-0.234375
153,0.0,-0.98046875,-0.24609375
154,0.00390625,-0.984375,-0.2421875
155,-0.0078125,-0.9765625,-0.234375
156,-0.0078125,-0.98046875,-0.21875
157,-0.01171875,-0.9765625,-0.2421875
158,-0.00390625,-0.98046875,-0.23046875
159,-0.01171875,-0.9765625,-0.234375
160,0.0,-0.98046875,-0.2421875
161,-0.0078125,-0.9765625,-0.234375
162,-0.00390625,-0.97265625,-0.23046875
163,-0.0078125,-0.96875,-0.23828125
164,0.00390625,-0.9765625,-0.2421875
165,0.0,-0.98828125,-0.2421875
166,-0.00390625,-0.9765625,-0.23828125
167,0.00390625,-0.98046875,-0.23828125
168,0.0,-0.98828125,-0.2265625
169,-0.0078125,-0.99609375,-0.23828125
170,0.00390625,-0.99609375,-0.25
171,-0.0078125,-0.9921875,-0.2265625
172,-0.01171875,-0.98828125,-0.23828125
173,-0.01171875,-0.984375,-0.24609375
174,-0.00390625,-0.984375,-0.24609375
175,-0.01171875,-0.9609375,-0.23828125
176,-0.015625,-0.9609375,-0.2421875
177,0.00390625,-0.96875,-0.24609375
178,0.00390625,-0.9609375,-0.23828125
179,-0.015625,-0.9609375,-0.25
180,-0.00390625,-0.96875,-0.24609375
181,-0.01171875,-0.96875,-0.23828125
182,-0.00390625,-0.97265625,-0.2421875
183,-0.0078125,-0.99609375,-0.2265625
184,-0.0078125,-0.984375,-0.25
185,-0.015625,-0.984375,-0.24609375
186,-0.015625,-0.98828125,-0.24609375
187,0.0,-0.984375,-0.23828125
188,-0.0078125,-0.98828125,-0.24609375
189,-0.0078125,-0.9921875,-0.23828125
190,-0.0078125,-0.984375,-0.24609375
191,-0.0078125,-0.98828125,-0.2421875
192,-0.015625,-0.99609375,-0.2421875
193,-0.0234375,-0.98828125,-0.2421875
194,-0.0234375,-0.98046875,-0.25390625
195,-0.01171875,-0.9765625,-0.25
196,-0.0078125,-0.97265625,-0.2421875
197,-0.01953125,-0.96875,-0.24609375
198,-0.03125,-0.95703125,-0.234375
199,-0.0078125,-0.97265625,-0.234375
200,-0.0078125,-0.9609375,-0.25
201,-0.01171875,-0.97265625,-0.23046875
202,-0.0078125,-0.97265625,-0.2421875
203,-0.01953125,-0.9765625,-0.23828125
204,-0.0078125,-0.9765625,-0.24609375
205,-0.01171875,-0.98828125,-0.234375
206,-0.01953125,-0.98046875,-0.2421875
207,-0.01953125,-0.97265625,-0.22265625
208,-0.015625,-0.98046875,-0.23828125
209,-0.015625,-0.9921875,-0.22265625
210,-0.0234375,-0.984375,-0.234375
211,-0.01953125,-0.97265625,-0.24609375
212,-0.01171875,-0.96484375,-0.24609375
213,-0.01171875,-0.97265625,-0.24609375
214,-0.01953125,-0.96484375,-0.23828125
215,-0.015625,-0.98046875,-0.234375
216,-0.015625,-0.97265625,-0.23828125
217,-0.01171875,-0.9765625,-0.23046875
218,-0.02734375,-0.9765625,-0.23828125
219,0.0,-0.98046875,-0.24609375
220,-0.01953125,-0.96875,-0.24609375
221,-0.01171875,-0.9609375,-0.23046875
222,-0.00390625,-0.98046875,-0.24609375
223,-0.01953125,-0.97265625,-0.24609375
224,0.00390625,-0.97265625,-0.25
225,0.0,-0.96875,-0.25
226,0.0078125,-0.98046875,-0.22265625
227,0.01171875,-0.98046875,-0.2265625
228,0.01171875,-0.9765625,-0.23828125
229,-0.00390625,-0.96875,-0.25
230,0.01171875,-0.98046875,-0.2265625
231,0.01171875,-0.984375,-0.25
232,0.0,-0.98828125,-0.2421875
233,0.01171875,-0.96875,-0.234375
234,0.01171875,-0.99609375,-0.2421875
235,0.0,-0.98046875,-0.234375
236,-0.0078125,-0.984375,-0.24609375
237,0.0,-0.96875,-0.2421875
238,0.0,-0.96484375,-0.24609375
239,-0.01171875,-0.96875,-0.24609375
240,0.0078125,-0.98046875,-0.25
241,-0.0078125,-0.9609375,-0.2265625
242,-0.0078125,-0.98046875,-0.234375
243,0.01171875,-0.98828125,-0.23828125
244,0.0,-0.99609375,-0.23046875
245,0.0,-0.984375,-0.23828125
246,0.00390625,-0.98828125,-0.23828125
247,0.00390625,-0.98046875,-0.234375
248,0.0,-0.984375,-0.2265625
249,-0.00390625,-0.9765625,-0.2421875
250,0.0,-0.96484375,-0.23046875
251,0.0,-0.96875,-0.21875
252,-0.0078125,-0.96484375,-0.23828125
253,-0.0078125,-0.96875,-0.234375
254,-0.01171875,-0.98046875,-0.24609375
255,-0.00390625,-0.96484375,-0.2265625
256,-0.00390625,-0.97265625,-0.23046875
257,-0.0078125,-0.97265625,-0.234375
258,-0.00390625,-0.96875,-0.23046875
259,-0.00390625,-0.96875,-0.234375
260,-0.01171875,-0.9765625,-0.234375
261,-0.0078125,-0.9765625,-0.23828125
262,-0.01953125,-0.98046875,-0.2578125
263,-0.01953125,-0.9765625,-0.25
264,-0.015625,-0.98046875,-0.23828125
265,-0.00390625,-0.984375,-0.23828125
266,-0.01171875,-0.98828125,-0.23828125
267,-0.0078125,-0.98046875,-0.2421875
268,-0.01171875,-0.98046875,-0.23828125
269,-0.00390625,-0.98046875,-0.25390625
270,-0.015625,-0.97265625,-0.25390625
271,-0.015625,-0.9765625,-0.25390625
272,-0.01171875,-0.96875,-0.26171875
273,-0.00390625,-0.97265625,-0.24609375
274,0.0078125,-0.98046875,-0.23828125
275,-0.0078125,-0.9765625,-0.265625
276,-0.01171875,-0.96484375,-0.23046875
277,-0.015625,-0.9765625,-0.23828125
278,-0.01171875,-0.96875,-0.2265625
279,-0.01171875,-0.97265625,-0.23828125
280,-0.015625,-0.97265625,-0.23046875
281,-0.0078125,-0.97265625,-0.234375
282,0.0,-0.96875,-0.23828125
283,-0.01171875,-0.96484375,-0.2421875
284,0.0078125,-0.9765625,-0.2421875
285,0.0,-0.96875,-0.24609375
286,0.0,-0.96875,-0.24609375
287,0.00390625,-0.9765625,-0.25
288,0.00390625,-0.9765625,-0.25390625
289,0.00390625,-0.9765625,-0.25390625
290,0.0078125,-0.9609375,-0.25
291,0.0,-0.96875,-0.23828125
292,0.01171875,-0.98046875,-0.2421875
293,0.0078125,-0.96875,-0.2421875
294,0.00390625,-0.984375,-0.234375
295,0.0,-0.97265625,-0.23046875
296,0.00390625,-0.97265625,-0.24609375
297,0.00390625,-0.97265625,-0.24609375
298,-0.00390625,-0.97265625,-0.23828125
299,0.00390625,-0.96875,-0.25390625
300,0.00390625,-0.97265625,-0.25
301,0.00390625,-0.9765625,-0.2421875
302,-0.00390625,-0.96484375,-0.2578125
303,-0.00390625,-0.96875,-0.2578125
304,-0.00390625,-0.96484375,-0.26171875
305,0.0,-0.9609375,-0.26171875
306,-0.0078125,-0.97265625,-0.2578125
307,0.0,-0.98046875,-0.2421875
308,-0.00390625,-0.9765625,-0.265625
309,-0.0078125,-0.9765625,-0.25
310,-0.0078125,-0.984375,-0.25
311,0.0,-0.984375,-0.265625
312,-0.01171875,-0.984375,-0.2734375
313,-0.00390625,-0.9921875,-0.265625
314,0.0,-0.9921875,-0.265625
315,-0.0078125,-0.99609375,-0.25390625
316,-0.00390625,-0.98828125,-0.23828125
317,0.0,-0.9921875,-0.25
318,-0.01171875,-0.984375,-0.26171875
319,-0.0078125,-0.9765625,-0.2578125
320,0.00390625,-0.98046875,-0.24609375
321,-0.00390625,-0.9765625,-0.2421875
322,0.0,-0.96875,-0.25390625
323,0.00390625,-0.97265625,-0.23828125
324,0.0234375,-0.9765625,-0.2421875
325,0.015625,-0.9765625,-0.25390625
326,-0.0078125,-0.97265625,-0.2578125
327,0.00390625,-0.97265625,-0.25390625
328,-0.00390625,-0.9765625,-0.25
329,0.00390625,-0.97265625,-0.2578125
330,-0.0078125,-0.98046875,-0.23828125
331,0.0,-0.98046875,-0.24609375
332,-0.00390625,-0.97265625,-0.26171875
333,-0.0078125,-0.96484375,-0.2578125
334,-0.01953125,-0.97265625,-0.265625
335,-0.015625,-0.97265625,-0.2734375
336,-0.00390625,-0.98046875,-0.265625
337,0.0,-0.97265625,-0.25390625
338,-0.01171875,-0.98046875,-0.265625
339,-0.01953125,-0.9765625,-0.25
340,-0.00390625,-0.984375,-0.24609375
341,-0.01171875,-0.96875,-0.25390625
342,-0.01171875,-0.96484375,-0.23828125
343,-0.01171875,-0.9765625,-0.24609375
344,-0.015625,-0.96875,-0.265625
345,-0.01171875,-0.953125,-0.24609375
346,-0.01171875,-0.96484375,-0.25390625
347,-0.01953125,-0.97265625,-0.25390625
348,-0.0078125,-0.96875,-0.2578125
349,-0.01171875,-0.9765625,-0.2578125
350,-0.015625,-0.9765625,-0.25390625
351,-0.0234375,-0.984375,-0.26171875
352,-0.0078125,-0.984375,-0.26171875
