,accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G)
0,0.04296875,-0.9306640625,-0.0703125
1,0.044921875,-0.9267578125,-0.068359375
2,0.0478515625,-0.92578125,-0.060546875
3,0.0439453125,-0.9267578125,-0.0615234375
4,0.0419921875,-0.9423828125,-0.0634765625
5,0.0419921875,-0.9296875,-0.0634765625
6,0.0439453125,-0.9296875,-0.05859375
7,0.0400390625,-0.9375,-0.0654296875
8,0.0439453125,-0.9306640625,-0.0576171875
9,0.04296875,-0.935546875,-0.0634765625
10,0.046875,-0.935546875,-0.0693359375
11,0.0458984375,-0.935546875,-0.072265625
12,0.0478515625,-0.9345703125,-0.0732421875
13,0.0458984375,-0.9306640625,-0.06640625
14,0.0478515625,-0.9404296875,-0.0732421875
15,0.048828125,-0.939453125,-0.0732421875
16,0.0478515625,-0.9326171875,-0.0693359375
17,0.048828125,-0.9384765625,-0.0693359375
18,0.048828125,-0.9404296875,-0.07421875
19,0.0478515625,-0.9326171875,-0.0712890625
20,0.044921875,-0.931640625,-0.0751953125
21,0.0439453125,-0.9296875,-0.07421875
22,0.0400390625,-0.9287109375,-0.068359375
23,0.041015625,-0.93359375,-0.0615234375
24,0.041015625,-0.9296875,-0.068359375
25,0.0419921875,-0.9326171875,-0.0595703125
26,0.041015625,-0.9296875,-0.05859375
27,0.0419921875,-0.931640625,-0.056640625
28,0.052734375,-0.931640625,-0.064453125
29,0.0517578125,-0.939453125,-0.0634765625
30,0.0517578125,-0.9345703125,-0.060546875
31,0.048828125,-0.9296875,-0.0712890625
32,0.0517578125,-0.9306640625,-0.0654296875
33,0.05078125,-0.9248046875,-0.0712890625
34,0.048828125,-0.927734375,-0.0615234375
35,0.05078125,-0.9306640625,-0.072265625
36,0.0537109375,-0.9326171875,-0.064453125
37,0.052734375,-0.935546875,-0.06640625
38,0.0478515625,-0.9296875,-0.060546875
39,0.0546875,-0.9326171875,-0.0634765625
40,0.05078125,-0.9404296875,-0.0615234375
41,0.0439453125,-0.9306640625,-0.0615234375
42,0.044921875,-0.9296875,-0.05859375
43,0.0458984375,-0.9326171875,-0.0673828125
44,0.048828125,-0.9326171875,-0.0693359375
45,0.04296875,-0.9287109375,-0.0634765625
46,0.0478515625,-0.9287109375,-0.0673828125
47,0.052734375,-0.927734375,-0.0673828125
48,0.0498046875,-0.927734375,-0.0703125
49,0.0517578125,-0.92578125,-0.0712890625
50,0.0556640625,-0.9306640625,-0.072265625
51,0.05078125,-0.93359375,-0.0703125
52,0.0517578125,-0.9306640625,-0.0615234375
53,0.05078125,-0.9365234375,-0.07421875
54,0.0537109375,-0.9375,-0.064453125
55,0.05078125,-0.9306640625,-0.0712890625
56,0.0498046875,-0.9296875,-0.068359375
57,0.046875,-0.9296875,-0.0712890625
58,0.0439453125,-0.9306640625,-0.07421875
59,0.05078125,-0.9306640625,-0.072265625
60,0.0517578125,-0.931640625,-0.0693359375
61,0.0478515625,-0.9287109375,-0.07421875
62,0.0546875,-0.9365234375,-0.0703125
63,0.052734375,-0.9326171875,-0.068359375
64,0.052734375,-0.931640625,-0.064453125
65,0.05078125,-0.9287109375,-0.0654296875
66,0.044921875,-0.9287109375,-0.0615234375
67,0.0498046875,-0.92578125,-0.0595703125
68,0.052734375,-0.92578125,-0.0634765625
69,0.056640625,-0.9248046875,-0.064453125
70,0.052734375,-0.927734375,-0.0615234375
71,0.0498046875,-0.927734375,-0.0625
72,0.052734375,-0.9306640625,-0.0625
73,0.0517578125,-0.9326171875,-0.0703125
74,0.046875,-0.93359375,-0.0673828125
75,0.0537109375,-0.935546875,-0.068359375
76,0.0537109375,-0.9365234375,-0.0673828125
77,0.0517578125,-0.93359375,-0.05859375
78,0.0537109375,-0.9306640625,-0.064453125
79,0.0517578125,-0.9287109375,-0.0615234375
80,0.0517578125,-0.9326171875,-0.0634765625
81,0.056640625,-0.931640625,-0.0625
82,0.0546875,-0.9296875,-0.0576171875
83,0.0546875,-0.9326171875,-0.0625
84,0.0546875,-0.9306640625,-0.060546875
85,0.052734375,-0.9296875,-0.0634765625
86,0.05078125,-0.9267578125,-0.064453125
87,0.0517578125,-0.93359375,-0.064453125
88,0.0498046875,-0.9345703125,-0.060546875
89,0.05078125,-0.9267578125,-0.0654296875
90,0.046875,-0.927734375,-0.0615234375
91,0.0517578125,-0.9326171875,-0.05859375
92,0.0498046875,-0.93359375,-0.0634765625
93,0.0517578125,-0.9287109375,-0.068359375
94,0.05078125,-0.9443359375,-0.0693359375
95,0.0478515625,-0.927734375,-0.072265625
96,0.052734375,-0.9296875,-0.068359375
97,0.0546875,-0.9267578125,-0.0625
98,0.0546875,-0.9287109375,-0.0693359375
99,0.052734375,-0.93359375,-0.0654296875
100,0.0517578125,-0.931640625,-0.06640625
101,0.0498046875,-0.9443359375,-0.060546875
102,0.0478515625,-0.93359375,-0.0615234375
103,0.0478515625,-0.9384765625,-0.064453125
104,0.05078125,-0.935546875,-0.060546875
105,0.0498046875,-0.9375,-0.060546875
106,0.0478515625,-0.931640625,-0.0595703125
107,0.048828125,-0.9267578125,-0.0615234375
108,0.0478515625,-0.923828125,-0.0654296875
109,0.0478515625,-0.92578125,-0.0625
110,0.048828125,-0.9248046875,-0.0654296875
111,0.0478515625,-0.9248046875,-0.068359375
112,0.05078125,-0.9306640625,-0.0703125
113,0.0478515625,-0.9296875,-0.0703125
114,0.0537109375,-0.93359375,-0.06640625
115,0.052734375,-0.9482421875,-0.0654296875
116,0.052734375,-0.947265625,-0.0673828125
117,0.052734375,-0.94921875,-0.0693359375
118,0.0498046875,-0.9345703125,-0.072265625
119,0.0498046875,-0.93359375,-0.0732421875
120,0.05078125,-0.9345703125,-0.0673828125
121,0.052734375,-0.9326171875,-0.072265625
122,0.0498046875,-0.9296875,-0.060546875
123,0.048828125,-0.9267578125,-0.064453125
124,0.046875,-0.9267578125,-0.060546875
125,0.0458984375,-0.9306640625,-0.060546875
126,0.048828125,-0.931640625,-0.0576171875
127,0.0478515625,-0.927734375,-0.05859375
128,0.0458984375,-0.939453125,-0.0595703125
129,0.046875,-0.927734375,-0.0615234375
130,0.0478515625,-0.939453125,-0.0615234375
131,0.052734375,-0.931640625,-0.0654296875
132,0.052734375,-0.9296875,-0.060546875
133,0.044921875,-0.9326171875,-0.0625
134,0.0517578125,-0.927734375,-0.060546875
135,0.0498046875,-0.9326171875,-0.06640625
136,0.052734375,-0.9384765625,-0.0703125
137,0.0439453125,-0.9423828125,-0.0634765625
138,0.0439453125,-0.9296875,-0.0634765625
139,0.0439453125,-0.9287109375,-0.0634765625
140,0.046875,-0.927734375,-0.0654296875
141,0.046875,-0.9306640625,-0.0615234375
142,0.044921875,-0.9296875,-0.0654296875
143,0.0458984375,-0.9306640625,-0.064453125
144,0.0439453125,-0.9296875,-0.0654296875
145,0.05078125,-0.9326171875,-0.0654296875
146,0.0498046875,-0.9248046875,-0.0625
147,0.0498046875,-0.9384765625,-0.06640625
148,0.05078125,-0.9326171875,-0.0703125
149,0.048828125,-0.93359375,-0.072265625
150,0.05078125,-0.9287109375,-0.0732421875
151,0.048828125,-0.9267578125,-0.07421875
152,0.0546875,-0.9306640625,-0.068359375
153,0.0498046875,-0.9287109375,-0.06640625
154,0.0458984375,-0.9306640625,-0.0673828125
155,0.0458984375,-0.9287109375,-0.064453125
156,0.0478515625,-0.9326171875,-0.05859375
157,0.0458984375,-0.92578125,-0.0634765625
158,0.0439453125,-0.923828125,-0.060546875
159,0.044921875,-0.923828125,-0.064453125
160,0.044921875,-0.92578125,-0.0654296875
161,0.0439453125,-0.921875,-0.0625
162,0.0439453125,-0.92578125,-0.0654296875
163,0.0439453125,-0.9296875,-0.064453125
164,0.0439453125,-0.9267578125,-0.0693359375
165,0.0439453125,-0.927734375,-0.0576171875
166,0.048828125,-0.9345703125,-0.0615234375
167,0.0478515625,-0.9345703125,-0.0595703125
168,0.0439453125,-0.9296875,-0.068359375
169,0.04296875,-0.9326171875,-0.0595703125
170,0.0458984375,-0.9404296875,-0.064453125
171,0.0498046875,-0.935546875,-0.05859375
172,0.0439453125,-0.9326171875,-0.072265625
173,0.04296875,-0.9296875,-0.0595703125
174,0.044921875,-0.9287109375,-0.0615234375
175,0.0439453125,-0.931640625,-0.0615234375
176,0.046875,-0.92578125,-0.060546875
177,0.046875,-0.927734375,-0.0634765625
178,0.0478515625,-0.9306640625,-0.05859375
179,0.0439453125,-0.9375,-0.06640625
180,0.046875,-0.9306640625,-0.05859375
181,0.0478515625,-0.931640625,-0.060546875
182,0.0478515625,-0.927734375,-0.05859375
183,0.0478515625,-0.9306640625,-0.0595703125
184,0.048828125,-0.931640625,-0.0576171875
185,0.046875,-0.9287109375,-0.0634765625
186,0.0478515625,-0.9306640625,-0.0615234375
187,0.046875,-0.9287109375,-0.0654296875
188,0.05078125,-0.9375,-0.064453125
189,0.0478515625,-0.935546875,-0.0654296875
190,0.044921875,-0.939453125,-0.0625
191,0.0478515625,-0.931640625,-0.0712890625
192,0.0537109375,-0.931640625,-0.0625
193,0.05078125,-0.9404296875,-0.060546875
194,0.0546875,-0.9267578125,-0.0654296875
195,0.052734375,-0.9287109375,-0.060546875
196,0.0517578125,-0.9267578125,-0.0654296875
197,0.05078125,-0.9287109375,-0.0654296875
198,0.0478515625,-0.927734375,-0.072265625
199,0.048828125,-0.9326171875,-0.0673828125
200,0.0478515625,-0.927734375,-0.0673828125
201,0.046875,-0.927734375,-0.064453125
202,0.048828125,-0.9306640625,-0.0576171875
203,0.044921875,-0.9267578125,-0.05859375
204,0.044921875,-0.9287109375,-0.0595703125
205,0.0419921875,-0.9248046875,-0.0576171875
206,0.0439453125,-0.927734375,-0.0634765625
207,0.04296875,-0.9267578125,-0.0595703125
208,0.0498046875,-0.927734375,-0.072265625
209,0.0439453125,-0.9306640625,-0.072265625
210,0.044921875,-0.9267578125,-0.0693359375
211,0.052734375,-0.9306640625,-0.0673828125
212,0.0478515625,-0.93359375,-0.0712890625
213,0.0517578125,-0.9296875,-0.076171875
214,0.048828125,-0.93359375,-0.0771484375
215,0.046875,-0.9326171875,-0.0732421875
216,0.0517578125,-0.935546875,-0.0771484375
217,0.0498046875,-0.9365234375,-0.072265625
218,0.044921875,-0.931640625,-0.0751953125
219,0.044921875,-0.931640625,-0.076171875
220,0.05078125,-0.9306640625,-0.0703125
221,0.052734375,-0.9326171875,-0.0751953125
222,0.0546875,-0.927734375,-0.068359375
223,0.0517578125,-0.9306640625,-0.0732421875
224,0.0517578125,-0.9287109375,-0.0732421875
225,0.0546875,-0.927734375,-0.0712890625
226,0.05078125,-0.935546875,-0.0751953125
227,0.0537109375,-0.9404296875,-0.0703125
228,0.0537109375,-0.9404296875,-0.078125
229,0.052734375,-0.9306640625,-0.072265625
230,0.0556640625,-0.9326171875,-0.072265625
231,0.05078125,-0.931640625,-0.0693359375
232,0.0556640625,-0.927734375,-0.0732421875
233,0.0576171875,-0.9296875,-0.072265625
234,0.0556640625,-0.92578125,-0.068359375
235,0.0517578125,-0.9248046875,-0.06640625
236,0.0537109375,-0.927734375,-0.0634765625
237,0.0517578125,-0.92578125,-0.06640625
238,0.0517578125,-0.9287109375,-0.0712890625
239,0.05078125,-0.923828125,-0.0703125
240,0.0546875,-0.923828125,-0.0703125
241,0.0546875,-0.92578125,-0.064453125
242,0.0478515625,-0.92578125,-0.07421875
243,0.052734375,-0.931640625,-0.0712890625
244,0.048828125,-0.9287109375,-0.07421875
245,0.0478515625,-0.9296875,-0.0732421875
246,0.046875,-0.92578125,-0.07421875
247,0.046875,-0.92578125,-0.07421875
248,0.046875,-0.923828125,-0.0673828125
249,0.05078125,-0.9248046875,-0.0810546875
250,0.046875,-0.93359375,-0.0751953125
251,0.04296875,-0.92578125,-0.0771484375
252,0.0419921875,-0.9248046875,-0.080078125
253,0.04296875,-0.927734375,-0.078125
254,0.04296875,-0.9267578125,-0.0791015625
255,0.04296875,-0.9287109375,-0.080078125
256,0.0400390625,-0.9345703125,-0.080078125
257,0.0419921875,-0.9326171875,-0.08203125
258,0.041015625,-0.9296875,-0.0869140625
259,0.0400390625,-0.9326171875,-0.0888671875
260,0.0419921875,-0.9453125,-0.08984375
261,0.037109375,-0.9462890625,-0.0869140625
262,0.0419921875,-0.9404296875,-0.083984375
263,0.044921875,-0.94921875,-0.078125
264,0.0458984375,-0.939453125,-0.08203125
265,0.0478515625,-0.9453125,-0.0810546875
266,0.0458984375,-0.9453125,-0.0810546875
267,0.05078125,-0.9345703125,-0.083984375
268,0.0517578125,-0.9404296875,-0.0849609375
269,0.0517578125,-0.9306640625,-0.0810546875
270,0.0537109375,-0.93359375,-0.087890625
271,0.0517578125,-0.931640625,-0.078125
272,0.052734375,-0.9326171875,-0.0849609375
273,0.0517578125,-0.93359375,-0.078125
274,0.0546875,-0.9404296875,-0.07421875
275,0.048828125,-0.927734375,-0.076171875
276,0.048828125,-0.927734375,-0.0712890625
277,0.0478515625,-0.9287109375,-0.076171875
278,0.0478515625,-0.9296875,-0.0751953125
279,0.04296875,-0.92578125,-0.076171875
280,0.046875,-0.9248046875,-0.078125
281,0.0439453125,-0.921875,-0.078125
282,0.04296875,-0.9228515625,-0.0791015625
283,0.04296875,-0.927734375,-0.078125
284,0.041015625,-0.9287109375,-0.0830078125
285,0.0458984375,-0.9287109375,-0.08203125
286,0.044921875,-0.927734375,-0.0771484375
287,0.044921875,-0.927734375,-0.0810546875
288,0.0478515625,-0.927734375,-0.080078125
289,0.0439453125,-0.9404296875,-0.0849609375
290,0.05078125,-0.9482421875,-0.087890625
291,0.052734375,-0.9453125,-0.087890625
292,0.0517578125,-0.939453125,-0.087890625
293,0.0498046875,-0.9404296875,-0.0927734375
294,0.0546875,-0.9306640625,-0.0869140625
