,accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G)
0,0.033203125,-1.005859375,0.1328125
1,0.03125,-1.005859375,0.1328125
2,0.0322265625,-1.0048828125,0.1337890625
3,0.029296875,-1.00390625,0.130859375
4,0.0322265625,-1.0029296875,0.1328125
5,0.0341796875,-1.0009765625,0.13671875
6,0.033203125,-1.0009765625,0.1328125
7,0.0380859375,-1.0029296875,0.1337890625
8,0.0361328125,-1.0009765625,0.138671875
9,0.03515625,-1.0029296875,0.1357421875
10,0.033203125,-1.00390625,0.1416015625
11,0.0322265625,-0.9951171875,0.140625
12,0.03125,-1.00390625,0.1416015625
13,0.03515625,-1.00390625,0.13671875
14,0.03125,-1.0048828125,0.1396484375
15,0.0322265625,-1.001953125,0.1455078125
16,0.033203125,-1.0068359375,0.1396484375
17,0.033203125,-1.0029296875,0.1455078125
18,0.037109375,-1.0029296875,0.142578125
19,0.029296875,-1.00390625,0.1435546875
20,0.0283203125,-1.0048828125,0.1484375
21,0.02734375,-1.0068359375,0.15625
22,0.0244140625,-0.9990234375,0.16015625
23,0.0224609375,-1.0078125,0.16015625
24,0.0185546875,-1.00390625,0.1650390625
25,0.0166015625,-1.001953125,0.1669921875
26,0.0185546875,-1.0048828125,0.1689453125
27,0.0205078125,-1.00390625,0.1650390625
28,0.0126953125,-1.0,0.158203125
29,0.009765625,-1.001953125,0.1650390625
30,0.0107421875,-1.0029296875,0.1630859375
31,0.0009765625,-1.0009765625,0.1650390625
32,0.001953125,-0.9990234375,0.169921875
33,0.0,-0.998046875,0.1748046875
34,0.001953125,-0.9951171875,0.177734375
35,-0.0029296875,-0.9892578125,0.181640625
36,-0.0068359375,-0.994140625,0.1806640625
37,-0.0029296875,-0.9951171875,0.1865234375
38,-0.0048828125,-0.9970703125,0.181640625
39,-0.005859375,-0.9921875,0.1826171875
40,-0.005859375,-0.9892578125,0.1826171875
41,-0.0087890625,-0.9853515625,0.1826171875
42,-0.0087890625,-0.9833984375,0.1865234375
43,-0.015625,-0.9853515625,0.1884765625
44,-0.017578125,-0.982421875,0.1943359375
45,-0.0107421875,-0.9814453125,0.181640625
46,-0.0107421875,-0.982421875,0.1845703125
47,-0.01171875,-0.9853515625,0.189453125
48,-0.015625,-0.984375,0.1865234375
49,-0.01171875,-0.984375,0.1943359375
50,-0.0087890625,-0.9892578125,0.19140625
51,-0.005859375,-0.986328125,0.1943359375
52,-0.0068359375,-0.9833984375,0.189453125
53,-0.0048828125,-0.986328125,0.193359375
54,-0.005859375,-0.98046875,0.1943359375
55,-0.01171875,-0.978515625,0.197265625
56,-0.01171875,-0.9765625,0.1982421875
57,-0.01171875,-0.9765625,0.1982421875
58,-0.013671875,-0.9765625,0.197265625
59,-0.0185546875,-0.9814453125,0.1953125
60,-0.015625,-0.98046875,0.1904296875
61,-0.013671875,-0.9814453125,0.189453125
62,-0.0205078125,-0.9775390625,0.1953125
63,-0.025390625,-0.98046875,0.19921875
64,-0.02734375,-0.9765625,0.197265625
65,-0.03125,-0.982421875,0.193359375
66,-0.0361328125,-0.978515625,0.193359375
67,-0.0341796875,-0.97265625,0.189453125
68,-0.03515625,-0.98046875,0.1884765625
69,-0.0361328125,-0.978515625,0.1865234375
70,-0.0361328125,-0.98046875,0.1865234375
71,-0.02734375,-0.9814453125,0.185546875
72,-0.03125,-0.984375,0.18359375
73,-0.0263671875,-0.984375,0.1826171875
74,-0.025390625,-0.9794921875,0.181640625
75,-0.0224609375,-0.9794921875,0.1826171875
76,-0.0244140625,-0.982421875,0.177734375
77,-0.01953125,-0.9853515625,0.166015625
78,-0.017578125,-0.9833984375,0.169921875
79,-0.0146484375,-0.9853515625,0.166015625
80,-0.0166015625,-0.98828125,0.166015625
81,-0.0126953125,-0.9912109375,0.1611328125
82,-0.0126953125,-0.9921875,0.15625
83,-0.0146484375,-0.994140625,0.15234375
84,-0.009765625,-0.990234375,0.1484375
85,-0.0107421875,-0.9921875,0.15625
86,-0.0068359375,-0.9912109375,0.1484375
87,0.0048828125,-0.9951171875,0.142578125
88,0.0068359375,-0.994140625,0.1337890625
89,0.01171875,-0.9892578125,0.125
90,0.017578125,-0.9873046875,0.111328125
91,0.0234375,-0.982421875,0.1044921875
92,0.0302734375,-0.9775390625,0.091796875
93,0.044921875,-0.9794921875,0.078125
94,0.0546875,-0.9765625,0.0654296875
