loggingTime(txt),loggingSample(N),identifierForVendor(txt),deviceID(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),locationHeadingTimestamp_since1970(s),locationHeadingX(µT),locationHeadingY(µT),locationHeadingZ(µT),locationTrueHeading(°),locationMagneticHeading(°),locationHeadingAccuracy(°),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),magnetometerTimestamp_sinceReboot(s),magnetometerX(µT),magnetometerY(µT),magnetometerZ(µT),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),IP_en0(txt),IP_pdp_ip0(txt),deviceOrientation(Z),batteryState(R),batteryLevel(Z),avAudioRecorderPeakPower(dB),avAudioRecorderAveragePower(dB),label(N)
2020-11-23 15:56:26.963 -0500,1,F654DD4A-2351-4F2C-BF0D-6FA5CA2B3C76,my_iOS_device,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,99737.506788,0.02911376953125,-0.031463623046875,-0.9840240478515625,99737.506788,-0.001887115882709622,0.01292112469673157,-0.0008362325606867671,99737.48963600001,-71.4449462890625,-30.14617919921875,-450.7482604980469,99737.48690700001,-2.376703194913336,0.02974462587867313,0.03252701472662407,-0.002854757942259312,0.0004805345088243484,0.002059746999293566,0.001092817634344101,-0.0009643062949180603,0.01074701547622681,XArbitraryCorrectedZVertical,-0.0198639628395819,0.009536958685131366,0.927439623290958,-0.3733236106024794,0.02972450852394104,-0.03252127766609192,-0.9990289211273193,13.27613830566406,-6.758533477783203,-48.61404418945312,2,99719.52178004167,stationary,2,2020-11-23 15:46:57.500 -0500,2020-11-23 14:49:59.403 -0500,309,1.180014,0,0,209.01,1,3,2020-11-23 15:55:36.112 -0500,99735.00507699999,0,-28.30453,100.9426,0.0.0.0,10.218.181.32,5,1,0.84,-120,-120,0
2020-11-23 15:56:26.964 -0500,2,F654DD4A-2351-4F2C-BF0D-6FA5CA2B3C76,my_iOS_device,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,99737.54033600001,0.02880859375,-0.0312957763671875,-0.9863128662109375,99737.54033600001,-0.003970772959291935,0.01263057440519333,0.0006386260502040386,99737.51963800001,-71.49099731445312,-29.819580078125,-450.6770324707031,99737.48690700001,-2.376703194913336,0.02974462587867313,0.03252701472662407,-0.002854757942259312,0.0004805345088243484,0.002059746999293566,0.001092817634344101,-0.0009643062949180603,0.01074701547622681,XArbitraryCorrectedZVertical,-0.0198639628395819,0.009536958685131366,0.927439623290958,-0.3733236106024794,0.02972450852394104,-0.03252127766609192,-0.9990289211273193,13.27613830566406,-6.758533477783203,-48.61404418945312,2,99719.52178004167,stationary,2,2020-11-23 15:46:57.500 -0500,2020-11-23 14:49:59.403 -0500,309,1.180014,0,0,209.01,1,3,2020-11-23 15:55:36.112 -0500,99735.00507699999,0,-28.30453,100.9426,0.0.0.0,10.218.181.32,5,1,0.84,-120,-120,0
2020-11-23 15:56:26.965 -0500,3,F654DD4A-2351-4F2C-BF0D-6FA5CA2B3C76,my_iOS_device,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,99737.573883,0.027923583984375,-0.03143310546875,-0.986572265625,99737.573883,-0.002433330286294222,0.01340368948876858,-0.0004799016169272363,99737.57964500001,-71.26779174804688,-30.02888488769531,-450.7340698242188,99737.54655100001,-2.37671516402995,0.02977001679329107,0.03250832430913404,0.001516012009233236,0.001616480760276318,0.0003890966472681612,0.0003044679760932922,-0.001105062663555145,0.01176917552947998,XArbitraryCorrectedZVertical,-0.01987219616559375,0.00952367043151273,0.9274417654229713,-0.3733180595604116,0.02974989265203476,-0.03250259906053543,-0.9990288019180298,13.47144317626953,-6.486196517944336,-49.10733032226562,2,99719.52178004167,stationary,2,2020-11-23 15:46:57.500 -0500,2020-11-23 14:49:59.403 -0500,309,1.180014,0,0,209.01,1,3,2020-11-23 15:55:36.112 -0500,99735.00507699999,0,-28.30453,100.9426,0.0.0.0,10.218.181.32,5,1,0.84,-120,-120,0
2020-11-23 15:56:26.967 -0500,4,F654DD4A-2351-4F2C-BF0D-6FA5CA2B3C76,my_iOS_device,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,99737.60743700001,0.028411865234375,-0.0313262939453125,-0.9878082275390625,99737.60743700001,-0.001512941787950695,0.01422687247395515,-0.0009108011145144701,99737.57964500001,-71.26779174804688,-30.02888488769531,-450.7340698242188,99737.54655100001,-2.37671516402995,0.02977001679329107,0.03250832430913404,0.001516012009233236,0.001616480760276318,0.0003890966472681612,0.0003044679760932922,-0.001105062663555145,0.01176917552947998,XArbitraryCorrectedZVertical,-0.01987219616559375,0.00952367043151273,0.9274417654229713,-0.3733180595604116,0.02974989265203476,-0.03250259906053543,-0.9990288019180298,13.47144317626953,-6.486196517944336,-49.10733032226562,2,99719.52178004167,stationary,2,2020-11-23 15:46:57.500 -0500,2020-11-23 14:49:59.403 -0500,309,1.180014,0,0,209.01,1,3,2020-11-23 15:55:36.112 -0500,99736.00565200001,0,-28.30453,100.9426,0.0.0.0,10.218.181.32,5,1,0.84,-120,-120,0
2020-11-23 15:56:26.968 -0500,5,F654DD4A-2351-4F2C-BF0D-6FA5CA2B3C76,my_iOS_device,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,99737.64098541667,0.029632568359375,-0.0310821533203125,-0.9886932373046875,99737.64098541667,-0.002676210599020123,0.01651878841221333,-0.0001302285818383098,99737.63965241668,-71.41239929199219,-29.7802734375,-450.7987670898438,99737.60619400001,-2.376748975112236,0.02982290040711245,0.03256198949387776,0.002554552396759391,0.000697343610227108,0.0004742520104628056,-0.0005112867802381516,0.000367678701877594,0.01022475957870483,XArbitraryCorrectedZVertical,-0.01990656266974507,0.009539025409596735,0.9274470207938431,-0.3733028774436296,0.02980267256498337,-0.03255623579025269,-0.9990254640579224,13.61808013916016,-6.783584594726562,-49.28900146484375,2,99719.52178004167,stationary,2,2020-11-23 15:46:57.500 -0500,2020-11-23 14:49:59.403 -0500,309,1.180014,0,0,209.01,1,3,2020-11-23 15:55:36.112 -0500,99736.00565200001,0,-28.30453,100.9426,0.0.0.0,10.218.181.32,5,1,0.84,-120,-120,0
2020-11-23 15:56:26.970 -0500,6,F654DD4A-2351-4F2C-BF0D-6FA5CA2B3C76,my_iOS_device,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,99737.67453241667,0.030059814453125,-0.0319061279296875,-0.9841156005859375,99737.67453241667,-0.004065847955644131,0.01227877009660006,-0.001068193931132555,99737.66965641668,-71.43328857421875,-29.99519348144531,-450.8473510742188,99737.66583841667,-2.376710479191554,0.02982412652105544,0.03255776066982211,0.0003783421125262976,0.001487452536821365,-7.834553252905607e-05,-0.0001615658402442932,0.0008364729583263397,0.01243734359741211,XArbitraryCorrectedZVertical,-0.01990652690610784,0.009536452816555383,0.9274398435606821,-0.373320683082604,0.02980390191078186,-0.03255200758576393,-0.9990255832672119,13.42138671875,-6.940288543701172,-49.00045776367188,2,99719.52178004167,stationary,2,2020-11-23 15:46:57.500 -0500,2020-11-23 14:49:59.403 -0500,309,1.180014,0,0,209.01,1,3,2020-11-23 15:55:36.112 -0500,99736.00565200001,0,-28.30453,100.9426,0.0.0.0,10.218.181.32,5,1,0.84,-120,-120,0
2020-11-23 15:56:26.971 -0500,7,F654DD4A-2351-4F2C-BF0D-6FA5CA2B3C76,my_iOS_device,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,99737.70808641668,0.030059814453125,-0.03326416015625,-0.9874114990234375,99737.70808641668,-0.001793106319382787,0.01319383271038532,0.001431715441867709,99737.69966141667,-71.5963134765625,-29.88839721679688,-450.41796875,99737.66583841667,-2.376710479191554,0.02982412652105544,0.03255776066982211,0.0003783421125262976,0.001487452536821365,-7.834553252905607e-05,-0.0001615658402442932,0.0008364729583263397,0.01243734359741211,XArbitraryCorrectedZVertical,-0.01990652690610784,0.009536452816555383,0.9274398435606821,-0.373320683082604,0.02980390191078186,-0.03255200758576393,-0.9990255832672119,13.42138671875,-6.940288543701172,-49.00045776367188,2,99719.52178004167,stationary,2,2020-11-23 15:46:57.500 -0500,2020-11-23 14:49:59.403 -0500,309,1.180014,0,0,209.01,1,3,2020-11-23 15:55:36.112 -0500,99736.00565200001,0,-28.30453,100.9426,0.0.0.0,10.218.181.32,5,1,0.84,-120,-120,0
2020-11-23 15:56:26.972 -0500,8,F654DD4A-2351-4F2C-BF0D-6FA5CA2B3C76,my_iOS_device,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,99737.74163441667,0.0288848876953125,-0.0301513671875,-0.9849090576171875,99737.74163441667,-0.003305249148979783,0.01343538146466017,-0.001645034644752741,99737.72966741667,-71.38114929199219,-29.7099609375,-450.3311157226562,99737.72548241667,-2.376706645294111,0.0298406654307905,0.03252118159393301,-0.001562144374474883,0.00114142894744873,0.000249197706580162,-0.001139439642429352,0.0001285001635551453,0.01092743873596191,XArbitraryCorrectedZVertical,-0.01990739566461193,0.00951636300165724,0.9274393048620299,-0.373322342745237,0.02982046082615852,-0.03251544758677483,-0.9990262985229492,13.53575134277344,-6.844272613525391,-48.92364501953125,2,99719.52178004167,stationary,2,2020-11-23 15:46:57.500 -0500,2020-11-23 14:49:59.403 -0500,309,1.180014,0,0,209.01,1,3,2020-11-23 15:55:36.112 -0500,99736.00565200001,0,-28.30453,100.9426,0.0.0.0,10.218.181.32,5,1,0.84,-120,-120,0
2020-11-23 15:56:26.973 -0500,9,F654DD4A-2351-4F2C-BF0D-6FA5CA2B3C76,my_iOS_device,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,99737.77518141667,0.0288848876953125,-0.03057861328125,-0.9842071533203125,99737.77518141667,-0.003347593359649181,0.01110697910189629,0.0008239820599555969,99737.75968041667,-71.51338195800781,-29.9661865234375,-451.0933837890625,99737.72548241667,-2.376706645294111,0.0298406654307905,0.03252118159393301,-0.001562144374474883,0.00114142894744873,0.000249197706580162,-0.001139439642429352,0.0001285001635551453,0.01092743873596191,XArbitraryCorrectedZVertical,-0.01990739566461193,0.00951636300165724,0.9274393048620299,-0.373322342745237,0.02982046082615852,-0.03251544758677483,-0.9990262985229492,13.53575134277344,-6.844272613525391,-48.92364501953125,2,99719.52178004167,stationary,2,2020-11-23 15:46:57.500 -0500,2020-11-23 14:49:59.403 -0500,309,1.180014,0,0,209.01,1,3,2020-11-23 15:55:36.112 -0500,99736.00565200001,0,-28.30453,100.9426,0.0.0.0,10.218.181.32,5,1,0.84,-120,-120,0
2020-11-23 15:56:26.974 -0500,10,F654DD4A-2351-4F2C-BF0D-6FA5CA2B3C76,my_iOS_device,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,99737.80872941668,0.0304107666015625,-0.0298309326171875,-0.989288330078125,99737.80872941668,0.0004665858286898583,0.01260980125516653,0.001179780345410109,99737.81969441667,-71.16958618164062,-29.57183837890625,-450.6956787109375,99737.78512541667,-2.376700961029439,0.02983332567463899,0.03251125381348115,0.0001918706111609936,-0.004392691887915134,-0.0002671352121978998,-0.000140288844704628,0.002010662108659744,0.01578027009963989,XArbitraryCorrectedZVertical,-0.01990216815545533,0.009513071772906211,0.9274384224152367,-0.373324909770284,0.02981313690543175,-0.03250552713871002,-0.9990268349647522,13.63069152832031,-6.755626678466797,-48.8814697265625,2,99719.52178004167,stationary,2,2020-11-23 15:46:57.500 -0500,2020-11-23 14:49:59.403 -0500,309,1.180014,0,0,209.01,1,3,2020-11-23 15:55:36.112 -0500,99736.00565200001,0,-28.30453,100.9426,0.0.0.0,10.218.181.32,5,1,0.84,-120,-120,0
