loggingTime(txt),loggingSample(N),identifierForVendor(txt),deviceID(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),locationHeadingTimestamp_since1970(s),locationHeadingX(µT),locationHeadingY(µT),locationHeadingZ(µT),locationTrueHeading(°),locationMagneticHeading(°),locationHeadingAccuracy(°),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),magnetometerTimestamp_sinceReboot(s),magnetometerX(µT),magnetometerY(µT),magnetometerZ(µT),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),IP_en0(txt),IP_pdp_ip0(txt),deviceOrientation(Z),batteryState(R),batteryLevel(Z),avAudioRecorderPeakPower(dB),avAudioRecorderAveragePower(dB),label(N)
2020-11-15 16:22:57.303 -0500,1,F654DD4A-2351-4F2C-BF0D-6FA5CA2B3C76,my_iOS_device,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,545293.962274375,-0.0583038330078125,-0.0307464599609375,-0.9481048583984375,545293.931209375,-0.03208629786968231,0.0881841853260994,0.006293315906077623,545293.948225375,-66.64839172363281,-24.85287475585938,-449.1617431640625,545293.948606375,1.492766215628738,-0.0560748863741427,0.01336563004816,0.01008037105202675,-0.005482201464474201,0.008591286838054657,0.01128902658820152,-0.01544348523020744,0.005815744400024414,XArbitraryCorrectedZVertical,-0.02393838552676927,0.01604478512186174,-0.6785683162370484,-0.7339717568247365,-0.05604049935936928,-0.01336523238569498,-0.998339056968689,-0.5042800903320312,-14.27231884002686,-46.91998291015625,2,545292.09846975,unknown,2,2020-11-15 16:13:41.278 -0500,2020-11-15 15:12:20.171 -0500,156,1.624967,0,0,99.49,1,1,2020-11-15 16:09:25.640 -0500,545291.357507,0,11.82439,98.71332,0.0.0.0,10.239.141.242,5,1,0.8,-160,-160,0
2020-11-15 16:22:57.304 -0500,2,F654DD4A-2351-4F2C-BF0D-6FA5CA2B3C76,my_iOS_device,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,545293.9958253751,-0.0663604736328125,-0.0181732177734375,-0.97735595703125,545293.964760375,-0.01711107604205608,0.01371980644762516,0.0108451908454299,545293.978233375,-66.79336547851562,-24.62959289550781,-449.6249389648438,545293.948606375,1.492766215628738,-0.0560748863741427,0.01336563004816,0.01008037105202675,-0.005482201464474201,0.008591286838054657,0.01128902658820152,-0.01544348523020744,0.005815744400024414,XArbitraryCorrectedZVertical,-0.02393838552676927,0.01604478512186174,-0.6785683162370484,-0.7339717568247365,-0.05604049935936928,-0.01336523238569498,-0.998339056968689,-0.5042800903320312,-14.27231884002686,-46.91998291015625,2,545292.09846975,unknown,2,2020-11-15 16:13:41.278 -0500,2020-11-15 15:12:20.171 -0500,156,1.624967,0,0,99.49,1,1,2020-11-15 16:09:25.640 -0500,545291.357507,0,11.82439,98.71332,0.0.0.0,10.239.141.242,5,1,0.8,-160,-160,0
2020-11-15 16:22:57.305 -0500,3,F654DD4A-2351-4F2C-BF0D-6FA5CA2B3C76,my_iOS_device,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,545294.029375375,-0.0736083984375,-0.0366058349609375,-1.009933471679688,545293.998310375,-0.0111956624314189,0.02471919544041157,0.007792409509420395,545294.0082403751,-67.01091003417969,-24.41818237304688,-449.2689208984375,545294.0082513751,1.493001464767763,-0.05492390104124536,0.01258085201153802,-0.01452974416315556,0.04573576152324677,0.005602427292615175,-0.003775589168071747,-0.04323628544807434,0.01010119915008545,XArbitraryCorrectedZVertical,-0.02326182828059918,0.01588602386516623,-0.6786779453246581,-0.7338956292760197,-0.05489194765686989,-0.01258052047342062,-0.9984130263328552,-0.6179580688476562,-13.8451509475708,-47.0369873046875,2,545292.09846975,unknown,2,2020-11-15 16:13:41.278 -0500,2020-11-15 15:12:20.171 -0500,156,1.624967,0,0,99.49,1,1,2020-11-15 16:09:25.640 -0500,545291.357507,0,11.82439,98.71332,0.0.0.0,10.239.141.242,5,1,0.8,-160,-160,0
2020-11-15 16:22:57.306 -0500,4,F654DD4A-2351-4F2C-BF0D-6FA5CA2B3C76,my_iOS_device,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,545294.0629263751,-0.087677001953125,-0.0225830078125,-0.9501190185546875,545294.0318613751,-0.01572783105075359,0.03849892318248749,0.01769430935382843,545294.0382473751,-66.68356323242188,-24.73342895507812,-449.3075866699219,545294.0082513751,1.493001464767763,-0.05492390104124536,0.01258085201153802,-0.01452974416315556,0.04573576152324677,0.005602427292615175,-0.003775589168071747,-0.04323628544807434,0.01010119915008545,XArbitraryCorrectedZVertical,-0.02326182828059918,0.01588602386516623,-0.6786779453246581,-0.7338956292760197,-0.05489194765686989,-0.01258052047342062,-0.9984130263328552,-0.6179580688476562,-13.8451509475708,-47.0369873046875,2,545292.09846975,unknown,2,2020-11-15 16:13:41.278 -0500,2020-11-15 15:12:20.171 -0500,156,1.624967,0,0,99.49,1,1,2020-11-15 16:09:25.640 -0500,545291.357507,0,11.82439,98.71332,0.0.0.0,10.239.141.242,5,1,0.8,-160,-160,0
2020-11-15 16:22:57.307 -0500,5,F654DD4A-2351-4F2C-BF0D-6FA5CA2B3C76,my_iOS_device,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,545294.096476375,-0.093231201171875,0.0082244873046875,-0.9689178466796875,545294.065411375,9.827064059209079e-05,0.0592619925737381,0.004712196998298168,545294.068253375,-66.76576232910156,-24.88951110839844,-448.8900756835938,545294.0678963751,1.494572215325305,-0.05252307120479443,0.01249375997488644,-0.01825781911611557,0.05670591443777084,-0.00344528816640377,0.01303805410861969,-0.01726135425269604,0.03490465879440308,XArbitraryCorrectedZVertical,-0.02242696929825824,0.01501698968545849,-0.679282594535597,-0.733380287315691,-0.052494827657938,-0.01249343529343605,-0.9985430240631104,-0.3735580444335938,-14.23129558563232,-46.86849975585938,2,545292.09846975,unknown,2,2020-11-15 16:13:41.278 -0500,2020-11-15 15:12:20.171 -0500,156,1.624967,0,0,99.49,1,1,2020-11-15 16:09:25.640 -0500,545291.357507,0,11.82439,98.71332,0.0.0.0,10.239.141.242,5,1,0.8,-160,-160,0
2020-11-15 16:22:57.307 -0500,6,F654DD4A-2351-4F2C-BF0D-6FA5CA2B3C76,my_iOS_device,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,545294.1300273751,-0.0257110595703125,-0.0756988525390625,-1.019577026367188,545294.0989623751,-0.01376934163272381,0.01116024237126112,0.03460618108510971,545294.128261375,-66.34733581542969,-24.41299438476562,-449.3473815917969,545294.127542375,1.496462293450914,-0.05165096228350589,0.01183407689209588,-0.01546509098261595,0.02907413057982922,0.05740382522344589,0.03461325168609619,-0.05875353515148163,-0.05014020204544067,XArbitraryCorrectedZVertical,-0.02190302482600466,0.01490063790566512,-0.6799926925579124,-0.7327401286275851,-0.05162438377737999,-0.01183380093425512,-0.9985964298248291,-0.2670364379882812,-14.16445827484131,-46.84933471679688,2,545292.09846975,unknown,2,2020-11-15 16:13:41.278 -0500,2020-11-15 15:12:20.171 -0500,156,1.624967,0,0,99.49,1,1,2020-11-15 16:09:25.640 -0500,545291.357507,0,11.82439,98.71332,0.0.0.0,10.239.141.242,5,1,0.8,-160,-160,0
2020-11-15 16:22:57.308 -0500,7,F654DD4A-2351-4F2C-BF0D-6FA5CA2B3C76,my_iOS_device,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,545294.163577375,-0.0452423095703125,0.0142822265625,-1.02880859375,545294.132512375,-0.03537716716527939,0.05406376719474792,0.06501229107379913,545294.1582673751,-66.91123962402344,-24.74754333496094,-449.6972045898438,545294.127542375,1.496462293450914,-0.05165096228350589,0.01183407689209588,-0.01546509098261595,0.02907413057982922,0.05740382522344589,0.03461325168609619,-0.05875353515148163,-0.05014020204544067,XArbitraryCorrectedZVertical,-0.02190302482600466,0.01490063790566512,-0.6799926925579124,-0.7327401286275851,-0.05162438377737999,-0.01183380093425512,-0.9985964298248291,-0.2670364379882812,-14.16445827484131,-46.84933471679688,2,545292.09846975,unknown,2,2020-11-15 16:13:41.278 -0500,2020-11-15 15:12:20.171 -0500,156,1.624967,0,0,99.49,1,1,2020-11-15 16:09:25.640 -0500,545291.357507,0,11.82439,98.71332,0.0.0.0,10.239.141.242,5,1,0.8,-160,-160,0
2020-11-15 16:22:57.309 -0500,8,F654DD4A-2351-4F2C-BF0D-6FA5CA2B3C76,my_iOS_device,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,545294.1971283751,-0.0481414794921875,-0.0413360595703125,-0.9761962890625,545294.1660623751,-0.05204882100224495,0.06808983534574509,0.0819593146443367,545294.1882753751,-66.72254943847656,-24.75715637207031,-449.3939208984375,545294.187187375,1.50098834345005,-0.04936621464098753,0.008771237776393537,-0.03985137119889259,0.04995271936058998,0.1134776100516319,-0.009613387286663055,-0.02929986082017422,0.03270930051803589,XArbitraryCorrectedZVertical,-0.02003845944756499,0.01505995892163517,-0.6817067952924835,-0.731195879909981,-0.0493442676961422,-0.008771125227212906,-0.9987432956695557,-0.3583984375,-13.76912784576416,-47.18988037109375,2,545292.09846975,unknown,2,2020-11-15 16:13:41.278 -0500,2020-11-15 15:12:20.171 -0500,156,1.624967,0,0,99.49,1,1,2020-11-15 16:09:25.640 -0500,545291.357507,0,11.82439,98.71332,0.0.0.0,10.239.141.242,5,1,0.8,-160,-160,0
2020-11-15 16:22:57.310 -0500,9,F654DD4A-2351-4F2C-BF0D-6FA5CA2B3C76,my_iOS_device,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,545294.230682375,-0.07562255859375,0.0167694091796875,-0.9885406494140625,545294.199613375,-0.04312776401638985,0.06708076596260071,0.13331438601017,545294.2182893751,-66.73435974121094,-24.71408081054688,-449.5541076660156,545294.187187375,1.50098834345005,-0.04936621464098753,0.008771237776393537,-0.03985137119889259,0.04995271936058998,0.1134776100516319,-0.009613387286663055,-0.02929986082017422,0.03270930051803589,XArbitraryCorrectedZVertical,-0.02003845944756499,0.01505995892163517,-0.6817067952924835,-0.731195879909981,-0.0493442676961422,-0.008771125227212906,-0.9987432956695557,-0.3583984375,-13.76912784576416,-47.18988037109375,2,545292.09846975,unknown,2,2020-11-15 16:13:41.278 -0500,2020-11-15 15:12:20.171 -0500,156,1.624967,0,0,99.49,1,1,2020-11-15 16:09:25.640 -0500,545291.357507,0,11.82439,98.71332,0.0.0.0,10.239.141.242,5,1,0.8,-160,-160,0
2020-11-15 16:22:57.311 -0500,10,F654DD4A-2351-4F2C-BF0D-6FA5CA2B3C76,my_iOS_device,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,545294.2642333751,-0.0675811767578125,-0.012725830078125,-0.9907379150390625,545294.2331673751,-0.02465368062257767,0.07128775864839554,0.207450658082962,545294.248296375,-66.41001892089844,-24.53117370605469,-450.2691345214844,545294.246836375,1.511088359690591,-0.04629536462581821,0.008126798521123113,-0.01122867036610842,0.07016073912382126,0.2354541122913361,-0.03121992200613022,0.01097976602613926,0.01189601421356201,XArbitraryCorrectedZVertical,-0.01882741221867159,0.01406206206723633,-0.685427071871419,-0.7277618613232526,-0.04627729952335358,-0.008126708678901196,-0.9988955855369568,-0.0701904296875,-14.00355815887451,-46.62503051757812,2,545292.09846975,unknown,2,2020-11-15 16:13:41.278 -0500,2020-11-15 15:12:20.171 -0500,156,1.624967,0,0,99.49,1,1,2020-11-15 16:09:25.640 -0500,545291.357507,0,11.82439,98.71332,0.0.0.0,10.239.141.242,5,1,0.8,-160,-160,0
