sample,class,truth_label
D01_SA20_R01.csv,1,0
D02_SA20_R01.csv,0,0
D03_SA20_R01.csv,0,0
D04_SA20_R01.csv,0,0
D14_SA20_R01.csv,1,0
D14_SA20_R02.csv,1,0
D14_SA20_R03.csv,1,0
D14_SA20_R04.csv,1,0
D14_SA20_R05.csv,1,0
D15_SA20_R01.csv,1,0
D15_SA20_R02.csv,1,0
D15_SA20_R03.csv,1,0
D15_SA20_R04.csv,1,0
D15_SA20_R05.csv,1,0
D18_SA20_R01.csv,1,0
D18_SA20_R02.csv,1,0
D18_SA20_R03.csv,1,0
D18_SA20_R04.csv,1,0
D18_SA20_R05.csv,1,0
D19_SA20_R01.csv,1,0
D19_SA20_R02.csv,1,0
D19_SA20_R03.csv,1,0
D19_SA20_R04.csv,1,0
D19_SA20_R05.csv,1,0
F01_SA20_R01.csv,1,1
F01_SA20_R02.csv,1,1
F01_SA20_R04.csv,1,1
F01_SA20_R05.csv,1,1
F02_SA20_R01.csv,1,1
F02_SA20_R02.csv,1,1
F02_SA20_R03.csv,1,1
F02_SA20_R04.csv,1,1
F02_SA20_R05.csv,1,1
F03_SA20_R01.csv,1,1
F03_SA20_R02.csv,1,1
F03_SA20_R03.csv,1,1
F03_SA20_R04.csv,1,1
F03_SA20_R05.csv,1,1
F04_SA20_R01.csv,1,1
F04_SA20_R02.csv,1,1
F04_SA20_R03.csv,1,1
F04_SA20_R04.csv,1,1
F04_SA20_R05.csv,1,1
F05_SA20_R01.csv,1,1
F05_SA20_R02.csv,1,1
F05_SA20_R03.csv,1,1
F05_SA20_R04.csv,1,1
F05_SA20_R05.csv,1,1
F06_SA20_R01.csv,1,1
F06_SA20_R02.csv,1,1
F06_SA20_R03.csv,1,1
F06_SA20_R04.csv,1,1
F06_SA20_R05.csv,1,1
F08_SA20_R01.csv,1,1
F08_SA20_R02.csv,1,1
F08_SA20_R03.csv,1,1
F08_SA20_R04.csv,1,1
F08_SA20_R05.csv,1,1
F09_SA20_R01.csv,1,1
F09_SA20_R02.csv,1,1
F09_SA20_R03.csv,1,1
F09_SA20_R04.csv,1,1
F09_SA20_R05.csv,1,1
F10_SA20_R01.csv,1,1
F10_SA20_R02.csv,1,1
F10_SA20_R03.csv,1,1
F10_SA20_R05.csv,1,1
F11_SA20_R01.csv,1,1
F11_SA20_R02.csv,1,1
F11_SA20_R03.csv,1,1
F11_SA20_R04.csv,1,1
F11_SA20_R05.csv,1,1
F12_SA20_R01.csv,1,1
F12_SA20_R02.csv,1,1
F12_SA20_R03.csv,1,1
F12_SA20_R04.csv,1,1
F12_SA20_R05.csv,1,1
F13_SA20_R01.csv,1,1
F13_SA20_R02.csv,1,1
F13_SA20_R03.csv,1,1
F13_SA20_R04.csv,1,1
F13_SA20_R05.csv,1,1
F14_SA20_R01.csv,1,1
F14_SA20_R02.csv,1,1
F14_SA20_R03.csv,1,1
F14_SA20_R04.csv,1,1
F14_SA20_R05.csv,1,1
F15_SA20_R01.csv,1,1
F15_SA20_R02.csv,1,1
F15_SA20_R03.csv,1,1
F15_SA20_R04.csv,1,1
F15_SA20_R05.csv,1,1
D01_SA21_R01.csv,1,0
D02_SA21_R01.csv,0,0
D03_SA21_R01.csv,0,0
D04_SA21_R01.csv,0,0
D14_SA21_R01.csv,1,0
D14_SA21_R02.csv,1,0
D14_SA21_R03.csv,1,0
D14_SA21_R04.csv,1,0
D14_SA21_R05.csv,1,0
D15_SA21_R01.csv,1,0
D15_SA21_R02.csv,1,0
D15_SA21_R03.csv,1,0
D15_SA21_R04.csv,1,0
D15_SA21_R05.csv,1,0
D18_SA21_R01.csv,1,0
D18_SA21_R02.csv,1,0
D18_SA21_R03.csv,1,0
D18_SA21_R04.csv,1,0
D18_SA21_R05.csv,1,0
D19_SA21_R01.csv,1,0
D19_SA21_R02.csv,1,0
D19_SA21_R03.csv,1,0
D19_SA21_R04.csv,1,0
D19_SA21_R05.csv,1,0
F01_SA21_R01.csv,1,1
F01_SA21_R02.csv,1,1
F01_SA21_R03.csv,1,1
F01_SA21_R04.csv,1,1
F01_SA21_R05.csv,1,1
F02_SA21_R01.csv,1,1
F02_SA21_R02.csv,1,1
F02_SA21_R03.csv,1,1
F02_SA21_R04.csv,1,1
F02_SA21_R05.csv,1,1
F03_SA21_R01.csv,1,1
F03_SA21_R02.csv,1,1
F03_SA21_R03.csv,1,1
F03_SA21_R04.csv,1,1
F03_SA21_R05.csv,1,1
F04_SA21_R01.csv,1,1
F04_SA21_R02.csv,1,1
F04_SA21_R03.csv,1,1
F04_SA21_R04.csv,1,1
F04_SA21_R05.csv,1,1
F05_SA21_R01.csv,1,1
F05_SA21_R02.csv,1,1
F05_SA21_R03.csv,1,1
F05_SA21_R04.csv,1,1
F05_SA21_R05.csv,1,1
F06_SA21_R01.csv,1,1
F06_SA21_R02.csv,1,1
F06_SA21_R03.csv,1,1
F06_SA21_R04.csv,1,1
F06_SA21_R05.csv,1,1
F08_SA21_R01.csv,1,1
F08_SA21_R02.csv,1,1
F08_SA21_R03.csv,1,1
F08_SA21_R04.csv,1,1
F08_SA21_R05.csv,1,1
F09_SA21_R01.csv,1,1
F09_SA21_R02.csv,1,1
F09_SA21_R03.csv,1,1
F09_SA21_R04.csv,1,1
F09_SA21_R05.csv,1,1
F10_SA21_R01.csv,1,1
F10_SA21_R02.csv,1,1
F10_SA21_R03.csv,1,1
F10_SA21_R04.csv,1,1
F10_SA21_R05.csv,1,1
F11_SA21_R01.csv,1,1
F11_SA21_R02.csv,1,1
F11_SA21_R03.csv,1,1
F11_SA21_R04.csv,1,1
F11_SA21_R05.csv,1,1
F12_SA21_R01.csv,1,1
F12_SA21_R02.csv,1,1
F12_SA21_R03.csv,1,1
F12_SA21_R04.csv,1,1
F12_SA21_R05.csv,1,1
F13_SA21_R01.csv,1,1
F13_SA21_R02.csv,1,1
F13_SA21_R03.csv,1,1
F13_SA21_R04.csv,1,1
F13_SA21_R05.csv,1,1
F14_SA21_R01.csv,1,1
F14_SA21_R02.csv,1,1
F14_SA21_R03.csv,1,1
F14_SA21_R04.csv,1,1
F14_SA21_R05.csv,1,1
F15_SA21_R01.csv,1,1
F15_SA21_R02.csv,1,1
F15_SA21_R03.csv,1,1
F15_SA21_R04.csv,1,1
F15_SA21_R05.csv,1,1
D01_SA22_R01.csv,1,0
D02_SA22_R01.csv,1,0
D03_SA22_R01.csv,0,0
D04_SA22_R01.csv,1,0
D14_SA22_R01.csv,1,0
D14_SA22_R02.csv,1,0
D14_SA22_R03.csv,1,0
D14_SA22_R04.csv,1,0
D14_SA22_R05.csv,1,0
D15_SA22_R01.csv,1,0
D15_SA22_R02.csv,1,0
D15_SA22_R03.csv,1,0
D15_SA22_R04.csv,1,0
