,accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),Label
0,-1.015625,0.09375,0.06640625,0
1,-1.01953125,0.08984375,0.06640625,0
2,-1.0078125,0.09765625,0.05859375,0
3,-0.99609375,0.09375,0.0546875,0
4,-0.98828125,0.09765625,0.0546875,0
5,-0.96484375,0.078125,0.046875,0
6,-0.96875,0.08203125,0.03515625,0
7,-0.9453125,0.08984375,0.02734375,0
8,-0.9296875,0.05859375,0.0078125,0
9,-0.9140625,0.02734375,-0.015625,0
10,-0.92578125,0.01171875,-0.01953125,0
11,-0.9296875,0.0078125,-0.03515625,0
12,-0.9296875,0.03125,-0.04296875,0
13,-0.94921875,0.02734375,-0.03515625,0
14,-0.9765625,0.0625,-0.046875,0
15,-1.015625,0.08984375,-0.046875,0
16,-1.046875,0.12890625,-0.03515625,0
17,-1.07421875,0.16796875,-0.03515625,0
18,-1.12890625,0.19921875,-0.03125,0
19,-1.140625,0.234375,-0.01953125,0
20,-1.16015625,0.25,-0.04296875,0
21,-1.15625,0.2578125,-0.0234375,0
22,-1.12890625,0.234375,-0.015625,0
23,-1.15234375,0.203125,-0.0390625,0
24,-1.08203125,0.13671875,0.00390625,0
25,-1.0703125,0.21875,0.0390625,0
26,-1.08203125,0.08984375,0.04296875,0
27,-1.07421875,0.125,-0.0234375,0
28,-1.0625,0.1171875,-0.015625,0
29,-1.03125,0.08203125,-0.0234375,0
30,-1.02734375,0.02734375,-0.06640625,0
31,-1.0234375,0.0390625,-0.04296875,0
32,-1.01171875,0.06640625,-0.00390625,0
33,-0.96484375,-0.05078125,-0.00390625,0
34,-0.9609375,-0.0703125,0.02734375,0
35,-1.01953125,-0.07421875,0.015625,0
36,-0.9765625,-0.03125,0.046875,0
37,-1.01171875,-0.02734375,0.04296875,0
38,-1.01953125,-0.0390625,0.08203125,0
39,-1.1015625,-0.015625,0.046875,0
40,-1.07421875,0.04296875,0.078125,0
41,-1.09375,0.08203125,0.08984375,0
42,-1.10546875,0.10546875,0.0703125,0
43,-1.11328125,0.12890625,0.078125,0
44,-1.125,0.17578125,0.078125,0
45,-1.1171875,0.18359375,0.08203125,0
46,-1.09765625,0.19921875,0.1015625,0
47,-1.09375,0.20703125,0.1015625,0
48,-1.11328125,0.22265625,0.1171875,0
49,-1.11328125,0.27734375,0.13671875,0
50,-1.10546875,0.2421875,0.109375,0
51,-1.1015625,0.2578125,0.08203125,0
52,-1.1015625,0.2578125,0.0546875,0
53,-1.12109375,0.2734375,0.05078125,0
54,-1.1015625,0.265625,0.01171875,0
55,-1.10546875,0.26953125,0.0078125,0
56,-1.11328125,0.26953125,0.0,0
57,-1.09375,0.26171875,0.0,0
58,-1.078125,0.28515625,0.0,0
59,-1.07421875,0.25390625,0.00390625,0
60,-1.0625,0.23046875,0.0078125,0
61,-1.046875,0.23046875,0.0234375,0
62,-1.04296875,0.20703125,0.03515625,0
63,-1.03515625,0.19921875,0.03515625,0
64,-1.01953125,0.1796875,0.04296875,0
65,-1.0078125,0.171875,0.02734375,0
66,-1.02734375,0.171875,0.0390625,0
67,-1.0078125,0.1796875,0.0390625,0
68,-0.99609375,0.16796875,0.05078125,0
69,-0.984375,0.15625,0.0625,0
70,-0.96875,0.140625,0.078125,0
71,-0.9375,0.11328125,0.1015625,0
72,-0.95703125,0.125,0.13671875,0
73,-0.93359375,0.15234375,0.15234375,0
74,-0.953125,0.15625,0.16015625,0
75,-0.9765625,0.16796875,0.17578125,0
76,-0.9921875,0.16015625,0.171875,0
77,-1.01953125,0.16796875,0.1953125,0
78,-1.0234375,0.17578125,0.1953125,0
79,-1.04296875,0.16796875,0.17578125,0
80,-1.046875,0.18359375,0.16796875,0
81,-1.0390625,0.17578125,0.16015625,0
82,-1.0234375,0.140625,0.16015625,0
83,-1.01171875,0.14453125,0.1484375,0
84,-1.0,0.1484375,0.1484375,0
85,-1.0,0.16015625,0.12890625,0
86,-0.99609375,0.16796875,0.1171875,0
87,-0.9609375,0.1640625,0.09375,0
88,-0.953125,0.1484375,0.1015625,0
89,-0.953125,0.1328125,0.1015625,0
90,-0.984375,0.140625,0.1015625,0
91,-0.95703125,0.14453125,0.0859375,0
92,-0.9765625,0.12890625,0.09375,0
93,-0.97265625,0.125,0.09765625,0
94,-0.99609375,0.10546875,0.09765625,0
95,-0.97265625,0.140625,0.10546875,0
96,-0.98046875,0.13671875,0.12890625,0
97,-0.98828125,0.14453125,0.1484375,0
98,-0.99609375,0.1328125,0.15625,0
99,-1.0,0.15234375,0.1640625,0
100,-0.98828125,0.14453125,0.1953125,0
101,-0.99609375,0.140625,0.21875,0
102,-0.97265625,0.1484375,0.21875,0
103,-0.953125,0.12890625,0.2109375,0
104,-0.9375,0.12109375,0.203125,0
105,-0.9375,0.125,0.203125,0
106,-0.93359375,0.12890625,0.21875,0
107,-0.94140625,0.14453125,0.21484375,0
108,-0.9609375,0.1484375,0.20703125,0
109,-0.99609375,0.1875,0.25,0
110,-1.01171875,0.203125,0.22265625,0
111,-1.01953125,0.19921875,0.2109375,0
112,-1.01171875,0.2109375,0.20703125,0
113,-1.0078125,0.2109375,0.19140625,0
114,-1.00390625,0.20703125,0.1796875,0
115,-0.984375,0.1875,0.16796875,0
116,-1.0,0.171875,0.15625,0
117,-0.98828125,0.1875,0.1328125,0
118,-0.98046875,0.171875,0.109375,0
119,-1.0,0.15234375,0.0859375,0
120,-1.01171875,0.16015625,0.0703125,0
121,-1.046875,0.15234375,0.06640625,0
122,-1.03515625,0.1484375,0.05859375,0
123,-1.05859375,0.16015625,0.0546875,0
124,-1.0703125,0.16015625,0.0546875,0
125,-1.08203125,0.14453125,0.0546875,0
126,-1.1015625,0.1328125,0.046875,0
127,-1.1015625,0.125,0.046875,0
128,-1.10546875,0.1171875,0.06640625,0
129,-1.11328125,0.1328125,0.0859375,0
130,-1.1171875,0.13671875,0.08984375,0
131,-1.1328125,0.14453125,0.12109375,0
132,-1.12890625,0.1484375,0.140625,0
133,-1.13671875,0.171875,0.1796875,0
134,-1.1328125,0.16796875,0.19140625,0
135,-1.125,0.171875,0.21875,0
136,-1.12109375,0.1328125,0.203125,0
137,-1.13671875,0.0859375,0.20703125,0
138,-1.15625,0.0703125,0.203125,0
139,-1.1953125,0.05859375,0.234375,0
140,-1.1953125,0.03125,0.24609375,0
141,-1.234375,0.03515625,0.3046875,0
142,-1.265625,0.01953125,0.34375,0
143,-1.30078125,0.02734375,0.35546875,0
144,-1.32421875,0.0625,0.35546875,0
145,-1.3359375,0.08203125,0.31640625,0
146,-1.34765625,0.0859375,0.296875,0
147,-1.35546875,0.0859375,0.28125,0
148,-1.328125,0.046875,0.2578125,0
149,-1.3203125,0.01171875,0.23046875,0
150,-1.328125,0.0078125,0.20703125,0
151,-1.328125,0.0,0.1875,0
152,-1.3671875,0.01953125,0.1796875,0
153,-1.3984375,0.05078125,0.19921875,0
154,-1.4296875,0.0625,0.2265625,0
155,-1.43359375,0.01171875,0.234375,0
156,-1.42578125,-0.02734375,0.26953125,0
157,-1.40234375,-0.08984375,0.28515625,0
158,-1.37890625,-0.109375,0.27734375,0
159,-1.3359375,-0.15625,0.27734375,0
160,-1.30859375,-0.1796875,0.2578125,0
161,-1.265625,-0.1953125,0.22265625,0
162,-1.20703125,-0.21875,0.1875,0
163,-1.171875,-0.23046875,0.15234375,0
164,-1.13671875,-0.2421875,0.14453125,0
165,-1.1015625,-0.265625,0.125,0
166,-1.0859375,-0.26171875,0.1171875,0
167,-1.078125,-0.2890625,0.09765625,0
168,-1.06640625,-0.2578125,0.078125,0
169,-1.0625,-0.26171875,0.0546875,0
170,-1.06640625,-0.265625,0.05078125,0
171,-1.08203125,-0.26171875,0.046875,0
172,-1.0859375,-0.24609375,0.0390625,0
173,-1.09765625,-0.265625,0.03515625,0
174,-1.109375,-0.25390625,0.03125,0
175,-1.1328125,-0.25390625,0.02734375,0
176,-1.15625,-0.2578125,0.0390625,0
177,-1.15625,-0.27734375,0.0390625,0
178,-1.17578125,-0.25,0.03515625,0
179,-1.1796875,-0.24609375,0.0234375,0
180,-1.17578125,-0.21484375,0.03125,0
181,-1.15625,-0.1953125,0.015625,0
182,-1.140625,-0.203125,0.0390625,0
183,-1.11328125,-0.1640625,0.0390625,0
184,-1.08984375,-0.15625,0.0546875,0
185,-1.08203125,-0.140625,0.0703125,0
186,-1.0546875,-0.12109375,0.0859375,0
187,-1.03125,-0.12890625,0.09375,0
188,-0.9921875,-0.1640625,0.10546875,0
189,-0.98828125,-0.16015625,0.1171875,0
190,-0.96875,-0.16796875,0.1484375,0
191,-0.95703125,-0.171875,0.15625,0
192,-0.9609375,-0.14453125,0.16796875,0
193,-0.95703125,-0.140625,0.1640625,0
194,-0.96484375,-0.12890625,0.14453125,0
195,-0.9609375,-0.12890625,0.1484375,0
196,-0.95703125,-0.140625,0.15234375,0
197,-0.9453125,-0.1484375,0.171875,0
198,-0.94921875,-0.15234375,0.1640625,0
199,-0.9453125,-0.16015625,0.140625,0
200,-0.953125,-0.16015625,0.11328125,0
201,-0.96484375,-0.14453125,0.10546875,0
202,-0.95703125,-0.125,0.0859375,0
203,-0.98046875,-0.13671875,0.046875,0
204,-0.94921875,-0.1171875,0.0078125,0
205,-0.96484375,-0.13671875,-0.04296875,0
206,-0.95703125,-0.1171875,-0.0390625,0
207,-0.9296875,-0.1328125,-0.08203125,0
208,-0.94140625,-0.12109375,-0.1015625,0
209,-0.93359375,-0.08203125,-0.11328125,0
210,-0.9140625,-0.10546875,-0.13671875,0
211,-0.9296875,-0.10546875,-0.1171875,0
212,-0.91796875,-0.08984375,-0.08984375,0
213,-0.96484375,-0.10546875,-0.0625,0
214,-0.95703125,-0.109375,-0.0546875,0
215,-0.94921875,-0.1171875,-0.0546875,0
216,-0.94140625,-0.09375,-0.07421875,0
217,-0.94921875,-0.1015625,-0.0546875,0
218,-0.9453125,-0.11328125,-0.05078125,0
219,-0.93359375,-0.11328125,-0.03125,0
220,-0.9453125,-0.12890625,0.00390625,0
221,-0.92578125,-0.12109375,0.00390625,0
222,-0.95703125,-0.125,0.01171875,0
223,-0.94921875,-0.14453125,0.01171875,0
224,-0.9453125,-0.12109375,0.03125,0
225,-0.97265625,-0.125,0.046875,0
226,-0.98046875,-0.12890625,0.02734375,0
227,-0.97265625,-0.109375,0.01953125,0
228,-0.9765625,-0.0859375,0.02734375,0
229,-0.9453125,-0.08984375,0.05859375,0
230,-0.98828125,-0.09765625,0.03125,0
231,-0.96484375,-0.0859375,-0.0078125,0
232,-0.9453125,-0.0859375,-0.0234375,0
233,-0.97265625,-0.08984375,-0.01171875,0
234,-0.96875,-0.1171875,-0.0234375,0
235,-0.9609375,-0.1171875,-0.015625,0
236,-0.94140625,-0.12109375,-0.03125,0
237,-0.91796875,-0.12890625,-0.02734375,0
238,-0.921875,-0.1171875,-0.02734375,0
239,-0.91796875,-0.15234375,-0.04296875,0
240,-0.9140625,-0.1171875,-0.0390625,0
241,-0.91015625,-0.1171875,-0.05078125,0
242,-0.921875,-0.10546875,-0.046875,0
243,-0.92578125,-0.09375,-0.04296875,0
244,-0.94140625,-0.10546875,-0.03515625,0
245,-0.90234375,-0.08203125,-0.0390625,0
246,-0.953125,-0.11328125,-0.04296875,0
247,-0.921875,-0.09375,-0.09375,0
248,-0.92578125,-0.078125,-0.0859375,0
249,-0.94921875,-0.09765625,-0.1015625,0
250,-0.97265625,-0.07421875,-0.1171875,0
251,-0.99609375,-0.0625,-0.1328125,0
252,-1.03125,-0.05859375,-0.13671875,0
253,-1.05859375,-0.0390625,-0.140625,0
254,-1.0703125,-0.0546875,-0.12890625,0
255,-1.06640625,-0.0546875,-0.11328125,0
256,-1.0625,-0.06640625,-0.09765625,0
257,-1.0625,-0.06640625,-0.078125,0
258,-1.0546875,-0.05859375,-0.0703125,0
259,-1.0625,-0.04296875,-0.046875,0
260,-0.9921875,-0.0078125,-0.046875,0
261,-1.04296875,-0.0546875,-0.03125,0
262,-0.98046875,-0.05078125,-0.0625,0
263,-0.96875,-0.06640625,-0.03515625,0
264,-0.953125,-0.07421875,-0.0078125,0
265,-1.0,-0.08984375,-0.00390625,0
266,-0.98828125,-0.0703125,-0.03515625,0
267,-0.98828125,-0.05078125,-0.046875,0
268,-1.0,-0.05078125,-0.04296875,0
269,-1.0234375,-0.05078125,-0.04296875,0
270,-1.0625,-0.05859375,-0.046875,0
271,-1.0625,-0.05078125,-0.06640625,0
272,-1.0703125,-0.046875,-0.046875,0
273,-1.078125,-0.04296875,-0.046875,0
274,-1.1015625,-0.03515625,-0.05859375,0
275,-1.1015625,-0.03515625,-0.07421875,0
276,-1.109375,-0.05078125,-0.0546875,0
277,-1.10546875,-0.0625,-0.07421875,0
278,-1.15625,-0.0859375,-0.09765625,0
279,-1.15234375,-0.10546875,-0.17578125,0
280,-1.1796875,-0.1328125,-0.21484375,0
281,-1.20703125,-0.15234375,-0.24609375,0
282,-1.23046875,-0.20703125,-0.296875,0
283,-1.26953125,-0.19921875,-0.3125,0
284,-1.33984375,-0.203125,-0.328125,0
285,-1.421875,-0.171875,-0.328125,0
286,-1.4765625,-0.140625,-0.31640625,0
287,-1.546875,-0.1015625,-0.28125,0
288,-1.56640625,-0.06640625,-0.26171875,0
289,-1.578125,-0.0234375,-0.26171875,0
290,-1.578125,-0.0546875,-0.2421875,0
291,-1.55078125,-0.0625,-0.23828125,0
292,-1.5234375,-0.078125,-0.2421875,0
293,-1.50390625,-0.078125,-0.21484375,0
294,-1.44921875,-0.09375,-0.19140625,0
295,-1.39453125,-0.18359375,-0.16796875,0
296,-1.359375,-0.24609375,-0.1484375,0
297,-1.30078125,-0.33984375,-0.125,0
298,-1.234375,-0.4140625,-0.08984375,0
299,-1.203125,-0.4453125,-0.0625,0
300,-1.19921875,-0.41796875,-0.0390625,0
301,-1.18359375,-0.3984375,-0.02734375,0
302,-1.203125,-0.3828125,-0.01953125,0
303,-1.1953125,-0.3828125,-0.03125,0
304,-1.1875,-0.34375,-0.02734375,0
305,-1.171875,-0.35546875,-0.03125,0
306,-1.16015625,-0.33203125,-0.03515625,0
307,-1.13671875,-0.30859375,-0.01953125,0
308,-1.1328125,-0.29296875,-0.03515625,0
309,-1.09375,-0.28125,-0.0390625,0
310,-1.0859375,-0.25390625,-0.046875,0
311,-1.09375,-0.25390625,-0.0625,0
312,-1.1015625,-0.2578125,-0.0703125,0
313,-1.109375,-0.2578125,-0.08203125,0
314,-1.12890625,-0.29296875,-0.07421875,0
315,-1.1171875,-0.3203125,-0.0546875,0
316,-1.10546875,-0.34375,-0.05078125,0
317,-1.10546875,-0.359375,-0.046875,0
318,-1.08984375,-0.34375,-0.03515625,0
319,-1.078125,-0.35546875,-0.03125,0
320,-1.0546875,-0.33203125,-0.03125,0
321,-1.015625,-0.31640625,-0.04296875,0
322,-0.9921875,-0.29296875,-0.046875,0
323,-0.953125,-0.265625,-0.078125,0
324,-0.90625,-0.25,-0.08984375,0
325,-0.8828125,-0.2421875,-0.09375,0
326,-0.87890625,-0.234375,-0.09375,0
327,-0.8984375,-0.234375,-0.09765625,0
328,-0.8984375,-0.2265625,-0.09375,0
329,-0.921875,-0.20703125,-0.0625,0
330,-0.9375,-0.2109375,-0.0703125,0
331,-0.95703125,-0.2109375,-0.046875,0
332,-0.984375,-0.1875,-0.03125,0
333,-0.9921875,-0.15234375,-0.0390625,0
334,-1.01171875,-0.109375,-0.04296875,0
335,-1.015625,-0.09375,-0.02734375,0
336,-0.99609375,-0.08203125,-0.0078125,0
337,-0.96875,-0.109375,0.015625,0
338,-0.94921875,-0.09375,0.0390625,0
339,-0.90234375,-0.1171875,0.05078125,0
340,-0.89453125,-0.12109375,0.07421875,0
341,-0.86328125,-0.1328125,0.08203125,0
342,-0.84765625,-0.15625,0.08984375,0
343,-0.83984375,-0.15234375,0.09375,0
344,-0.83984375,-0.1796875,0.109375,0
345,-0.8359375,-0.1640625,0.109375,0
346,-0.8515625,-0.1640625,0.08984375,0
347,-0.87890625,-0.16796875,0.08984375,0
348,-0.8515625,-0.15234375,0.05859375,0
349,-0.88671875,-0.1484375,0.07421875,0
350,-0.9375,-0.17578125,0.03515625,0
351,-0.8671875,-0.15625,0.03515625,0
352,-0.88671875,-0.171875,0.0546875,0
353,-0.91015625,-0.1796875,0.0078125,0
354,-0.875,-0.17578125,0.015625,0
355,-0.8828125,-0.1796875,0.03515625,0
356,-0.88671875,-0.1640625,0.046875,0
357,-0.9140625,-0.14453125,0.04296875,0
358,-0.8671875,-0.1171875,0.03515625,0
359,-0.890625,-0.140625,0.06640625,0
360,-0.8984375,-0.13671875,0.078125,0
361,-0.9140625,-0.1328125,0.07421875,0
362,-0.875,-0.09765625,0.0546875,0
363,-0.89453125,-0.09765625,0.08984375,0
364,-0.8984375,-0.10546875,0.09375,0
365,-0.8984375,-0.1328125,0.0859375,0
366,-0.890625,-0.125,0.078125,0
367,-0.84765625,-0.11328125,0.078125,0
368,-0.875,-0.12890625,0.11328125,0
369,-0.890625,-0.1640625,0.1328125,0
370,-0.87890625,-0.1640625,0.10546875,0
371,-0.91015625,-0.15234375,0.1171875,0
372,-0.88671875,-0.12109375,0.1015625,0
373,-0.91015625,-0.1171875,0.12109375,0
374,-0.9296875,-0.08984375,0.109375,0
