,accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),Label
0,-1.0078125,-0.12890625,-0.0625,1
1,-1.00390625,-0.12890625,-0.046875,1
2,-1.01171875,-0.1171875,-0.05078125,1
3,-1.0078125,-0.12890625,-0.04296875,1
4,-1.01171875,-0.1328125,-0.05859375,1
5,-1.00390625,-0.1328125,-0.0703125,1
6,-1.0078125,-0.12109375,-0.05859375,1
7,-1.01171875,-0.12890625,-0.05078125,1
8,-1.02734375,-0.1328125,-0.0546875,1
9,-1.015625,-0.1171875,-0.05859375,1
10,-0.9921875,-0.125,-0.05078125,1
11,-1.01171875,-0.1328125,-0.05859375,1
12,-1.01171875,-0.11328125,-0.078125,1
13,-1.0234375,-0.125,-0.05078125,1
14,-1.01171875,-0.125,-0.0546875,1
15,-1.015625,-0.1328125,-0.0546875,1
16,-1.02734375,-0.1171875,-0.05078125,1
17,-1.01171875,-0.125,-0.046875,1
18,-1.0078125,-0.125,-0.0625,1
19,-1.01171875,-0.12109375,-0.05859375,1
20,-1.01171875,-0.12109375,-0.0546875,1
21,-1.01953125,-0.125,-0.0546875,1
22,-1.01953125,-0.12109375,-0.05078125,1
23,-1.015625,-0.11328125,-0.0546875,1
24,-1.015625,-0.13671875,-0.05078125,1
25,-1.015625,-0.11328125,-0.05859375,1
26,-1.0078125,-0.12890625,-0.05859375,1
27,-1.01953125,-0.1171875,-0.05078125,1
28,-1.01171875,-0.125,-0.0546875,1
29,-1.015625,-0.1171875,-0.046875,1
30,-1.015625,-0.11328125,-0.0546875,1
31,-1.01953125,-0.11328125,-0.0546875,1
32,-1.015625,-0.12109375,-0.04296875,1
33,-1.01171875,-0.1171875,-0.05078125,1
34,-1.01171875,-0.12109375,-0.0625,1
35,-1.0234375,-0.125,-0.05078125,1
36,-1.0078125,-0.11328125,-0.046875,1
37,-1.0078125,-0.11328125,-0.06640625,1
38,-1.00390625,-0.12109375,-0.0625,1
39,-1.015625,-0.12890625,-0.05078125,1
40,-1.01953125,-0.125,-0.046875,1
41,-1.0078125,-0.12109375,-0.0625,1
42,-1.01171875,-0.109375,-0.0546875,1
43,-1.015625,-0.125,-0.046875,1
44,-1.015625,-0.1171875,-0.05078125,1
45,-1.01171875,-0.10546875,-0.0625,1
46,-1.01953125,-0.125,-0.05078125,1
47,-1.01171875,-0.11328125,-0.05859375,1
48,-1.01953125,-0.12109375,-0.0546875,1
49,-1.01953125,-0.109375,-0.05078125,1
50,-1.01953125,-0.11328125,-0.0546875,1
51,-1.01171875,-0.11328125,-0.05078125,1
52,-1.015625,-0.12109375,-0.05859375,1
53,-1.01953125,-0.11328125,-0.05859375,1
54,-1.0078125,-0.12890625,-0.0546875,1
55,-1.0078125,-0.1171875,-0.05078125,1
56,-1.01953125,-0.11328125,-0.0546875,1
57,-1.0078125,-0.13671875,-0.05859375,1
58,-1.00390625,-0.125,-0.0546875,1
59,-1.0078125,-0.1171875,-0.05859375,1
60,-1.0234375,-0.12109375,-0.05078125,1
61,-1.0234375,-0.11328125,-0.04296875,1
62,-1.01953125,-0.11328125,-0.0546875,1
63,-1.015625,-0.109375,-0.0625,1
64,-1.015625,-0.11328125,-0.05078125,1
65,-1.015625,-0.1171875,-0.04296875,1
66,-1.015625,-0.1171875,-0.046875,1
67,-1.00390625,-0.12890625,-0.0625,1
68,-1.02734375,-0.1171875,-0.02734375,1
69,-1.015625,-0.1171875,-0.04296875,1
70,-1.01953125,-0.12890625,-0.046875,1
71,-1.015625,-0.125,-0.046875,1
72,-1.01171875,-0.125,-0.046875,1
73,-1.02734375,-0.1171875,-0.03515625,1
74,-1.00390625,-0.109375,-0.046875,1
75,-1.01171875,-0.10546875,-0.05078125,1
76,-1.01953125,-0.12109375,-0.04296875,1
77,-1.015625,-0.12109375,-0.05078125,1
78,-1.01953125,-0.125,-0.046875,1
79,-1.01171875,-0.10546875,-0.0546875,1
80,-1.015625,-0.10546875,-0.046875,1
81,-1.015625,-0.125,-0.046875,1
82,-1.015625,-0.125,-0.0546875,1
83,-1.0,-0.10546875,-0.05078125,1
84,-1.01171875,-0.10546875,-0.0546875,1
85,-1.015625,-0.11328125,-0.0546875,1
86,-1.0078125,-0.109375,-0.05859375,1
87,-1.0234375,-0.1171875,-0.0390625,1
88,-1.01953125,-0.109375,-0.0546875,1
89,-1.01953125,-0.11328125,-0.0546875,1
90,-1.01953125,-0.12890625,-0.0625,1
91,-1.01953125,-0.10546875,-0.05859375,1
92,-1.0234375,-0.1171875,-0.05859375,1
93,-1.01171875,-0.11328125,-0.05859375,1
94,-1.0078125,-0.125,-0.0625,1
95,-1.01953125,-0.1328125,-0.046875,1
96,-1.015625,-0.12109375,-0.0546875,1
97,-1.0078125,-0.1171875,-0.05859375,1
98,-1.015625,-0.10546875,-0.05078125,1
99,-1.015625,-0.12109375,-0.05859375,1
100,-1.00390625,-0.1015625,-0.05078125,1
101,-1.02734375,-0.12890625,-0.05078125,1
102,-1.015625,-0.11328125,-0.046875,1
103,-1.0234375,-0.11328125,-0.04296875,1
104,-1.015625,-0.11328125,-0.05859375,1
105,-1.015625,-0.1171875,-0.04296875,1
106,-1.01171875,-0.11328125,-0.05078125,1
107,-1.01171875,-0.1015625,-0.05859375,1
108,-1.03125,-0.109375,-0.046875,1
109,-1.015625,-0.11328125,-0.05859375,1
110,-1.0234375,-0.09375,-0.0546875,1
111,-1.015625,-0.1015625,-0.0546875,1
112,-1.015625,-0.1015625,-0.05859375,1
113,-1.015625,-0.125,-0.0625,1
114,-1.01953125,-0.109375,-0.0546875,1
115,-1.01171875,-0.11328125,-0.046875,1
116,-1.00390625,-0.12109375,-0.05078125,1
117,-1.0234375,-0.1171875,-0.046875,1
118,-1.0234375,-0.109375,-0.0390625,1
119,-1.01171875,-0.13671875,-0.046875,1
120,-1.02734375,-0.11328125,-0.046875,1
121,-1.01171875,-0.11328125,-0.0625,1
122,-1.00390625,-0.10546875,-0.046875,1
123,-1.00390625,-0.109375,-0.05859375,1
124,-1.02734375,-0.12890625,-0.0546875,1
125,-1.01171875,-0.109375,-0.046875,1
126,-1.01953125,-0.1015625,-0.0546875,1
127,-1.02734375,-0.12109375,-0.04296875,1
128,-1.015625,-0.1171875,-0.05078125,1
129,-1.0234375,-0.09375,-0.03515625,1
130,-1.015625,-0.11328125,-0.05859375,1
131,-1.0078125,-0.11328125,-0.046875,1
132,-1.00390625,-0.12109375,-0.05859375,1
133,-1.01171875,-0.11328125,-0.046875,1
134,-1.0234375,-0.10546875,-0.05078125,1
135,-1.015625,-0.11328125,-0.05078125,1
136,-1.03125,-0.12890625,-0.046875,1
137,-1.00390625,-0.1171875,-0.0546875,1
138,-1.01171875,-0.11328125,-0.05859375,1
139,-1.01953125,-0.11328125,-0.0625,1
140,-1.015625,-0.10546875,-0.05078125,1
141,-1.015625,-0.11328125,-0.0546875,1
142,-1.01171875,-0.1171875,-0.05078125,1
143,-1.01171875,-0.1171875,-0.05859375,1
144,-1.01953125,-0.12890625,-0.05859375,1
145,-1.0234375,-0.109375,-0.05859375,1
146,-1.015625,-0.109375,-0.046875,1
147,-1.0078125,-0.1171875,-0.05078125,1
148,-1.0078125,-0.12109375,-0.0625,1
149,-1.01171875,-0.109375,-0.05859375,1
150,-1.01953125,-0.11328125,-0.046875,1
151,-1.015625,-0.1171875,-0.046875,1
152,-1.02734375,-0.10546875,-0.0546875,1
153,-1.00390625,-0.125,-0.0546875,1
154,-1.015625,-0.12890625,-0.04296875,1
155,-1.0234375,-0.12109375,-0.05859375,1
156,-1.01953125,-0.1171875,-0.0546875,1
157,-1.02734375,-0.12109375,-0.0546875,1
158,-1.01953125,-0.1171875,-0.05859375,1
159,-1.01953125,-0.12109375,-0.05859375,1
160,-1.01171875,-0.10546875,-0.046875,1
161,-1.01171875,-0.11328125,-0.0546875,1
162,-1.0234375,-0.125,-0.046875,1
163,-1.02734375,-0.11328125,-0.0546875,1
164,-1.01953125,-0.11328125,-0.0546875,1
165,-1.01953125,-0.1328125,-0.05078125,1
166,-1.01171875,-0.11328125,-0.0546875,1
167,-1.01171875,-0.12890625,-0.0546875,1
168,-1.01953125,-0.1171875,-0.05859375,1
169,-1.015625,-0.12890625,-0.05859375,1
170,-1.01953125,-0.12109375,-0.046875,1
171,-1.01171875,-0.10546875,-0.05859375,1
172,-1.0078125,-0.1015625,-0.05078125,1
173,-1.0234375,-0.11328125,-0.0546875,1
174,-1.01171875,-0.1171875,-0.05859375,1
175,-1.03125,-0.109375,-0.0546875,1
176,-1.0078125,-0.1015625,-0.05078125,1
177,-1.015625,-0.11328125,-0.0625,1
178,-1.01171875,-0.1171875,-0.0546875,1
179,-1.0234375,-0.11328125,-0.05859375,1
180,-1.01953125,-0.109375,-0.05078125,1
181,-1.015625,-0.1171875,-0.046875,1
182,-1.01953125,-0.11328125,-0.0625,1
183,-1.0078125,-0.109375,-0.0625,1
184,-1.01953125,-0.125,-0.05078125,1
185,-1.015625,-0.11328125,-0.046875,1
186,-1.01171875,-0.125,-0.05078125,1
187,-1.015625,-0.12109375,-0.05078125,1
188,-1.0078125,-0.11328125,-0.0625,1
189,-1.015625,-0.11328125,-0.05078125,1
190,-1.00390625,-0.11328125,-0.0625,1
191,-1.0234375,-0.10546875,-0.0625,1
192,-1.01953125,-0.12109375,-0.046875,1
193,-1.015625,-0.10546875,-0.0546875,1
194,-1.015625,-0.109375,-0.0390625,1
195,-1.01953125,-0.11328125,-0.05078125,1
196,-1.01171875,-0.14453125,-0.06640625,1
197,-1.01171875,-0.109375,-0.05078125,1
198,-1.0234375,-0.12109375,-0.05078125,1
199,-1.0078125,-0.11328125,-0.05859375,1
200,-1.02734375,-0.11328125,-0.05078125,1
201,-1.015625,-0.109375,-0.05078125,1
202,-1.015625,-0.125,-0.04296875,1
203,-1.01171875,-0.125,-0.046875,1
204,-1.015625,-0.09375,-0.05078125,1
205,-1.015625,-0.1171875,-0.0546875,1
206,-1.01171875,-0.125,-0.0546875,1
207,-1.015625,-0.125,-0.0546875,1
208,-1.01953125,-0.1015625,-0.0546875,1
209,-1.02734375,-0.1171875,-0.046875,1
210,-1.0234375,-0.11328125,-0.0546875,1
211,-1.015625,-0.1171875,-0.0546875,1
212,-1.0078125,-0.11328125,-0.0546875,1
213,-1.02734375,-0.1015625,-0.06640625,1
214,-1.01953125,-0.10546875,-0.05078125,1
215,-1.015625,-0.09765625,-0.05078125,1
216,-1.015625,-0.109375,-0.05078125,1
217,-1.015625,-0.1171875,-0.04296875,1
218,-1.01171875,-0.12890625,-0.0546875,1
219,-1.0234375,-0.12109375,-0.0390625,1
220,-1.01953125,-0.10546875,-0.0546875,1
221,-1.01171875,-0.1015625,-0.05859375,1
222,-1.0234375,-0.09765625,-0.05078125,1
223,-1.015625,-0.109375,-0.05078125,1
224,-1.015625,-0.1171875,-0.0546875,1
225,-1.0234375,-0.109375,-0.04296875,1
226,-1.015625,-0.10546875,-0.04296875,1
227,-1.0234375,-0.09375,-0.0546875,1
228,-1.0234375,-0.11328125,-0.05078125,1
229,-1.015625,-0.11328125,-0.04296875,1
230,-1.015625,-0.10546875,-0.04296875,1
231,-1.015625,-0.11328125,-0.0625,1
232,-1.0234375,-0.09765625,-0.0546875,1
233,-1.0078125,-0.109375,-0.07421875,1
234,-1.01953125,-0.08984375,-0.046875,1
235,-1.015625,-0.109375,-0.05078125,1
236,-1.015625,-0.109375,-0.04296875,1
237,-1.00390625,-0.09765625,-0.0625,1
238,-1.01171875,-0.10546875,-0.05078125,1
239,-1.0,-0.11328125,-0.046875,1
240,-1.0234375,-0.109375,-0.0546875,1
241,-1.01171875,-0.11328125,-0.046875,1
242,-1.015625,-0.10546875,-0.0546875,1
243,-1.01953125,-0.1171875,-0.046875,1
244,-1.01171875,-0.1015625,-0.046875,1
245,-1.0234375,-0.109375,-0.046875,1
246,-1.01171875,-0.11328125,-0.05078125,1
247,-1.01953125,-0.1015625,-0.05859375,1
248,-1.01953125,-0.1015625,-0.04296875,1
249,-1.01953125,-0.1015625,-0.05078125,1
250,-1.01953125,-0.1015625,-0.06640625,1
251,-1.0234375,-0.11328125,-0.05859375,1
252,-1.015625,-0.09765625,-0.0546875,1
253,-1.0078125,-0.1015625,-0.05078125,1
254,-1.01171875,-0.10546875,-0.0546875,1
255,-1.015625,-0.1015625,-0.05078125,1
256,-1.015625,-0.09765625,-0.0546875,1
257,-1.0234375,-0.08984375,-0.05859375,1
258,-1.0078125,-0.11328125,-0.0625,1
259,-1.02734375,-0.1015625,-0.046875,1
260,-1.01953125,-0.1015625,-0.0546875,1
261,-1.0234375,-0.09375,-0.046875,1
262,-1.015625,-0.10546875,-0.05859375,1
263,-1.0234375,-0.10546875,-0.0546875,1
264,-1.015625,-0.09765625,-0.05859375,1
265,-1.03125,-0.11328125,-0.04296875,1
266,-1.015625,-0.09765625,-0.0546875,1
267,-1.015625,-0.10546875,-0.046875,1
268,-1.01171875,-0.11328125,-0.05078125,1
269,-1.01171875,-0.10546875,-0.046875,1
270,-1.015625,-0.09765625,-0.05859375,1
271,-1.03515625,-0.08984375,-0.0546875,1
272,-1.01953125,-0.09765625,-0.0546875,1
273,-1.01953125,-0.1015625,-0.0546875,1
274,-1.0234375,-0.10546875,-0.046875,1
275,-1.015625,-0.1015625,-0.05078125,1
276,-1.015625,-0.1015625,-0.04296875,1
277,-1.015625,-0.11328125,-0.046875,1
278,-1.01953125,-0.1171875,-0.05859375,1
279,-1.00390625,-0.08984375,-0.046875,1
280,-1.00390625,-0.1015625,-0.0625,1
281,-1.0234375,-0.109375,-0.046875,1
282,-1.04296875,-0.12109375,-0.0546875,1
283,-1.0078125,-0.10546875,-0.0546875,1
284,-1.015625,-0.11328125,-0.05078125,1
285,-1.015625,-0.109375,-0.05078125,1
286,-1.01171875,-0.10546875,-0.05078125,1
287,-1.01171875,-0.109375,-0.05859375,1
288,-1.015625,-0.109375,-0.05859375,1
289,-1.01171875,-0.10546875,-0.0546875,1
290,-1.01171875,-0.109375,-0.0546875,1
291,-1.01953125,-0.1015625,-0.0546875,1
292,-1.0078125,-0.12109375,-0.05078125,1
293,-1.01171875,-0.08984375,-0.046875,1
294,-1.01171875,-0.10546875,-0.0625,1
295,-1.01953125,-0.109375,-0.0546875,1
296,-1.0234375,-0.10546875,-0.05859375,1
297,-1.0078125,-0.109375,-0.05078125,1
298,-1.01953125,-0.10546875,-0.046875,1
299,-1.01171875,-0.1015625,-0.0625,1
300,-1.0078125,-0.10546875,-0.05859375,1
301,-1.01953125,-0.11328125,-0.05078125,1
302,-1.01953125,-0.1171875,-0.05078125,1
303,-1.0078125,-0.109375,-0.05859375,1
304,-1.015625,-0.10546875,-0.046875,1
305,-1.015625,-0.109375,-0.046875,1
306,-1.015625,-0.11328125,-0.046875,1
307,-1.015625,-0.109375,-0.046875,1
308,-1.0078125,-0.10546875,-0.0625,1
309,-1.01953125,-0.12109375,-0.0546875,1
310,-1.01171875,-0.10546875,-0.04296875,1
311,-1.015625,-0.109375,-0.046875,1
312,-1.0078125,-0.109375,-0.0546875,1
313,-1.015625,-0.11328125,-0.05859375,1
314,-1.015625,-0.09765625,-0.0546875,1
315,-1.0078125,-0.11328125,-0.05078125,1
316,-1.015625,-0.10546875,-0.05859375,1
317,-1.015625,-0.109375,-0.05859375,1
318,-1.015625,-0.11328125,-0.0546875,1
319,-1.00390625,-0.10546875,-0.06640625,1
320,-1.015625,-0.1171875,-0.046875,1
321,-1.00390625,-0.109375,-0.05859375,1
322,-1.01171875,-0.09375,-0.046875,1
323,-1.01171875,-0.109375,-0.046875,1
324,-1.0234375,-0.09765625,-0.0625,1
325,-1.03515625,-0.125,-0.05078125,1
326,-1.0078125,-0.109375,-0.0546875,1
327,-1.01171875,-0.11328125,-0.05859375,1
328,-1.0078125,-0.1171875,-0.05859375,1
329,-1.01953125,-0.1015625,-0.06640625,1
330,-1.015625,-0.109375,-0.0546875,1
331,-1.01953125,-0.09375,-0.05859375,1
332,-1.015625,-0.1171875,-0.05078125,1
333,-1.0078125,-0.109375,-0.05078125,1
334,-1.03125,-0.11328125,-0.04296875,1
335,-1.01171875,-0.1171875,-0.0546875,1
336,-1.0078125,-0.1171875,-0.05078125,1
337,-1.0078125,-0.109375,-0.05078125,1
338,-1.015625,-0.1015625,-0.05859375,1
339,-1.00390625,-0.1015625,-0.05859375,1
340,-1.01171875,-0.11328125,-0.046875,1
341,-1.0078125,-0.1171875,-0.06640625,1
342,-1.02734375,-0.1015625,-0.046875,1
343,-1.015625,-0.109375,-0.046875,1
344,-1.015625,-0.12109375,-0.05859375,1
345,-1.015625,-0.109375,-0.05859375,1
346,-1.01953125,-0.10546875,-0.05859375,1
347,-1.0078125,-0.10546875,-0.0546875,1
348,-1.01953125,-0.109375,-0.05859375,1
349,-1.01171875,-0.1171875,-0.0546875,1
350,-1.015625,-0.1015625,-0.06640625,1
351,-1.0234375,-0.12109375,-0.05859375,1
352,-1.0234375,-0.1171875,-0.0546875,1
353,-1.01953125,-0.109375,-0.0546875,1
354,-1.015625,-0.1171875,-0.0625,1
355,-1.01171875,-0.11328125,-0.046875,1
356,-1.01171875,-0.10546875,-0.05859375,1
357,-1.01171875,-0.109375,-0.0546875,1
358,-1.015625,-0.1015625,-0.05078125,1
359,-1.0078125,-0.12109375,-0.0546875,1
360,-1.015625,-0.1171875,-0.0625,1
361,-1.02734375,-0.125,-0.046875,1
362,-1.01171875,-0.1015625,-0.0546875,1
363,-1.01171875,-0.109375,-0.0625,1
364,-1.01953125,-0.1171875,-0.05859375,1
365,-1.015625,-0.109375,-0.05859375,1
366,-1.01953125,-0.12109375,-0.0546875,1
367,-1.015625,-0.1171875,-0.0625,1
368,-1.01171875,-0.125,-0.046875,1
369,-1.01953125,-0.11328125,-0.05859375,1
370,-1.015625,-0.1171875,-0.0625,1
371,-1.01171875,-0.109375,-0.05859375,1
372,-1.015625,-0.109375,-0.04296875,1
373,-1.02734375,-0.109375,-0.0546875,1
374,-1.01953125,-0.109375,-0.05859375,1
375,-1.01171875,-0.1015625,-0.05859375,1
376,-1.01953125,-0.109375,-0.0390625,1
377,-1.015625,-0.10546875,-0.05078125,1
378,-1.01171875,-0.10546875,-0.0546875,1
379,-1.0078125,-0.109375,-0.0625,1
380,-1.02734375,-0.10546875,-0.05859375,1
381,-1.0234375,-0.1171875,-0.05078125,1
382,-1.0234375,-0.11328125,-0.0546875,1
383,-1.015625,-0.109375,-0.0546875,1
384,-1.01953125,-0.1171875,-0.05859375,1
385,-1.01953125,-0.12109375,-0.05078125,1
386,-1.015625,-0.109375,-0.05859375,1
387,-1.01953125,-0.12109375,-0.05859375,1
388,-1.015625,-0.12109375,-0.06640625,1
389,-0.9921875,-0.0859375,-0.0390625,1
390,-1.01171875,-0.13671875,-0.05078125,1
391,-1.02734375,-0.12109375,-0.046875,1
392,-1.0234375,-0.11328125,-0.0625,1
393,-1.015625,-0.13671875,-0.05859375,1
394,-1.0078125,-0.125,-0.05859375,1
395,-1.01953125,-0.1171875,-0.05859375,1
396,-1.01171875,-0.12109375,-0.04296875,1
397,-1.01171875,-0.125,-0.0546875,1
398,-1.0234375,-0.11328125,-0.0625,1
399,-1.01953125,-0.125,-0.05078125,1
400,-1.01953125,-0.12109375,-0.046875,1
401,-1.015625,-0.11328125,-0.05859375,1
402,-1.01171875,-0.109375,-0.05078125,1
403,-1.01171875,-0.109375,-0.05078125,1
404,-1.015625,-0.1171875,-0.0546875,1
405,-1.0234375,-0.11328125,-0.046875,1
406,-1.01171875,-0.1015625,-0.05859375,1
407,-1.0078125,-0.109375,-0.05078125,1
408,-1.0234375,-0.10546875,-0.05859375,1
409,-1.01953125,-0.1171875,-0.05078125,1
410,-1.02734375,-0.125,-0.0625,1
411,-1.01171875,-0.109375,-0.05078125,1
412,-1.015625,-0.109375,-0.0546875,1
413,-1.01953125,-0.1171875,-0.04296875,1
414,-1.0078125,-0.1171875,-0.0625,1
415,-1.01953125,-0.12890625,-0.05859375,1
416,-1.015625,-0.11328125,-0.05859375,1
417,-1.00390625,-0.12109375,-0.0546875,1
418,-1.01171875,-0.1171875,-0.05859375,1
419,-1.015625,-0.1171875,-0.04296875,1
420,-1.015625,-0.12890625,-0.04296875,1
421,-1.0078125,-0.1171875,-0.0390625,1
422,-1.01953125,-0.1171875,-0.0546875,1
423,-1.00390625,-0.12109375,-0.06640625,1
424,-1.01171875,-0.140625,-0.04296875,1
425,-1.01171875,-0.1171875,-0.06640625,1
426,-1.015625,-0.1328125,-0.05859375,1
427,-1.0234375,-0.11328125,-0.046875,1
428,-1.015625,-0.1171875,-0.0625,1
429,-1.01953125,-0.125,-0.05859375,1
430,-1.015625,-0.1171875,-0.0546875,1
431,-1.0078125,-0.125,-0.05078125,1
432,-1.015625,-0.1171875,-0.05078125,1
433,-1.015625,-0.11328125,-0.05859375,1
434,-1.01953125,-0.125,-0.05859375,1
435,-1.01171875,-0.1171875,-0.046875,1
436,-1.01953125,-0.109375,-0.0546875,1
437,-1.01953125,-0.11328125,-0.046875,1
438,-1.015625,-0.125,-0.0546875,1
439,-1.0234375,-0.125,-0.06640625,1
440,-1.0078125,-0.10546875,-0.05859375,1
441,-1.015625,-0.11328125,-0.05859375,1
442,-1.0078125,-0.12109375,-0.0625,1
443,-1.00390625,-0.125,-0.0625,1
444,-1.01171875,-0.12109375,-0.0546875,1
445,-1.015625,-0.125,-0.0546875,1
446,-1.015625,-0.125,-0.0546875,1
447,-1.0078125,-0.12890625,-0.0625,1
448,-1.0,-0.1328125,-0.06640625,1
449,-1.0234375,-0.12109375,-0.0546875,1
450,-1.015625,-0.11328125,-0.05078125,1
451,-1.01953125,-0.12109375,-0.05078125,1
