,0
0,96
1,91
2,92
3,95
4,96
5,83
6,83
7,92
8,97
9,91
10,89
11,90
12,92
13,93
14,94
15,96
16,97
17,97
18,94
19,94
20,95
21,95
22,95
23,94
24,92
25,95
26,97
27,90
28,86
29,86
30,93
31,96
32,95
33,91
34,88
35,88
36,90
37,97
38,101
39,101
40,98
41,96
42,98
43,92
44,85
45,88
46,90
47,89
48,79
49,78
50,79
51,81
52,82
53,81
54,82
55,84
56,81
57,79
58,79
59,79
60,85
61,91
62,97
63,101
64,102
65,107
66,111
67,113
68,118
69,123
70,127
71,129
72,129
73,129
74,129
75,128
76,126
77,125
78,123
79,122
80,119
81,118
82,119
83,122
84,125
85,129
86,133
87,135
88,136
89,135
90,134
91,134
92,136
93,138
94,140
95,141
96,140
97,139
98,139
99,140
100,141
101,141
102,139
103,138
104,134
105,127
106,125
107,124
108,125
109,125
110,118
111,115
112,111
113,104
114,99
115,101
116,101
117,96
118,92
119,91
120,89
121,89
122,88
123,92
124,96
125,96
126,101
127,105
128,104
129,102
130,98
131,96
132,100
133,104
134,109
135,111
136,113
137,105
138,100
139,105
140,110
141,105
142,102
143,103
144,110
145,120
146,124
147,124
148,128
149,132
150,137
151,140
152,144
153,148
154,152
155,154
156,155
157,158
158,159
159,159
160,159
161,158
162,157
163,155
164,152
165,151
166,150
167,149
168,151
169,151
170,150
171,150
172,151
173,148
174,143
175,143
176,141
177,141
178,141
179,135
180,127
181,123
182,125
183,125
184,123
185,121
186,124
187,125
188,123
189,118
190,119
191,121
192,121
193,113
194,112
195,114
196,105
197,95
198,94
199,93
200,92
201,92
202,91
203,96
204,98
205,98
206,99
207,103
208,107
209,105
210,98
211,101
212,105
213,107
214,106
215,99
216,95
217,93
218,90
219,90
220,91
221,95
222,96
223,98
224,100
225,97
226,93
227,97
228,100
229,101
230,102
231,106
232,107
233,95
234,91
235,91
236,100
237,105
238,105
239,98
240,99
241,100
242,93
243,92
244,91
245,98
246,111
247,111
248,109
249,112
250,113
251,107
252,100
253,99
254,95
255,92
256,91
257,96
258,97
259,99
260,104
261,106
262,104
263,100
264,104
265,108
266,107
267,105
268,88
269,87
270,89
271,86
272,83
273,82
274,84
275,85
276,84
277,86
278,89
279,92
280,93
281,93
282,97
283,101
284,108
285,112
286,115
287,121
288,128
289,137
290,143
291,143
292,146
293,153
294,155
295,156
296,156
297,158
298,158
299,159
300,159
301,166
302,169
303,171
304,170
305,170
306,167
307,164
308,162
309,159
310,157
311,157
312,157
313,156
314,154
315,151
316,149
317,148
318,149
319,146
320,126
321,126
322,127
323,134
324,135
325,132
326,129
327,127
328,127
329,127
330,119
331,110
332,114
333,118
334,117
335,113
336,110
337,112
338,116
339,117
340,112
341,111
342,111
343,115
344,117
345,116
346,112
347,113
348,115
349,110
350,106
351,106
352,106
353,106
354,103
355,103
356,104
357,104
358,101
359,102
360,104
361,109
362,110
363,112
364,108
365,109
366,111
367,112
368,111
369,107
370,109
371,111
372,108
373,105
374,106
375,107
376,108
377,107
378,105
379,107
380,113
381,118
382,117
383,103
384,96
385,97
386,103
387,106
388,110
389,111
390,108
391,97
392,96
393,100
394,105
395,102
396,103
397,106
398,111
399,111
400,109
401,104
402,100
403,100
